Video ID,Comment
YqNYrYUiMfg,Is this our answer to All quiet on the Western front.
YqNYrYUiMfg,"Who saw this movie, was it actually good?"
YqNYrYUiMfg,hello there good movie
YqNYrYUiMfg,Wait!  Where is Dogmeat?
YqNYrYUiMfg,Why’s Ben Shapiro in WW1???
YqNYrYUiMfg,Narnia's gotten weird
YqNYrYUiMfg,Still can't get over the fact that Sherlock and Moriarty  are in the same movie. Is this Passchendaele?
YqNYrYUiMfg,FSK?
YqNYrYUiMfg,Sanitater!! Sanitater!!!
YqNYrYUiMfg,"After watching the long shot in Atonement, I’m surprised it took so long for someone to come up with making an entire world war movie like Birdman in one shot"
YqNYrYUiMfg,Can they release the version of this song in the trailer
YqNYrYUiMfg,"I'm confused, the release date for the film says december 25th and yet on the day and 2 days after it was suppost to come out I've looked up theatres near me to small and big cities and no theatres are showing this movie, is It only being shown in Europe at the moment? If that's the case when will it come to the u.s.?"
YqNYrYUiMfg,WWI/WWII=Time to buy tickets
YqNYrYUiMfg,Watched it..... Masterpiece!!!!!!!!!!!!!!!!!!!
YqNYrYUiMfg,0:18 is it just me or does he sound like the British officer from Trench 11?
YqNYrYUiMfg,2917
YqNYrYUiMfg,"Revolutionary Road, Road to Perdition and American Beauty were melodramatic tripe. I don't see much hope for war film genre in Mendes. His best audiences are first gen immigrants. Everyone else's sensibilities are ignored by Hollywood."
YqNYrYUiMfg,"One of the best war movies I've ever seen, go find a theater showing it and go see it asap"
YqNYrYUiMfg,This is world war 1
YqNYrYUiMfg,I love when people say this looks like Battlefield 1.
YqNYrYUiMfg,I the trailer is amazing imagine the actual movie
YqNYrYUiMfg,Maybe Sam Mendes can make that Harlem Hellfighters movie! Those boys deserve to have their heroism and triumph over bigotry displayed on the big screen too.
YqNYrYUiMfg,WW1 WW2 I think are the best wars for movies
YqNYrYUiMfg,"What pisses me off is that in Virginia, they aren’t playing this film until late January, and instead of screening this they show, “spies in disguise” and “cats” 🤮😒"
YqNYrYUiMfg,"Girls in the locker: OMG can't wait to see Star Wars
Boys: 1917 😎"
YqNYrYUiMfg,The cinematography in here 👀 is breathtaking 👍🏾 the lighting 👌🏾 this should win something 🤨
YqNYrYUiMfg,Im thinking this is ww2
YqNYrYUiMfg,When does this actually come out? Because I checked my local theaters and it isn’t playing anywhere
YqNYrYUiMfg,"please tell me timothee is playing his brother again, that’d be too good😂"
YqNYrYUiMfg,“The enemy is being reinforced with an airship”
YqNYrYUiMfg,Wow
YqNYrYUiMfg,This movie’s like Dunkirk but 10x better IMO. The cinematography does a much better job of immersing you in the experience and the soundtrack’s insanely good too. Definitely a movie to watch in theaters
YqNYrYUiMfg,so Tommen Baratheon & Robb Stark are brothers
YqNYrYUiMfg,"I’m so angry. I was hyped up to go see this on Christmas Day. I logged into the AMC app on Christmas Eve to reserve my tickets for the next day and nothing came up in my city... At first I had hoped that AMC was just late in posting the showtimes for Dec 25th but I just found out today that I need to wait until Jan 10th for a global release!! 😤😤 
Anyone near Chicago Ridge/Ford City want to watch it with me? 😃 I’m down with meeting new people."
YqNYrYUiMfg,It is not in theatres!
YqNYrYUiMfg,"How smart and orderly are the sandbags stcked, no mud or waterlogged trenches, no duckboards, wow, how clean it looks! A FUCKING JOKE. Fuck this Hollywood shit."
YqNYrYUiMfg,"thought it was not, but this has all the bio-marker of a CanadianFilm Board crap who made movies  like Passchendaele, or Canadian geese in the hinterland ...need I go on as a taxpayer !!  platitude is one thing but if is as flat as a mal-nourrished,  pre-puberty female, I rather be water-boarded than to sit it through."
YqNYrYUiMfg,When is it coming in theaters someone replie to me pleasr
YqNYrYUiMfg,I cant wait to watch this!!!!
YqNYrYUiMfg,At 1:27 it looks like they forgot something. if you look at the sky it looks like the VFX studio removed the green/blue screen or its the walls of the set. it just looks unnatural. and then you have light shining on the buildings and it looks strange and not finished.
