Video ID,Comment
5PSNL1qE6VY,@lisenbeeable It won't bebecause of that piece of crap people call new moon :[
5PSNL1qE6VY,the critics are saying its the best movie in 3d and by james cameron (director)
5PSNL1qE6VY,"So, what do the HUMANS eat???

If the planet is TOXIC to humans, then what do they do for food???

They CAN'T use the soil, they CAN'T eat the wildlife, and it takes 5 years for them to get to Pandora...

Plus why not just ""liquidate"" the SAVAGES???""

They OBVIOUSLY have NOTHING to offer us but PROFIT LOSS???

This latest  bit O' ""kvetching"" is for my GOOD FRIEND ""nickycash"" (AKA. Polyanna)

What good is SWEET ""NICKY"" when you have nothing SOUR to compare it to???

Life is good..."
5PSNL1qE6VY,Oh my goodness. Me and my kids couldn't wait to watch this movie this saturday morning...
5PSNL1qE6VY,"Aw, what's the matter ""nicky"", did I ruin christmas 4 U???

Look ""PAL"", if I wanna point out the BLATANT INCONSISTENCIES of the DAMN MOVIE, then that's MY PERROGATIVE!!! 

The ONLY difference between ME & a ""critic"" is that the the ""critic"" gets paid.

Wow, if your SOOO upset over my CRITIQUE of Avatar, you must've REALLY been TEARY-EYED & DEPRESSED when you friend told you that there was no SANTY-CLAUS!!!

Seeing a ""HERB FROM THE BURB"" like you get upset made my day...

Life is good."
5PSNL1qE6VY,YES!!!
5PSNL1qE6VY,"I saw this movie at a special screening last night. I was naturally skeptical going in, as I do not prefer effect-heavy films usually. This movie was a nice surprise. Everything was fluid and seemingly real. The film is obviously long, running approximately 2 1/2 hours, but the time goes by quickly. It's Cameron's best film besides Terminator 2. The political commentary is rather ''in your face,'' but if you go into it with the mind of having fun, you won't be disappointed. 4/5"
5PSNL1qE6VY,A movie thats like watching someone play video games
5PSNL1qE6VY,"Do you complain for the sake of complaining?  And gripe for the sake of griping?  you may identify yourself with both, but both will lead you to a wasted life full of disappointment.  
Enjoy the shallow entertainment(of griping) while it lasts I suppose, but if you dont curb it, before you know it, its all you will know.

Lifes good"
5PSNL1qE6VY,Preordered my Imax 3D tickets for tonights show at 12:01 am. =D CGI is going to be sick!!!
