Video ID,Comment
RSUq4VfWfjE,"Don’t worry, we’re not calling you angels. Nobody asked for this. Sony, just be happy you get Spider-Man. This is terrible!!"
RSUq4VfWfjE,"*I find this offensive*


*Where is the Male staring Cast*"
RSUq4VfWfjE,GIRLBOYS everywhere rejoice! 😆
RSUq4VfWfjE,Cringey
RSUq4VfWfjE,totally spies
RSUq4VfWfjE,Lol - this movie looks shitty as hell
RSUq4VfWfjE,"Whats this fucking B-team?!
The Original Charlies angels reboot had an absolutely stacked cast with : Drew Barrymore, Lucy Liu, Camron Diaz, Bill Murray, Sam Rockwell, Crispin Glover ,Matt LeBlanc
Tom Green, Owen Willson +++

And this movie has :Dyke from twilight, Black Chick and who's that?

Its like a The Asylum  productions rip off version of the original movie
Show less"
RSUq4VfWfjE,"Boring..
Unable to watch trailer either..."
RSUq4VfWfjE,"Every since Kirsten Stewart came out and just started being herself, it looks like she started enjoying her acting more."
RSUq4VfWfjE,So first they removed one white girl and now they have remove 2 white girls.
RSUq4VfWfjE,Nope
RSUq4VfWfjE,Can they go back and remake the characters just like they did with Sonic because this movie does not look Epic
RSUq4VfWfjE,Is anyone else surprised they didn't cast men ?
RSUq4VfWfjE,I think this will be boring 😂
RSUq4VfWfjE,Charlie’s lesbians
RSUq4VfWfjE,"Why is there no asian angel ?  Racists. 
No trans angel ?  Transphobes
No fat Angel ? Fat Shamers
No Hijab angel?  Islamophobes
Can the current generation of tweens please hurry and grow up. The millenials have no original creativity.
Hurry tweens , you're our only hope."
RSUq4VfWfjE,"Another woke Hollywood remake that is going to bomb as it will only appeal to a far smaller female action movie audience, their boyfriends, and beta males. You know who makes the best fist fighting private investigators? You guessed it, frail looking 5'5"" women weighing about 120 pounds. This is another typical feminist non-compelling fantasy wish fulfillment movie with shallow characters, non-existent character development, and stilted politicized dialogue. The exact opposite of appealing to the broadest possible audience. A great way for a studio to blow over $50 million."
RSUq4VfWfjE,All three are terrible 👎
RSUq4VfWfjE,Very niceee.  Recommended 👍👍😍
RSUq4VfWfjE,"Is this Kingsman but women?

Cos I’m in"
RSUq4VfWfjE,professor x left X-men for the angels
RSUq4VfWfjE,"Gawd !.
.
Boycott this woke piece of trash !."
RSUq4VfWfjE,"Parallel character traits:
Kristen= Drew Barrymore 
Ella= Lucy Liu
Naomi= Cameron Diaz"
RSUq4VfWfjE,"I think ,this is the best action movie i've ever watch,seriously this is my first time watching action movie in cinema,n it feels like omg they're so freakin'  adorableㅠㅠ"
RSUq4VfWfjE,I'm sorry but this looks like an abomination. Why ruin a great franchise?
RSUq4VfWfjE,"I just watched it today and I would like to emphasize how beautiful everyone in this movie. Great work, Elizabeth Banks for directing. Also my inner fanboy for Kristen is growing all the more"
RSUq4VfWfjE,Omaga I'm so excited
RSUq4VfWfjE,Kristen Stewart is just a bad actress. The rest of the cast looked great.
RSUq4VfWfjE,This will tank.
RSUq4VfWfjE,I think the music sucks but the movie looks alright.
RSUq4VfWfjE,"When princess jasmine upgraded herself to protect Agrabah😆😆
.
.
Welldone princess👏"
RSUq4VfWfjE,Stuart acting like Cyrus. 🤣
RSUq4VfWfjE,Who are these? I only know Stuart because of overrated Twilight garbage. 🤣
RSUq4VfWfjE,Wow kristen 🙂❤️
RSUq4VfWfjE,"No no no no no match to original sexy trio....LL, DB n CD"
RSUq4VfWfjE,Who els want thin man to be in this movie?
RSUq4VfWfjE,Wow
RSUq4VfWfjE,mY FAVORITE GIRLS IN ONE FRAME YEEEEEEES
RSUq4VfWfjE,"OH MY GODNESS
 I CANT WAIT TO WATCH"
RSUq4VfWfjE,i miss youuu stewarttttt
RSUq4VfWfjE,0:04 AND YOU'RE WATCHING DISNEY CHANNEL
RSUq4VfWfjE,So I guess Bella is living her vampire life to the fullest 😂
RSUq4VfWfjE,"what happened to goofy, unfit, almost gets in the way but miraculously save the day Bossly?"
RSUq4VfWfjE,"Spoiler free alert review summary:

I just saw it and it's not that bad, the dialogue was alright (and some cheesy 2019 social jokes every now and then). The story line overall reminded me of Madison Lee's storyline (once you watch it, you're gonna get what I mean). And some Easter egg references to the 2000 film a couple of times. 
It was like a mixture of Charlie's Angels 2000 with a bit of James Bond and Black Widow vibes. 

Kristen's acting has dramatically changed from the boring zombie to the action hero, while Elizabeth, Naomi and Ella did a well-exceptional job as the supporting characters. The costuming and props I say was the highlight! It was very satisfying and looked quite ""futuristic, experimental and bright"" to see. 

And the only thing that I wasn't into was the camera shots (too many closeups of the characters), I reckon it would have been better if establishing shots were used when characters were talking at the start so that the audience gets a ""feel"" of the atmosphere. And the dialogue and the storyline was quite generic and quite cringy (I felt like the story was going nowhere - some dialogues and jokes I couldn't understand - e.g. feminism and racial), it would have been better if a stronger character development or better writing and dialogue was used. And who knows? That might be in the next film (if they make it), and more adventures and character development/less cringy, better dialogue and writing.

But the one thing I did like (and I found interesting) however, was the plot twists and the mystery throughout the story! It gave it a nod to James Bond/Sherlock at times. I think Elizabeth Banks did a great job at that. 

Overall, I give this film a 7.5 out of 10. Maybe the next film would be heavenly sweet (and of course, surrounded by angels). 😇

I'd recommend this film, just to give it a watch and if it doesn't suit your taste then nope. 

P.s. this is my opinion, others are welcome to join and discuss. No hate. Peace and love!"
RSUq4VfWfjE,I see $3 Walmart DVD bin in the near future.
RSUq4VfWfjE,"Of all the Kristen's movies, this one is her best acting and caracter for me.💕"
