Video ID,Comment
xlnPHQ3TLX8,This Movie is AWESOME and the Final is Unexpected.     Thumps Up Disney-Pixar.
xlnPHQ3TLX8,For Pete's Sake Guys Coco Is Not A Ripoff Of The Book Of Life.
xlnPHQ3TLX8,yo soy de mexico
xlnPHQ3TLX8,trailer song?
xlnPHQ3TLX8,This looks like a Dreamworks movie.
xlnPHQ3TLX8,I came here because of Inigo Pascual feom Philippines who will sing one of the theme.
xlnPHQ3TLX8,Na i se this movie 3 times 😂 iris very good
xlnPHQ3TLX8,Mi mexican:)
xlnPHQ3TLX8,Now I want a Disney movie entirely set in Italy
xlnPHQ3TLX8,"Soy mexicano y créanme que esta película no tiene nada que ver con el estéreotipo de ""The book of life"" esta si merece ser llamada un película para México"
xlnPHQ3TLX8,Beautiful visual and amazing music
xlnPHQ3TLX8,0:57 gimme some head! (lol) 😀
xlnPHQ3TLX8,I am already waiting for COCO 2.
xlnPHQ3TLX8,"if u don't know about mexican culture u Will compare  with the book of life, it's totally diferent"
xlnPHQ3TLX8,*ripoff alert*
xlnPHQ3TLX8,"IT HAS NOTHING TO DO WITH THE BOOK OF LIFE, I already watched it. GIVE IT A CHANCE!! It's AMAZING!!"
xlnPHQ3TLX8,Rip off of the book of life
xlnPHQ3TLX8,The best movie! I love it! ❤️
xlnPHQ3TLX8,Basically The Book of Life 😂
xlnPHQ3TLX8,I’m Mexican boy and I fall in love with this movie! Thank you so much! 🇲🇽🎊❤️
xlnPHQ3TLX8,"Hello Pixar,you guys make some amazing movies but can you not put out so many trailers it ruins the hole movie"
xlnPHQ3TLX8,"Friends on usa, don't miss this movie!"
xlnPHQ3TLX8,"Book of Life is more for a childrens, more comey than a important message.Coco have a great animation, if you look Miguel Grandma you will note the perfect animation.
They spend 7 years doing this, and as a Mexican I can say I never seen a movie more close to our traditions than this one. 
If you had someone pass out recently like your grandma o any family member, you will cry as child. I dont want to say that is more sadly than Toy Story 3, depends of who is watching, but if you are like me and you miss your Grandma, is impossible to dont love this movie. The message in this movie is more deep and important than in any other pixar movie.
Congrats to pixar!"
xlnPHQ3TLX8,Beautiful movie!!!!
xlnPHQ3TLX8,Amazing Mexican culture
xlnPHQ3TLX8,"Pixar, thank you! This movie represents a gift from all México to the world! once more..."
xlnPHQ3TLX8,Miguel looks like Marco Diaz. XD
xlnPHQ3TLX8,Plague!
