Video ID,Comment
zyYgDtY2AMY,Isn't it about time we make a movie about Senna vs Prost?
zyYgDtY2AMY,Wasn't the original name of this movie changed or something shortly after this trailer came out? What was the original name?
zyYgDtY2AMY,"Yeah Tokyo drift may be my favorite movie but...
*this one might be my new favorite*"
zyYgDtY2AMY,Godspeed Lee... hope you got to see this...
zyYgDtY2AMY,"Once upon a time in hollywood: Im the best movie of the year
Ford v Ferrari: *No i dont think you are*"
zyYgDtY2AMY,I am so in line already !! This is my kind of movie...👍
zyYgDtY2AMY,Just realize this is the first movie where Matt Damon stars a character that will help a company beat its rival that dominated the scene. Huh.
zyYgDtY2AMY,"I was a fool for watching this trailer, as if Bale would make a movie I wouldn’t watch"
zyYgDtY2AMY,Legendary.
zyYgDtY2AMY,Matt and bale for next F&F
zyYgDtY2AMY,"Hey, anyone didn't notice that Noah Jupe also in here??"
zyYgDtY2AMY,yeeaaah! life!
zyYgDtY2AMY,This will be worth seeing great actors I have only watched trailer 43 times and still 3months to go
zyYgDtY2AMY,RIP Carroll Shelby and Lee Iaccoca. American car designing legends.
zyYgDtY2AMY,"Ferrari: He's making his first mistake.
Ford: It's not a mistake. They don't make mistakes. They don't do random. There's always an objective. Always a target.
Ferrari: The objectives and targets always came from us. Who's giving them to him now?
Ford: Scary version? He is."
zyYgDtY2AMY,3k Chevy guys disliked this video.
zyYgDtY2AMY,"FORZA FERRARI !!

Que Bella Machina!"
zyYgDtY2AMY,Yeah baby!!!
zyYgDtY2AMY,"By the time Shelby and Holman Moody got through with it there was not much British left in it.   The motor was Ford,  the trans axle was Ford,  the wheels were Halibrand, the tires were Goodyear,  the suspension had been completely redesigned and the body had been redesigned in an American wind tunnel.    It started off British......... but by the time  Dan Gurney and A J  Foyt won Le Mans in '67 it was about as British as cowboy boots."
zyYgDtY2AMY,"""My name is Carroll Shelby and performance is my business."" - Carroll Shelby (1923 - 2012) RIP."
zyYgDtY2AMY,Christian Bale is a chameleon.
zyYgDtY2AMY,Slowly
zyYgDtY2AMY,Nice for sunday morning
zyYgDtY2AMY,Some of you guys go to the track ?
zyYgDtY2AMY,AHHHHHHHHHHH! I got to wait until November for this movie ??? Crap !!!!! Can't wait.
zyYgDtY2AMY,So it’s rush with Matt Damon
zyYgDtY2AMY,Just the movie trailer is more exciting than the current F1 season.....
zyYgDtY2AMY,Fuxk Chevy
zyYgDtY2AMY,The ford gt40
zyYgDtY2AMY,"Forza Motorsport 6 launch trailer brought me back in time.
And Carroll Shelby's last car to build was a 2011 or 2013 Ford Shelby GT500."
zyYgDtY2AMY,This picture must be a real dud. It should have been released months ago. Problem movies get shelved. This looks like it has all the ingredients for a bomb.
zyYgDtY2AMY,Fun fact: apart from Tesla Ford is the only car company in the world that has never gone bankrupt.
zyYgDtY2AMY,"I am looking forward to seeing this movie, thank god Hollywood didnt decide to make Henry Ford 2 and Carol Shelby women, just for the sake of diversity and social inclusion."
zyYgDtY2AMY,Love how the rolling stones are relevant in movies
zyYgDtY2AMY,i am speed
zyYgDtY2AMY,I can't waittt
zyYgDtY2AMY,Looks like an Academy Award nominee. ☕
zyYgDtY2AMY,"Yep, i'm watching this, day 1"
