Video ID,Comment
a6O30nJ02PU,"🔴🔴🔴🔴WARNING🔴🔴🔴🔴
It’s the WORST movie OF ALL TIME
Seriously, don’t waste ur money on a shitty movie like this."
a6O30nJ02PU,Ahh yes a magic island with a genie twisting the wishes. So remember kids be very specific when making a wish
a6O30nJ02PU,The worst movie i have seen ever.
a6O30nJ02PU,I remember the original TV series. Farthest thing from horror. So sad.
a6O30nJ02PU,Three things wrong with this trailer. The blonde main girl seems like a horrible actress. The stock sound effect of the little girl laughing is so bad. And the stereotypical nose bleed in a horror cliché.
a6O30nJ02PU,Lucy Hale is really good. She was in truth or dare as well
a6O30nJ02PU,Holy shit I thought Hannah Wells was dead
a6O30nJ02PU,This looks great and epic I can't wait to see it
a6O30nJ02PU,“The plane! It’s here.” That’s it? That’s all we get?
a6O30nJ02PU,"Blumhouse and Michael Pena is enough for me to lose interest. After seeing this my suspicion was confirmed. Crap ! Fantasy island was not horror, MR Roarke was not a villian, where is Tattoo ? I'll pass !"
a6O30nJ02PU,Omg I like really wanna watch this-
a6O30nJ02PU,Because their fantasies happen duuuh you want it you got it wish granted that’s why they used 7 rings ..
a6O30nJ02PU,that looks fucking GOOD. Also you got me sold with 7 Rings. the way the song played is perfect.
a6O30nJ02PU,THIS MOVIE IS PROBABLY GONNA BOMB AT THE BOX OFFICE.
a6O30nJ02PU,Definitely will watch. Once it hits the $3.50 movie bin at Wal-Mart. No way in hell would I pay more to hear a song by AG or watch LH try to act. Made that mistake once.
a6O30nJ02PU,This is how *dark web* works
a6O30nJ02PU,Ya
a6O30nJ02PU,Ya
a6O30nJ02PU,Already calling it it’s gonna two hours and there’s only gonna be jump scares to stop the audience getting board
a6O30nJ02PU,Why am I getting so many ads for this movie
a6O30nJ02PU,Why do I keep getting ads for this  while I'm listening to the Beatles and queen
a6O30nJ02PU,When seven rings started playing I was very very confused
a6O30nJ02PU,Ariana Grande shouldn’t be the soundtrack of any horror movie trailer like wtf
a6O30nJ02PU,"The shortest short film I’ve seen, but why did they put a date at the end?"
a6O30nJ02PU,Duration??
a6O30nJ02PU,leave it to blumhouse to make a remix of 7 rings for a horror movie.
a6O30nJ02PU,Who else was confused through the whole trailer?
a6O30nJ02PU,Dude I've been waiting for this new Scooby Doo!
a6O30nJ02PU,"Such a good movie!!!
Just watched!!"
a6O30nJ02PU,Trailers always giving away too much.
a6O30nJ02PU,Cabin in the woods: Island edition
a6O30nJ02PU,My friend is in this. got to see it opening. its worth the cash hey. would say its worth a night out for .
a6O30nJ02PU,Another Hollywood hack job. WTF is this abomination.
a6O30nJ02PU,Lost meets Westworld meets The Nun
a6O30nJ02PU,Watchers: I want to watch something that is not Fantasy Island.                                               Ads: wElCoMe tO fAnTAsY iSlAnD
a6O30nJ02PU,great seen the whole movie no need to go to theatre😎😎😎😎😎😎😎😎
a6O30nJ02PU,Looks shit
a6O30nJ02PU,This movie is great. Forget about all the bad reviews. The story is good tho. I don't like the ending but i do like the easter egg in the end. ( Hint : A partner for the boss)
a6O30nJ02PU,Cool
a6O30nJ02PU,"This is made by the same sickos who made The Purge and The Hunt.  Oh, sorry, just satire!"
a6O30nJ02PU,Remember when the television show got spooky. Rourke had to do battle once. So this movie is no stretch of the imagination.
