Video ID,Comment
QkZxoko_HC0,I made my ex-girlfriend pick up her litter too!  Sigh...I guess that's why she's an ex LOL!
QkZxoko_HC0,"This trailer has an excellent balance of pathos and humor. I am sold. If the movie manages the same, it will be worth it."
QkZxoko_HC0,"Pick it up Tony.
The squirrels will eat it anyway.
Pick it up."
QkZxoko_HC0,This is like a movie that would come out in the 90s (starring Robert De Niro And Denzel Washington)
QkZxoko_HC0,"yeah, im in."
QkZxoko_HC0,"The Green Book was a pre-Civil Rights Era African-American travel guide which identified ""safe-spaces"" for the black traveler, i.e., places where you could get a meal and a bed and live through the night. Of course, for that reason, it was a book for affluent African-Americans, of which traveling musicians were the majority. In that sense, this movie is historically accurate. Still, I worry that this film will appear to be a mere inverse ""Driving Miss Daisy"" or a ""Bodyguard"" remake. I'd rather that they made a film about the making of the Green Book in the first place"
QkZxoko_HC0,"his accent sounds more like russian to me. lol. it could be just me. movie looks great, def gonna watch it."
QkZxoko_HC0,Dope ❤️❤️❤️❤️❤️
QkZxoko_HC0,Glad the carmine could find something else to do
QkZxoko_HC0,Another lame Hollywood movie playing on dumb stereotypes. Keep it up Tinsel Town!
QkZxoko_HC0,"Oh yeah, im watching this!!."
QkZxoko_HC0,"Two amazing actors, looks REALLY good"
QkZxoko_HC0,It's Driving Miss Daisy 2
QkZxoko_HC0,Anyone know the name of the first track used in this trailer?
QkZxoko_HC0,Looks like a GOOD solid film. ☕👽
QkZxoko_HC0,"Please, please, pleas don’t ruin this movie with to much of the movie shown in the trailer. This trailer is absolutely perfect and enough for me to promise to buy a ticket on opening night! Enough to bring tears to my eyes, to relate to the struggles of being judged by my physical appearance. Please."
QkZxoko_HC0,Whats the name of the song in the first like 30 secs?
QkZxoko_HC0,I hope Viggo wins the Oscar!!
QkZxoko_HC0,I am ready. The Academy is ready. Viggo is coming to get that Oscar.
QkZxoko_HC0,I'm feeling it: Viggo's Oscar is incoming.
QkZxoko_HC0,Viggo! He makes it so effortless.
QkZxoko_HC0,"Way to go Hollywood, keep busting our balls with the ""Pro-Blacks-Brainwashing"".  It's the ideal recipe to increase racism."
QkZxoko_HC0,sountrack minuto1.17 gracias
QkZxoko_HC0,oye.   menda.   uno.   Rante.   off.   si.  o.  no
QkZxoko_HC0,So excited for this film to come out!
QkZxoko_HC0,a film delivered by the gods
QkZxoko_HC0,Fantastic movie. Saw it at TIFF last week. Highly recommended!
QkZxoko_HC0,Man. This makes me wanna see this movie so much!
QkZxoko_HC0,"💿💿💿 #💿💿💿💿 💿💿💿 #💿💿💿💿 *Jesus Christ said only believe, that He is the Son of God.*
*He will give you the free gift of eternal life*
*He will also heal your body!*"
QkZxoko_HC0,Sam Smith’s Pray in the end....goosebumps!!
QkZxoko_HC0,This looks fantastic! Mahershala Ali is a powerhouse actor!
QkZxoko_HC0,Someome just tell me the name the  this Great song after mid clip !!!???
QkZxoko_HC0,"Outstouding FILM (4 the OSCARS)  just won today at TIFF (TORONTO INTL Film Festival, people's choice award, go and see it, U will not regret it; a film with such dignity, equity and human respect at its BEST!! Amazing ACTORS!! Such a great chemistry! :)"
QkZxoko_HC0,i'm excited to see this!
QkZxoko_HC0,"This is based on the guy who played Carmine in ""The Sopranos"""
QkZxoko_HC0,And the Oscar for the best picture goes too...
QkZxoko_HC0,This looks embarrassing
QkZxoko_HC0,Not usually my cup of tea - I am more into that Vox Lux type of movies but this looks like something I could see with my mom.
QkZxoko_HC0,"Yay, TIFF winning film 😄"
QkZxoko_HC0,Looks great
QkZxoko_HC0,No Way Out movie 1950
