Video ID,Comment
ek1ePFp-nBI,I mean movie
ek1ePFp-nBI,For sure watching this show
ek1ePFp-nBI,DEAD BY DAYLIGHT ANYONE?
ek1ePFp-nBI,Will YouTube have this movie tomorrow for purchase
ek1ePFp-nBI,#THELEGENDISBACK
ek1ePFp-nBI,Today's the day...…………………………..hello Michael.
ek1ePFp-nBI,When will it come out
ek1ePFp-nBI,Is this out rn
ek1ePFp-nBI,Has anybody watched this movie online for free and if so can you please tell me the links/sites!
ek1ePFp-nBI,I thought Jamie Lee Curtis character died in Halloween Resurrection 2002.
ek1ePFp-nBI,Hell yeah Danny McBride looks like he can direct a movie!!!
ek1ePFp-nBI,2:36 😂😂😂😂😂😂 Idk why that was so funny to me 😭😩
ek1ePFp-nBI,0:45 Pingu?
ek1ePFp-nBI,"Wait, so fucking throw out the other movies and just connect the very first movie to this movie? So was he arrested after his first killings?"
ek1ePFp-nBI,Just Saw it.... it was very good
ek1ePFp-nBI,"Talk about squeezing the orange dry, fuck me man"
ek1ePFp-nBI,Movies out tomorrow baby!! Hell Yea
ek1ePFp-nBI,"completely shit.
fuck sequelitus!"
ek1ePFp-nBI,Who else has never seen this movie but is HYPED for the new sequel?
ek1ePFp-nBI,https://soundcloud.com/devaughn-hammett/final-decision-1
ek1ePFp-nBI,Imagine how annoyed he had to have been *“why does this bitch keep trying to close the door it obviously won’t close wtf why do you do this I’m trying to make a dramatic entrance but Jesus your so annoying I️ want to bust out and stab you right now lord Christ”*
ek1ePFp-nBI,whose excited?
ek1ePFp-nBI,So is this a reboot a sequel or a prequel? It’s confusing
ek1ePFp-nBI,"In the original movie he was shot but he wasn’t taken into custody, he escaped"
ek1ePFp-nBI,"What doesn't make sense is, how she wants him to escape, so she can kill him. If he got captured and never escaped, put the evening behind you. Probably going to be another bad sequel, should have just killed him off in the first movie."
ek1ePFp-nBI,I thought Laurie Strode was killed off in Ressurection (finally) and I thought her daughter Jamie died in 1995? Is this Jamie Strodes daughter?  And  where is Laurie Strodes son?
ek1ePFp-nBI,"2:20 nice detail, they even have the needle hole in his neck from the first film."
ek1ePFp-nBI,This looks amazing!! I'm seeing it tonight! Can't wait!!
ek1ePFp-nBI,just got tickets for Saturday...fuck yeah
ek1ePFp-nBI,Good
ek1ePFp-nBI,The filming of the asylum was actually my military school in SC! Hope it's worth yall money 😁
ek1ePFp-nBI,The filming of the asylum was actually my military school in SC! Hope it's worth yall money 😁
ek1ePFp-nBI,*HYPE*
ek1ePFp-nBI,Michaels been taking his chondroitin glucosamine
ek1ePFp-nBI,"Check out my Cholo spoof of ""Halloween"" movie on my channel"
ek1ePFp-nBI,something is not right  how did they get michael meyers behide the bars in the firest one he was shot 8 time and then there was no bodie then end the first one????
ek1ePFp-nBI,"her : you don't believe in the boogieman ?

him : no 

her : you should 💀😂"
ek1ePFp-nBI,Check out this fast crazy short Sci Fi Horror Film Called K Cell done by Line A Roach Films https://youtu.be/xioKZoCXees
ek1ePFp-nBI,Halloween was a great horror film till the end now it's starting to get silly just like Friday the 13th
ek1ePFp-nBI,That Death by Daylight soundtrack
ek1ePFp-nBI,"Also the 10k dislikes are actually


50% kids who watch cartoon 
50% horror movie haters"
ek1ePFp-nBI,公開おめでとう！
ek1ePFp-nBI,"Also the 10k dislikes are actually


50% kids who watch cartoon 
50% horror movie haters"
ek1ePFp-nBI,Yay I luv Michael myers
ek1ePFp-nBI,Wait why is it bo zombies soundtrack
ek1ePFp-nBI,Doesn't look so scary
