Video ID,Comment
tL4McUzXfFI,Imagine getting Hollywood's head around this film. Now expect JoJo Rabbit 2 next season.
tL4McUzXfFI,"Какой бы фильм не был отличным, в России его не покажут"
tL4McUzXfFI,JOTARO
tL4McUzXfFI,AHAUAHA YES
tL4McUzXfFI,*_I JUST WATCHED THIS TONIGHT AND IT MADE ME CRY AF_*
tL4McUzXfFI,"Ok, we are all thinking it.


*J o J o  R a b b i t ' s  B i z a r r e  A d v e n t u r e*"
tL4McUzXfFI,"I hope all the UK actors get a £800 fine , if you can’t teach a pug to hail then why should they be aloud to male a movie ?"
tL4McUzXfFI,The movie was awesome!!!
tL4McUzXfFI,Finally
tL4McUzXfFI,"Oh my god,jojo,teaming up with Nazis again?"
tL4McUzXfFI,This film is absolutely stunning. 10 out of 10
tL4McUzXfFI,What the heck is that?!
tL4McUzXfFI,Wholesome movie to watch for Jewish people
tL4McUzXfFI,Just watched this film in cinema and its now singlehandedly my favourite film of all time. So funny with amazing characters and emotional at times. PLEASE WATCH.
tL4McUzXfFI,I'm going to see this today
tL4McUzXfFI,"I was almost in this film it was mint

The great thing is the casting call said they needed someone with little to no acting experience and this kid’s acting is awesome"
tL4McUzXfFI,everthing was fine in the first half but then the second half oooh we dont talk about that
tL4McUzXfFI,"A realistic jojo movie!?




You fell for it fool! Thunder cross split attack!!"
tL4McUzXfFI,I’m gonna to jojo meme the shit out with this movie
tL4McUzXfFI,"Jojo Rabbit is my favorite movie from 2019, no question. Such a fantastic film!"
tL4McUzXfFI,"Hitler is the kids imagery friend right?





*DOES THIS MEANS HITLER IS HIS STAND?*
This is not a original comment, I can’t find the original comment so I decided to pass on this joke according to memory just in case the original gets deleted"
tL4McUzXfFI,Chinese kid with mao zedong as their imaginary friend
tL4McUzXfFI,I can't wait to see this!
tL4McUzXfFI,when she says gesundheit but it makes no sense because it translates to the health in German
tL4McUzXfFI,"2:01 
Yorki? 
Jojo! 
(Fires rocket) 
Oh God..........! 
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂"
tL4McUzXfFI,ScaJo ist Juden
tL4McUzXfFI,Hooo Jojo Mukatee Kuru.... Mudaa...Mudaa.... Mudaa....Mudaaa......Muuuudaaaa....
tL4McUzXfFI,"You must understand. The leading Bolsheviks who took over Russia were not Russians. They hated Russians. They hated Christians. Driven by ethnic hatred they tortured and slaughtered millions of Russians without a shred of human remorse. The October Revolution was not what you call in America the ‘Russian Revolution.’ It was an invasion and conquest over the Russian people. More of my countrymen suffered horrific crimes at their bloodstained hands than any people or nation ever suffered in the entirety of human history. It cannot be understated. Bolshevism was the greatest human slaughter of all time. The fact that most of the world is ignorant of this reality is proof that the global media itself is in the hands of the perpetrators."" Aleksandr Solzhenitsyn"
tL4McUzXfFI,"just finish watching it. WOW it’s funny and very sad.
Taika Waititi done it again 👏👏👏👏"
