Video ID,Comment
AST2-4db4ic,I love eliza scalen to fucking death
AST2-4db4ic,AMMMAAAAA
AST2-4db4ic,Where can I watch it
AST2-4db4ic,whose watching this on Christmas!!!!???
AST2-4db4ic,And women think they have it tough these days
AST2-4db4ic,I can tell this is going to be one of my favourite films
AST2-4db4ic,"Oh GREAT !
1800's CAPTAIN MARVEL....
With LEFTIST  STREEP .....
I'll pass thank you very much."
AST2-4db4ic,"Next time Hollywood remakes the movie, they'll inject lesbians, a transgender, and add a black or yellow person in it as well. Why get creative, just take an oldie and change the character"
AST2-4db4ic,Will Jo and Laurie end up together in this version?
AST2-4db4ic,Sophia Lilith has the face for Jo and I think she’s the right age too
AST2-4db4ic,"I looooove this story, even though my favourite movie is the first one from 1949 (classic...) I always watch everyone is made, so I will watch this one too!! It really looks great!!"
AST2-4db4ic,"""I want to be great or nothing!! ""




Why do I hear these lines more clear than anything else!! 😬"
AST2-4db4ic,Looks Rubbish Winona Ryder best version
AST2-4db4ic,They should of got Moe Szylak to narrate
AST2-4db4ic,"The next Feminazi film. No, thanks."
AST2-4db4ic,This is what the Poe sisters were up to before Ganondorf took Hyrule.
AST2-4db4ic,I haven’t been this excited for a movie in a long time
AST2-4db4ic,Is this specifically based on the book or a remake of the 1994 movie?
AST2-4db4ic,"Holy cow, this is the girl from the lovely bones. I love that movie and I’m proud of her 👏oh shizzles it’s been a while 😂"
AST2-4db4ic,i love the fact that her last names march and march is women's history month
AST2-4db4ic,Meryl is perfect for the role of Aunt March.
AST2-4db4ic,"""I want to be great or nothing' 

Inspiring one❤️"
AST2-4db4ic,Hey you. Yea you scrolling thru the comments. What are you waiting for. Read the book its amazing
AST2-4db4ic,Oh I love Joe she is so sweet and in the book shes so nice
AST2-4db4ic,Yessssss. I read the 500 something page book a few years ago when I was 10
AST2-4db4ic,"Has anyone have an idea what is the song that goes from 1:03 to 1:20 ? 
I am dying to knooooow"
AST2-4db4ic,Okay can some one tell me who is this guy at 1:38 ?
AST2-4db4ic,"""You'll need to marry well!""
""But you're not married-""
""Well that's because I'm rich!""

Same energy as Cher's quote from an Interview:

""My mother always told me to marry a rich man and I said 'Mom, I am a rich man!'"""
AST2-4db4ic,poor emma watson shes done now!  hey lets KEEP REMAKING MOVIES! THATS AN ORIGINAL IDEA!!  looking forward to little women 2022
AST2-4db4ic,I wish Indonesia would be fast to put this movie on cinemas
AST2-4db4ic,:)
AST2-4db4ic,if jo and lawrence arnt gonna be together imma start a riot
AST2-4db4ic,Beth dies
AST2-4db4ic,"I went to a super conservative Christian school from elementary to my freshman year of HS. If I hadn't read Little Women or Anne of Green Gables, I feel like I would have a completely different view on  women and femininity and a whole lot of internalized misogyny."
AST2-4db4ic,Anyone know the song on the trailer?
AST2-4db4ic,This looks beautiful. And this is what a remake should be. A new adaptation and a retelling with a new feel and point of view on the novel.
AST2-4db4ic,"Little Women (1994) was done so, so well. If you have not seen it, please do so. I won't say anything negative against this remake, since I haven't seen it, and mainly because I know so many people put so much into it (cast and crew), yet, PLEASE do not undermine the greatness of the 90's adaptation. It is beyond worth seeing. It is the reason I value being an extra in Stranger Things (to say I worked on the same set as Winona Ryder, who touched my heart as Jo, when I was 5). I'm looking forward to the new adaptation, but PLEASE everyone watch the '94 Little Women...you won't regret it. It goes above and beyond expectations, relatabilty, and soulfulness. Claire Danes, Christian Bale, Susan Sarandon, Gabriel Byrne....."
AST2-4db4ic,"i will not be seeing this movie, not because there are women in it, but because there are men"
AST2-4db4ic,This story really didnt need to be remade with just a different set of white people
AST2-4db4ic,"of course the ""quirky"" ""independent"" ""free spiriteD"" girl gets the cute guy. its never any other way lmao"
AST2-4db4ic,"Last time I read Little Women was about 10 years ago, so now I'm rereading it to prepare for watching the movie. Im about a third of the way through the book, and it makes me very happy that I can already identify specific scenes I remembered reading. That is all :)"
AST2-4db4ic,"is 25 dec is the worldwide release or just in states? why there's not poster or anything like that yet on my country, i'm so affraid that they not gonna release it on my country"
AST2-4db4ic,I'm Still upset with Amy in 1994. How dare she burn Jo's book up! 😡
AST2-4db4ic,kok gua ga inget scene pas lagi nonton teater nya dh
AST2-4db4ic,Just for Emma 😍❤
AST2-4db4ic,Are timothée et saoirse's characters gonna be together in the movie???!
AST2-4db4ic,I am definitely looking forward to seeing this. Awesome casting. I hope the screenplay rises to the same level as the acting talent.
AST2-4db4ic,anyone know the song name at the end? Thanks !!
AST2-4db4ic,Emma Watson: queen of book adaptation movies😍
AST2-4db4ic,Literally timothée chalamet is so fricking hot and no one can tell be different
AST2-4db4ic,I like Meg and Jo! 😉
AST2-4db4ic,Of course they have to add modern feminist spins into it lol
AST2-4db4ic,"It's been DECADES since I read the book, but I don't remember Meg wanting to be an actress."
AST2-4db4ic,I want more of that 1:35 - 1:42
AST2-4db4ic,Nice try Meryl but Kathrine Hepburn was right about you. You're too fake to take part in a story like this.
AST2-4db4ic,"Question: is this movie only out on Christmas Day and then they’ll no longer play it again, or was I just imaging that? I would LOVE to go see it but if that’s the only day it’s out — I won’t be able."
AST2-4db4ic,Can you please tell me.... There are three little women movies. . Is this a continution Or something? Should I watch that to understand this..and where can i see this movie
AST2-4db4ic,"""I believe we have some say over who we love.""
""I think the poets would disagree.""
wow. please stop sleeping on this."
AST2-4db4ic,"2:14 melts me, every single time."
AST2-4db4ic,Statistics yo
AST2-4db4ic,1:38 is SO real i cant wait to watch this scene
AST2-4db4ic,does anyone else think that the actress for Amy is a little too mature to play the role for the youngest sister? I can see it as Amy is older but not as the little Amy.
AST2-4db4ic,Any feminists here?
AST2-4db4ic,I’m never going to be able to watch this without crying
AST2-4db4ic,The eye roll in the end by Jo Says it all...
AST2-4db4ic,I really like how the main logo of the film isn’t using a predictable cursive font. It feels modern
AST2-4db4ic,"I'm sure I'm going to love it because Little Women is one of my top 3 favorite books, I've read it dozens of times, but just from watching the trailer, I already see deviations from the book and that makes me unhappy hahaha. But I still have faith!"
AST2-4db4ic,Emma Watson still can’t act by the looks of it
AST2-4db4ic,This movie is SO amazing 😍
AST2-4db4ic,Aaaaaand dislike
AST2-4db4ic,Why do we need another one?
AST2-4db4ic,Tim others voice in the trailer is so calming 😂🤦‍♀️
AST2-4db4ic,Made me think of Joey and Rachel.
