Video ID,Comment
l9laReRAYFk,Gosh damnit.
l9laReRAYFk,Please no social justice revisionism or innuendo.
l9laReRAYFk,Please stop hating !!!!! The cgi isn't bad. This is the best cgi to make it look realistic. And by the way this movie is lit🔥🔥
l9laReRAYFk,"sorry, but you F*cked it up.  everyone, just watch restored film documentaries instead."
l9laReRAYFk,They better have Midway from sabaton playing
l9laReRAYFk,"MY Gosh, the trailer looks like a video game, or worse, a cartoon interspersed with staged acting with real actors.  It looks terrible."
l9laReRAYFk,CG CG CG CG CG
l9laReRAYFk,Add about 7k Japanese posters and we hit negative. We didn’t pick a fight with u folks. U did and we fought.
l9laReRAYFk,"hey Folks,just it seems like Pearl Harbour film? Holy cow ..Don't you think it's worth seeing it?"
l9laReRAYFk,It looks like Hürkuş movie
l9laReRAYFk,"Soldier:  What kind of music I must hear to win ? 
Sabaton:  Yes"
l9laReRAYFk,"The battle that saw Japan lose 4 carriers: Hiryu, Soryu, Kaga and Akagi."
l9laReRAYFk,Looks like america is trying to justify Hiroshima and Nagasaki bombings. Totally Shit..
l9laReRAYFk,ED SKREIN LUKE EVANS NICK JONAS DARREN CRISS MANDY MOORE WOODY HARRELSON  AARON ECKHART LUKE KLEINTANK KEEAN JOHNSON DENNIS QUAID & PATRICK WILSON
l9laReRAYFk,Theo Lynnea reason I would watch it would be for woody Harrelson
l9laReRAYFk,Why we have to keep dredging up the past so that we stay angry at what has happened in the past rather than moving on and changing the future. two👎👎 thumbs down to your stupid remake movie it's a damn shame it happened but it did and it's done..... you just can't think of anything else to make...💥
l9laReRAYFk,I imaging this will be uncomfortable for Japanese viewers... though based on the trailer the Japanese are likely just a nebulous bogeyman.
l9laReRAYFk,Anyone else thinks this movie looks cringy? Complete respect the battle and history but this movie just makes me cringe
l9laReRAYFk,the new world of warships trailer looks great
l9laReRAYFk,CGI looks terrible.
l9laReRAYFk,"This is huge,straight from the gates of lions"
l9laReRAYFk,2:06 thats not how planes work
l9laReRAYFk,It's probably cheaper to pop by the local market and buy some Cheez Whiz there.
l9laReRAYFk,A few men? 🤔
l9laReRAYFk,Love it
l9laReRAYFk,"Just watched it like 5 munites ago, it's a nice movie and the trailer is just a little fraction of the movie."
l9laReRAYFk,"sigh, the movie has not opened yet but it gets 30% on Rotten Tomatoes........................."
l9laReRAYFk,I'm gonna watch this tomorrow.
l9laReRAYFk,It's very nice movie.. I❤️it..
l9laReRAYFk,We did all that for California? I bet Japan wouldn't even take that shit hole for free now.
l9laReRAYFk,Animal cookies again?
l9laReRAYFk,I can’t believe this is being released theatrically.  I thought for sure it was straight to video.
l9laReRAYFk,"CGI carrier, CGI plane, CGI flightdeck (no smoke from the aircraft exhaust, no buffeting from the props, the crew is walking casually on the deck amid planes with spinning propellers.  Looks like a cheap made for TV movie. Heck Battlestar Galactica's flightdeck was more realistic than this"
l9laReRAYFk,"This movie will hopefully be historically accurate and also a big entertaining Hollywood movie like Michael bays Pearl harbor, I'm going to see this very soon"
l9laReRAYFk,2:06 - Hehe
l9laReRAYFk,Michael Bay's Pearl Harbor or Roland Emmerich's Midway?
l9laReRAYFk,This is a Battlefield campaign trailer lol
l9laReRAYFk,"YOU BETTER MAKE THIS MOVIE RIGHT!!!... NO MORE CGI B.S. AND CUTE BOYS WITH TIGHT ASSES PORTRAYING COMMANDERS AND BEING BAD BOYS FLYING BETWEEN THE EYE OF A NEEDLE STAR WARS CRAP!!!!... I'M SO HAD IT WITH THAT NONSENSE!!!!  
WHATEVER HAPPENED TO ALL THOSE SPENCER TRACY'S, JOHN BENDIX'S, BRIAN DONLEAVY'S, LEE MARVIN'S, ROBERT MITCHUM'S, WHERE ARE THEY??
REAL ACTORS!! 
LET ME REMIND TO ALL YOU MOVIE MAKERS THERE ARE THOSE OF US WHO KNOW WW2 HISTORY!!!.. AND KNOW IT WELL!!
DON'T GLORIFY THE ACTORS PLEASE!!!
HONOR THE HISTORY OF THE AMERICAN EXPERIENCE AND THE GREATEST GENERATION!!!"
l9laReRAYFk,Cool can't wait to play this game on my xbox one.  Love the throw back to first gen graphics.
l9laReRAYFk,Another instants where White America tries to make you think that they were the only one's to fight in WWII. 💩
l9laReRAYFk,"And now this stupid chinese goverment invading the whole south china sea and build military bases,  hope they learn from this movie.. No one would win,  peace is the only key. ."
l9laReRAYFk,"Lisää skeidaa,miten mahtavat ja voittamattomat jenkit on...."
l9laReRAYFk,"Give me the old 1976 Midway film ANY DAY and any OLD war film. I detest these new war films that rely heavily on computer graphics. I loved looking at the old ones that actually had the aircraft that were real, they used actual footage. Told the story exactly how it was, not like these modern day crap ones where there's a soppy love story or over dramatised. Pearl harbour was just like that, not much action but that stupid love triangle. 

But then again, people who either don't know the importance of this battle or are ignorant to it need the story told to them and in ways they'll understand."
l9laReRAYFk,Why does it look so sci fi? Feels like watching a terminator trailer
l9laReRAYFk,"This is the history of america philippines and japan where japan mocks like american to go to the open city, manila and they planned it to destroy the pearl harbor japan make america to surrender, america surrender the philippines 
But gen douglas macarthur once said to the filipinos
""I shall return"""
l9laReRAYFk,"I'm really surprised they made this movie. Kids today don't give two craps about what the greatest generation in America did. I bet if you asked half of them what what Midway, they probably say its some subway sandwhich."
l9laReRAYFk,"World of Warships ""B"" team made a movie?"
l9laReRAYFk,"Seeing Darren Criss's name up there, it's like I'm seeing my baby all grown up."
l9laReRAYFk,"Why are planes so low, like, all of these planes would be shot down in an instant if it got too close with AA. I'm not saying I'm an expert, but these planes should have stayed high up even when they're trying to bomb (well except if those were torpedoes). Welp, f*ck realism and let's just get on to the story anyway."
l9laReRAYFk,Why are they so many white people in this movie ????
l9laReRAYFk,"Breathtaking trailer 🤩, is it coming out on PC as well or is it PS4 exclusive ?"
l9laReRAYFk,Lions gate is a tool of the military industrial complex. Why are US taxpayers paying for this movie to be made? Military propaganda is disgusting.
l9laReRAYFk,"I just saw this today November 6, 2019 at first showing day Wednesday 11am in Cinema and it's a perfect movie! One of the best war movie!
Thank you America for the Freedom you gave the world by ending World War ll !
Thank you for producing this film!
See you in 2022 for the Battle in Philippine Sea!
🤜🤛🙏💓"
