Video ID,Comment
Fru8IkuDp_k,I have both disorders. Interesting to see how someone portrays it.
Fru8IkuDp_k,Exposition.
Fru8IkuDp_k,Edward Norton what an immense talent!
Fru8IkuDp_k,It was filmed in less than 48 days!
Fru8IkuDp_k,"mmmm i think, this will a awesome movie"
Fru8IkuDp_k,Hmmm looks good
Fru8IkuDp_k,📽️ https://youtu.be/RX_YK9n2dhE
Fru8IkuDp_k,Gotta see this
Fru8IkuDp_k,I laughed at this cause I have same problem
Fru8IkuDp_k,hope they are sued for causing a fire in the bronx.
Fru8IkuDp_k,I hope this is a comeback cause Edward Norton can do no wrong
Fru8IkuDp_k,AMAZING
Fru8IkuDp_k,"https://www.youtube.com/watch?v=waesW5JSZzA
A Must watch program on Motherless Brooklyn... Watch Now..."
Fru8IkuDp_k,He’s the WRITER?!!!!!!
Fru8IkuDp_k,What about fatherless Harlem?
Fru8IkuDp_k,This gives me LA Noire vibes ☺️☺️
Fru8IkuDp_k,I'm in: looks great. All star cast.
Fru8IkuDp_k,tenet?????
Fru8IkuDp_k,Is this better than Human Centipede?
Fru8IkuDp_k,Looks kind of stupid
Fru8IkuDp_k,Edward Norton is a great actor but Alec Baldwin is a pass for me.
Fru8IkuDp_k,Jerry Lewis was not available for the lead role.
Fru8IkuDp_k,Like this
Fru8IkuDp_k,Brooklyn is the trash capitol of the U.S. Human garbage. Right along with New Orleans.
Fru8IkuDp_k,I def wanna see this.
Fru8IkuDp_k,So he’s playing the brian character again from the score.
Fru8IkuDp_k,The book is fantastic as well.
Fru8IkuDp_k,"1:06 >sees Pennsylvania Station






*Nuts in PRR GG1*"
Fru8IkuDp_k,So good to see Tourette's on stage like this. I never saw it either.
Fru8IkuDp_k,Norton is back
Fru8IkuDp_k,Best Director maybe for Oscars as best actor win is already a given for mr phoenix ...
Fru8IkuDp_k,i've missed edward norton so much
Fru8IkuDp_k,It remind me of Mikey from mafia 2 .
Fru8IkuDp_k,"If you're gonna see this, please read the amazing book as well!"
Fru8IkuDp_k,The match scene was hilarious
Fru8IkuDp_k,So they just basically tell us Bruce willis dies?
Fru8IkuDp_k,I got a bit of Tourettes from abusing opioids.
Fru8IkuDp_k,I GOT THREADS IN MY HEAD MAN!
Fru8IkuDp_k,This is an SNL skit right lol?
Fru8IkuDp_k,Id say him and phoenix as co winners of the oscar award.
Fru8IkuDp_k,michael k williams! at least there's one Brooklyn actor in this movie
Fru8IkuDp_k,"I've wanted to see this ever since I heard he was doing a TS movie and knew if anyone could pull it off it'd be him. He's fantastic. As someone with TS and many other mental illnesses that come with it, it's never been an easy road. I'm blessed that i don't have to be on any meds for it, and suffer very mildly now with tics, but as a child growing up with it, i was a ticking time bomb and wouldn't wish it on anyone. I suffer from depression, anxiety, OCD, ADHD, and I'm super emo so it's been a challange but it could be worse. Much, much worse. I can't imagine being so ticcy as an adult. Most ppl don't believe that i have it. I'm just thankful. He's such an amazing deep actor."
Fru8IkuDp_k,Ive missed Ed Norton. Wonderful actor
Fru8IkuDp_k,I can't recall ever seeing a film with a protagonist with Tourette's so this seems really unique
Fru8IkuDp_k,As someone with tourettes he does an amazing job with making it seem real
Fru8IkuDp_k,"I am 1000% sure this movie will obtain several Oscar nominations and will get one (probably more than one)... Great production, formidable actors and tremendous script (amazing story), an excellent film!!"
Fru8IkuDp_k,Fucking love this guy.
