Video ID,Comment
SEUXfv87Wpk,TRASH
SEUXfv87Wpk,"Goblok sekali yang bikin trailer nya:""))
Film nya padahal bagus"
SEUXfv87Wpk,why is the toilet on top of a counter?
SEUXfv87Wpk,So whats the movie about? Wtf is this shit
SEUXfv87Wpk,Can someone plz tell me the name of main leads ?
SEUXfv87Wpk,"I thought this movie is about plague or monsters, like bugs. But its not.. its  just far more better than that.. very recommended movie"
SEUXfv87Wpk,This movie had me shook omg it's good 😮😍 guys I recommend everyone to see this u won't be disappointed
SEUXfv87Wpk,"from just the trailer, I have no idea what the main purpose is but i heard that it was good."
SEUXfv87Wpk,Good movie loved it
SEUXfv87Wpk,So...basically...humans are shit.
SEUXfv87Wpk,A master piece
SEUXfv87Wpk,Best Film and Best Director from 40th Blue Dragon Films Awards brought me here. Im gonna watch this!
SEUXfv87Wpk,What is the music from trailer?
SEUXfv87Wpk,I AM SPEECHLESS
SEUXfv87Wpk,"film opo ki ,ragenah blas"
SEUXfv87Wpk,"Trailer sooo good ,not show anything about this movie actual story 🤟 a actual  trailer should be liked this🌺🌸🌺🌺"
SEUXfv87Wpk,"Just watched this movie ,What a great movie ✌️💞💞💞💞💞 South korea movies always best👍👍👍 South korean cinema Another level 👌👌🙏🙏🙏"
SEUXfv87Wpk,LOVED IT!!!!!!!
SEUXfv87Wpk,"South Koreans (Hallyu) -->> MASTERS @ social-commentary!
Japanese -->> MASTERS @ existentialism commentary & intellectual life observations!"
SEUXfv87Wpk,ممكن احد يعطيني  رابط للفيلم مترجم للعربيه😭 يارب🤲🏻 أحد عربي يرد علي 😢
SEUXfv87Wpk,"I laughed a lot watching this film but everything became horrific at the end of the film. 8 of 10.
나는이 영화를보고 많이 웃었다. 그러나 영화의 끝에서 모든 것이 끔찍 해졌다.  10 중 8"
SEUXfv87Wpk,"This movie will leave you in Awe. But just when you thought the turns are done, it will hit you again and again and again to the point where youll be just left there clasping a hand in your mouth."
SEUXfv87Wpk,"Oh my god, this moviee... 
Worth the hype.. 😍😍😍"
SEUXfv87Wpk,"Parasite is a good movie. But not the best Asian film out there. There are more profound Asian films that could use some more recognition as well. But still glad, this film is being shown in US theatres."
SEUXfv87Wpk,"“They’re rich but still nice”
“They’re nice because they’re rich” 
This alone says so much 
This movie was definitely not a slightest lose of time in my life 
A must watch move mid"
SEUXfv87Wpk,BEST MOVIEEE ! I JUST WATCHED THIS GUYS AND THIS IS SOO AMAZING ! STILL CAN'T GET OVER FROM THE ENDING OF THIS MOVIE RECOMMENDED!!!
SEUXfv87Wpk,Park Seo Joon and Choi Woo Shik are really inseparable. My heart 🤣
SEUXfv87Wpk,I don’t get it
SEUXfv87Wpk,It's a film about how the rich are parasites on the working people ;) Loved it.
SEUXfv87Wpk,"I watched it from turkey today. Wow what a movie... 
ı tought it was normal but in second part everything changed"
SEUXfv87Wpk,Best movie. For me. When I was watching I was not pleased but the craziness. The twists.
SEUXfv87Wpk,one of the best movies ever. give it a try 10/10
SEUXfv87Wpk,I actually thought this was some sort of zombie apocalypse
