Video ID,Comment
7Pa_Weidt08,Going to see it on Saturday! HECK YE!
7Pa_Weidt08,"don't know why, but i loathe James Corden. I can't for the life of me figure out why he's popular, is it because he's british?"
7Pa_Weidt08,Boy is the Emoji Movie looking pretty entertaining right now!
7Pa_Weidt08,The critically and commercially panned Peter Rabbit! Oh boy!!!
7Pa_Weidt08,Mother of god this is a travesty
7Pa_Weidt08,What on earth have you done to Peter Rabbit? Are you dribbling idiots?
7Pa_Weidt08,Hey look it’s garfield 3
7Pa_Weidt08,"I saw this coming, poor Beatrix Potter must be turning in her grave :("
7Pa_Weidt08,Who allowed this!!!??????? HORRIFIC!!!!
7Pa_Weidt08,γίνονται πραγματάκια
7Pa_Weidt08,How about no.
7Pa_Weidt08,"Stop putting modern music and jokes in everything. 

I cringed so hard I turned inside out."
7Pa_Weidt08,"I may be the only person but...I think it looks hilarious. Some of you are taking simple things (ie a silly movie) very seriously. True, it's not the stuff we were read to as kids but times are ever changing. Get used to not getting used to things 🤷🏽‍♀️"
7Pa_Weidt08,The movie industry is running out of ideas
7Pa_Weidt08,Headlights!
7Pa_Weidt08,And make a real movie of princess and the frog
7Pa_Weidt08,They should make a real movie of Zootopia
7Pa_Weidt08,The new Eight Crazy Nights looks good!
7Pa_Weidt08,saw a peter rabbit trailer before watching
7Pa_Weidt08,"They’ve basically f@!*ked a classic!!!
Well done Hollywood, hope you spend the money on making a movie where you don’t completely disrespect generations of childhoods!"
7Pa_Weidt08,"CANCEL THIS ABOMINATION. OMG.

This isn’t Peter Rabbit.... This is fake!! No...😭"
7Pa_Weidt08,"So angry..my rage is untethered and it knows no bounds, I will fall upon Hollywood like the crashing of a thousand waves!!!"
7Pa_Weidt08,I think James Corden is stuck in a contract with Sony.
7Pa_Weidt08,But is the narrator American?!!! It was a british auther called Beartrix Potter who wrote all the lovely Peter Rabit books
7Pa_Weidt08,"I like James Corden, but they should've chosen someone else. And this movie is coming after the sweetness of Paddington? Step your game up, Sony."
7Pa_Weidt08,"James's talent seems to be endless, just keeps amazing us more and more...."
7Pa_Weidt08,I don't think Sony Pictures gives any fucks at all.
7Pa_Weidt08,I'd rather see the Peter Rabbit character retired than live on as a generic modern snarky kid's comedy character.
7Pa_Weidt08,Nobody can think of any actual GOOD ideas from movies these days! My mom was just saying the same thing!
7Pa_Weidt08,#NotMyRabbit
7Pa_Weidt08,How does this have 4000 likes???!!!!! I was so looking forward to taking my son to watch gis 1st movie at the cinema now it will have to wait  what an abomibation! I want to keep his innocence as long as possible and not tardish it with whatever this is. So sad
7Pa_Weidt08,"0:04-1:45, AAAHHHHHHHHH!!!!!!!!!!  What in God's name is that?!"
7Pa_Weidt08,IS NOTHING SACRED?!
7Pa_Weidt08,I don't know what's gonna be worse: this or Fifty Shades Freed?
7Pa_Weidt08,Why we can't have nice things
7Pa_Weidt08,A disgusting & appalling travesty. Anyone attached to this typical load of crap should be ashamed of themselves. Could have been a lovely film. Instead we'll once again have brain-washed children twerking out of theatres as the world continues it's downward plunge into idiocy.
7Pa_Weidt08,"This is really sad. I know I used to watch peter rabbit as a child but I don’t remember much about it. All I remember is really soft almost water coloring-like animation, pretty scenes with soothing classical soundtracks. So when I found out they made a movie I was really excited to see what kind of nostalgic vibes it gave and hoped it would re jog my memory a little— but this is what I saw. Such a disappointment"
7Pa_Weidt08,"This looks like utter trash.  Am I alone in thinking that James Corden is one of the most unfunny people in ""entertainment"" right now?"
7Pa_Weidt08,"Well, at least Hollywood is still making movies"
7Pa_Weidt08,Wish they remove this trailer on T.V. ASAP
7Pa_Weidt08,Why do they make fun of the fact that Peter has no pants? None of them have pants.
7Pa_Weidt08,"if Margot Robbie is in it i'll fucking watch it anyway, No matter how bad or stupid 😍😍 God I Love that Lady"
7Pa_Weidt08,Peter rabbit gets thrown out the window and Sony takes over.
7Pa_Weidt08,Why is Hollywood so hell-bent on spoiling all my childhood memories just to make a cheap buck or two? :P
7Pa_Weidt08,"I’m Just Asking, Why Do People Hate This Movie so Much? Welp, I love THIS MOVIE SO MUCH!!! And I don’t Really understand.. I think Beatrix Potter Would Love It... But Showing Off Hate Is Rude... Just uh.. please Dont Show Off Hate...."
7Pa_Weidt08,Portugal. The Man? Why?
7Pa_Weidt08,Oh sweet christ no. NO. MAKE IT STOP.
7Pa_Weidt08,This makes me so sad. Why does everything need to be sassy and silly?
7Pa_Weidt08,Sony please stop making movies. Please?
7Pa_Weidt08,I officially have lost all respect for James Cordan and Sony as a whole.
7Pa_Weidt08,General Hux has fear of a Pig.
7Pa_Weidt08,Just discovered that this movie was being made about five minutes ago—tried to watch the trailer and actually failed. I could not get past the first 45 seconds. This is foul.
7Pa_Weidt08,That looks terrible.
7Pa_Weidt08,"Perhaps we can have Spectrum Pulse cover this film when it comes out, so he can tear it to shreds..."
7Pa_Weidt08,"This movie is gonna be a torturer methed one day.
Like the rabbits are being soooo mean to a guy just cus he dosent want them in his garden.
ANYONE WOLD BE MAD!!! Now for the rest of the comment, im just gonna put the finger.👎👎🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕😤🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕😐🔫🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕"
7Pa_Weidt08,howd general hux end up here after being like second head of command of the first order lmfao
7Pa_Weidt08,I hope you go bankrupt Sony.
7Pa_Weidt08,I hope you go bankrupt Sony.
7Pa_Weidt08,I hope you go bankrupt Sony.
7Pa_Weidt08,I hope you go bankrupt Sony.
7Pa_Weidt08,I hope you go bankrupt Sony.
7Pa_Weidt08,I hope you go bankrupt Sony.
7Pa_Weidt08,I hope you go bankrupt Sony.
7Pa_Weidt08,I hope you go bankrupt Sony.
7Pa_Weidt08,I hope you go bankrupt Sony.
7Pa_Weidt08,I hope you go bankrupt Sony.
7Pa_Weidt08,I hope you go bankrupt Sony.
7Pa_Weidt08,I hope you go bankrupt Sony.
7Pa_Weidt08,I hope you go bankrupt Sony.
7Pa_Weidt08,At times like these I wish I could dislike a video 10 time
7Pa_Weidt08,What’s that background song called?
7Pa_Weidt08,Absolutely disgraceful! What would Beatrix Potter say if she saw this?
7Pa_Weidt08,No no no - This ain't Peter. This is a copy of the donkey from shrek.
7Pa_Weidt08,"Pathetic😡! As a new grandmother, I am quite proud of my daughter and son in law who refuse to subject my grandson to this garbage! He will grow up with the classic version of Peter Rabbit! Beatrix Potter IS turning over in her grave!"
7Pa_Weidt08,I grew up with the Beatrix Potter books... this hurts
7Pa_Weidt08,The nick Jr series has better writing than this.
7Pa_Weidt08,Did anybody see at 0:42 there's a no shirt fox and at 0:53  on the left there is a fox with a shirt?
