Video ID,Comment,processed
YqNYrYUiMfg,Is this our answer to All quiet on the Western front.,"['answer', 'quiet', 'western']"
YqNYrYUiMfg,"Who saw this movie, was it actually good?","['movie', 'actually', 'good']"
YqNYrYUiMfg,hello there good movie,"['hello', 'good', 'movie']"
YqNYrYUiMfg,Wait!  Where is Dogmeat?,"['wait', 'dogmeat']"
YqNYrYUiMfg,Why’s Ben Shapiro in WW1???,"['’', 'ben', 'shapiro', 'ww1']"
YqNYrYUiMfg,Narnia's gotten weird,
YqNYrYUiMfg,Still can't get over the fact that Sherlock and Moriarty  are in the same movie. Is this Passchendaele?,"['fact', 'sherlock', 'moriarty', 'movie', 'passchendaele']"
YqNYrYUiMfg,FSK?,
YqNYrYUiMfg,Sanitater!! Sanitater!!!,
YqNYrYUiMfg,"After watching the long shot in Atonement, I’m surprised it took so long for someone to come up with making an entire world war movie like Birdman in one shot","['watch', 'long', 'shot', 'atonement', 'surprised', 'long', 'come', 'entire', 'world', 'war', 'movie', 'like', 'birdman', 'shot']"
YqNYrYUiMfg,Can they release the version of this song in the trailer,"['release', 'version', 'song', 'trailer']"
YqNYrYUiMfg,"I'm confused, the release date for the film says december 25th and yet on the day and 2 days after it was suppost to come out I've looked up theatres near me to small and big cities and no theatres are showing this movie, is It only being shown in Europe at the moment? If that's the case when will it come to the u.s.?","['confused', 'release', 'date', 'film', 'december', '25th', 'day', '2', 'day', 'suppost', 'come', 'look', 'theatre', 'near', 'small', 'big', 'city', 'theatre', 'movie', 'europe', 'moment', 'case', 'come', 'u.s']"
YqNYrYUiMfg,WWI/WWII=Time to buy tickets,"['wwi', 'wwii', 'time', 'buy', 'ticket']"
YqNYrYUiMfg,Watched it..... Masterpiece!!!!!!!!!!!!!!!!!!!,"['watch', '.....', 'masterpiece']"
YqNYrYUiMfg,0:18 is it just me or does he sound like the British officer from Trench 11?,"['0:18', 'sound', 'like', 'british', 'officer', 'trench', '11']"
YqNYrYUiMfg,2917,
YqNYrYUiMfg,"Revolutionary Road, Road to Perdition and American Beauty were melodramatic tripe. I don't see much hope for war film genre in Mendes. His best audiences are first gen immigrants. Everyone else's sensibilities are ignored by Hollywood.","['revolutionary', 'road', 'road', 'perdition', 'american', 'beauty', 'melodramatic', 'tripe', 'hope', 'war', 'film', 'genre', 'mendes', 'good', 'audience', 'gen', 'immigrant', 'sensibility', 'ignore', 'hollywood']"
