Video ID,Comment,processed
5PSNL1qE6VY,@lisenbeeable It won't bebecause of that piece of crap people call new moon :[,"['@lisenbeeable', 'bebecause', 'piece', 'crap', 'people', 'new', 'moon']"
5PSNL1qE6VY,the critics are saying its the best movie in 3d and by james cameron (director),"['critic', 'good', 'movie', '3d', 'james', 'cameron', 'director']"
5PSNL1qE6VY,"So, what do the HUMANS eat???

If the planet is TOXIC to humans, then what do they do for food???

They CAN'T use the soil, they CAN'T eat the wildlife, and it takes 5 years for them to get to Pandora...

Plus why not just ""liquidate"" the SAVAGES???""

They OBVIOUSLY have NOTHING to offer us but PROFIT LOSS???

This latest  bit O' ""kvetching"" is for my GOOD FRIEND ""nickycash"" (AKA. Polyanna)

What good is SWEET ""NICKY"" when you have nothing SOUR to compare it to???

Life is good...","['human', 'eat', 'planet', 'toxic', 'human', 'food', ""can't"", 'use', 'soil', ""can't"", 'eat', 'wildlife', '5', 'year', 'pandora', '...', 'plus', 'liquidate', 'savages', 'obviously', 'offer', 'profit', 'loss', 'late', 'bit', 'o', 'kvetching', 'good', 'friend', 'nickycash', 'aka', 'polyanna', 'good', 'sweet', 'nicky', 'sour', 'compare', 'life', 'good', '...']"
5PSNL1qE6VY,Oh my goodness. Me and my kids couldn't wait to watch this movie this saturday morning...,"['oh', 'goodness', 'kid', 'wait', 'watch', 'movie', 'saturday', 'morning', '...']"
5PSNL1qE6VY,"Aw, what's the matter ""nicky"", did I ruin christmas 4 U???

Look ""PAL"", if I wanna point out the BLATANT INCONSISTENCIES of the DAMN MOVIE, then that's MY PERROGATIVE!!! 

The ONLY difference between ME & a ""critic"" is that the the ""critic"" gets paid.

Wow, if your SOOO upset over my CRITIQUE of Avatar, you must've REALLY been TEARY-EYED & DEPRESSED when you friend told you that there was no SANTY-CLAUS!!!

Seeing a ""HERB FROM THE BURB"" like you get upset made my day...

Life is good.","['aw', 'matter', 'nicky', 'ruin', 'christmas', '4', 'u', 'look', 'pal', 'wanna', 'point', 'blatant', 'inconsistencies', 'damn', 'movie', 'perrogative', 'difference', 'critic', 'critic', 'pay', 'wow', 'sooo', 'upset', 'critique', 'avatar', 'teary', 'eyed', 'depressed', 'friend', 'tell', 'santy', 'claus', 'herb', 'burb', 'like', 'upset', 'day', '...', 'life', 'good']"
5PSNL1qE6VY,YES!!!,
5PSNL1qE6VY,"I saw this movie at a special screening last night. I was naturally skeptical going in, as I do not prefer effect-heavy films usually. This movie was a nice surprise. Everything was fluid and seemingly real. The film is obviously long, running approximately 2 1/2 hours, but the time goes by quickly. It's Cameron's best film besides Terminator 2. The political commentary is rather ''in your face,'' but if you go into it with the mind of having fun, you won't be disappointed. 4/5","['movie', 'special', 'screening', 'night', 'naturally', 'skeptical', 'prefer', 'effect', 'heavy', 'film', 'usually', 'movie', 'nice', 'surprise', 'fluid', 'seemingly', 'real', 'film', 'obviously', 'long', 'run', 'approximately', '2', '1/2', 'hour', 'time', 'quickly', 'cameron', 'good', 'film', 'terminator', '2', 'political', 'commentary', 'face', 'mind', 'fun', 'disappoint', '4/5']"
5PSNL1qE6VY,A movie thats like watching someone play video games,"['movie', 's', 'like', 'watch', 'play', 'video', 'game']"
5PSNL1qE6VY,"Do you complain for the sake of complaining?  And gripe for the sake of griping?  you may identify yourself with both, but both will lead you to a wasted life full of disappointment.  
Enjoy the shallow entertainment(of griping) while it lasts I suppose, but if you dont curb it, before you know it, its all you will know.

Lifes good","['complain', 'sake', 'complain', 'gripe', 'sake', 'gripe', 'identify', 'lead', 'waste', 'life', 'disappointment', 'enjoy', 'shallow', 'entertainment(of', 'gripe', 'suppose', 'curb', 'know', 'know', 'life', 'good']"
5PSNL1qE6VY,Preordered my Imax 3D tickets for tonights show at 12:01 am. =D CGI is going to be sick!!!,"['preordere', 'imax', '3d', 'ticket', 'tonight', '12:01', '=d', 'cgi', 'sick']"
5PSNL1qE6VY,"Great 3D, but this is fantasy and unrealistic. War today:
Surround the village, drop napalm, kill everthing that tries to flee. To be safe, drop several Neutron bombs. The Newtron bombs was developed in the '80s. Everything living is killed, buildings are not damaged. Since man traveled to another planet, they should be able to us weapons developed in the '60s and '80s. Nice CGI and fantasy movie.","['great', '3d', 'fantasy', 'unrealistic', 'war', 'today', 'surround', 'village', 'drop', 'napalm', 'kill', 'everthe', 'try', 'flee', 'safe', 'drop', 'neutron', 'bomb', 'newtron', 'bomb', 'develop', '80', 'live', 'kill', 'building', 'damage', 'man', 'travel', 'planet', 'able', 'weapon', 'develop', '60', '80', 'nice', 'cgi', 'fantasy', 'movie']"
5PSNL1qE6VY,i think it's going to be the best movie ever,"['think', 'good', 'movie']"
5PSNL1qE6VY,"Dude, this is NOTHING like water world. where did you get that idea?","['dude', 'like', 'water', 'world', 'idea']"
5PSNL1qE6VY,"What SHITTY story-writing by Cameron!!!

Look, the air is supposed to be TOXIC, so the soldiers wear air-masks w/out ""BODY SUITS???""

HAHAHAHAHAHA!!!!!

Uh, correct me if I'm wrong, but doesn't your SKIN absorb oxygen too???

If not, then why do HUMANS wear chemical suits when dealing with TOXIC SPILLS both liquid & airborne???

And WHY do The N'avi have 10 toes and 8fingers???

And I STILL wanna know why a FUTURE MARINE is riding around in a 17TH CENTURY WHEEL-CHAIR???","['shitty', 'story', 'writing', 'cameron', 'look', 'air', 'suppose', 'toxic', 'soldier', 'wear', 'air', 'mask', 'w', 'body', 'suit', 'hahahahahaha', 'uh', 'correct', 'wrong', 'skin', 'absorb', 'oxygen', 'human', 'wear', 'chemical', 'suit', 'deal', 'toxic', 'spills', 'liquid', 'airborne', ""n'avi"", '10', 'toe', '8finger', 'wanna', 'know', 'future', 'marine', 'ride', '17th', 'century', 'wheel', 'chair']"
5PSNL1qE6VY,kagaroo jack was a pretty good movie imo...,"['kagaroo', 'jack', 'pretty', 'good', 'movie', 'imo', '...']"
5PSNL1qE6VY,"Hey scotland2019, I agree with your point...

I'm ALSO trying to point out the inconsistensies in the movie, but some people insist that I'm ""ranting""...

Let's see...CGI or a ""believable plot""...

I'll take the latter, THANK-YOU....","['hey', 'scotland2019', 'agree', 'point', '...', 'try', 'point', 'inconsistensie', 'movie', 'people', 'insist', 'rant', '...', 'let', '...', 'cgi', 'believable', 'plot', '...', 'thank', '....']"
5PSNL1qE6VY,"I don't know what's a BIGGER COP-OUT, your LAME excuse, or Cameron's LAZY-ASS writing...

I guess the CGI is supposed to compensate for SKETCHY-WRITING???

You know, for ALL the money this movie cost to make, how's about it at LEAST make sense???

So, you mean to tell me that ALL-TERRAIN- POWER-CHAIRS won't exist in the future, ""MARGIN???""

Hell, we have ALL-TERRAIN 4-wheeled MTB for the handicapped today...","['know', 'big', 'cop', 'lame', 'excuse', 'cameron', 'lazy', 'ass', 'writing', '...', 'guess', 'cgi', 'suppose', 'compensate', 'sketchy', 'writing', 'know', 'money', 'movie', 'cost', 'sense', 'mean', 'tell', 'terrain-', 'power', 'chairs', 'exist', 'future', 'margin', 'hell', 'terrain', '4-wheeled', 'mtb', 'handicapped', 'today', '...']"
5PSNL1qE6VY,"Aw, c'mon people!!!

You mean to tell me that future technology can tap into a person's mind, clone alien/human hybrids, AND travel light-years through space, BUT CAN'T CURE SIMPLE PARALYSIS??? 

The V.A. of the future must be FUCKING-OVER the war-vets like they're doing  today!

And why do they need human-powered ""amp-suits?"" 

We have remote-controlled, predator drones now, so why don't they have remote-controlled, patrol/sentry robots in the future?

Sounds like LAZY-ASS writing...","['aw', ""c'mon"", 'people', 'mean', 'tell', 'future', 'technology', 'tap', 'person', 'mind', 'clone', 'alien', 'human', 'hybrid', 'travel', 'light', 'year', 'space', ""can't"", 'cure', 'simple', 'paralysi', 'v.a.', 'future', 'fucking', 'war', 'vet', 'like', 'today', 'need', 'human', 'power', 'amp', 'suit', 'remote', 'control', 'predator', 'drone', 'remote', 'control', 'patrol', 'sentry', 'robot', 'future', 'sound', 'like', 'lazy', 'ass', 'writing', '...']"
