Video ID,Comment,processed
xlnPHQ3TLX8,This Movie is AWESOME and the Final is Unexpected.     Thumps Up Disney-Pixar.,"['movie', 'awesome', 'final', 'unexpected', 'thump', 'disney', 'pixar']"
xlnPHQ3TLX8,For Pete's Sake Guys Coco Is Not A Ripoff Of The Book Of Life.,"['pete', 'sake', 'guys', 'coco', 'ripoff', 'book', 'life']"
xlnPHQ3TLX8,yo soy de mexico,
xlnPHQ3TLX8,trailer song?,
xlnPHQ3TLX8,This looks like a Dreamworks movie.,"['look', 'like', 'dreamworks', 'movie']"
xlnPHQ3TLX8,I came here because of Inigo Pascual feom Philippines who will sing one of the theme.,"['come', 'inigo', 'pascual', 'feom', 'philippines', 'sing', 'theme']"
xlnPHQ3TLX8,Na i se this movie 3 times 😂 iris very good,"['na', 'se', 'movie', '3', 'time', '😂', 'iris', 'good']"
xlnPHQ3TLX8,Mi mexican:),
xlnPHQ3TLX8,Now I want a Disney movie entirely set in Italy,"['want', 'disney', 'movie', 'entirely', 'set', 'italy']"
xlnPHQ3TLX8,"Soy mexicano y créanme que esta película no tiene nada que ver con el estéreotipo de ""The book of life"" esta si merece ser llamada un película para México",
xlnPHQ3TLX8,Beautiful visual and amazing music,"['beautiful', 'visual', 'amazing', 'music']"
xlnPHQ3TLX8,0:57 gimme some head! (lol) 😀,"['0:57', 'gimme', 'head', 'lol', '😀']"
xlnPHQ3TLX8,I am already waiting for COCO 2.,"['wait', 'coco', '2']"
xlnPHQ3TLX8,"if u don't know about mexican culture u Will compare  with the book of life, it's totally diferent","['u', 'know', 'mexican', 'culture', 'u', 'compare', 'book', 'life', 'totally', 'diferent']"
xlnPHQ3TLX8,*ripoff alert*,
xlnPHQ3TLX8,"IT HAS NOTHING TO DO WITH THE BOOK OF LIFE, I already watched it. GIVE IT A CHANCE!! It's AMAZING!!","['book', 'life', 'watch', 'chance', 'amazing']"
xlnPHQ3TLX8,Rip off of the book of life,"['rip', 'book', 'life']"
xlnPHQ3TLX8,The best movie! I love it! ❤️,"['good', 'movie', 'love', '❤', '️']"
xlnPHQ3TLX8,Basically The Book of Life 😂,"['basically', 'book', 'life', '😂']"
xlnPHQ3TLX8,I’m Mexican boy and I fall in love with this movie! Thank you so much! 🇲🇽🎊❤️,"['mexican', 'boy', 'fall', 'love', 'movie', 'thank', '🇲', '🇽', '🎊', '❤', '️']"
xlnPHQ3TLX8,"Hello Pixar,you guys make some amazing movies but can you not put out so many trailers it ruins the hole movie","['hello', 'pixar', 'guy', 'amazing', 'movie', 'trailer', 'ruin', 'hole', 'movie']"
xlnPHQ3TLX8,"Friends on usa, don't miss this movie!","['friend', 'usa', 'miss', 'movie']"
xlnPHQ3TLX8,"Book of Life is more for a childrens, more comey than a important message.Coco have a great animation, if you look Miguel Grandma you will note the perfect animation.
They spend 7 years doing this, and as a Mexican I can say I never seen a movie more close to our traditions than this one. 
If you had someone pass out recently like your grandma o any family member, you will cry as child. I dont want to say that is more sadly than Toy Story 3, depends of who is watching, but if you are like me and you miss your Grandma, is impossible to dont love this movie. The message in this movie is more deep and important than in any other pixar movie.
Congrats to pixar!","['book', 'life', 'children', 'comey', 'important', 'message', 'coco', 'great', 'animation', 'look', 'miguel', 'grandma', 'note', 'perfect', 'animation', 'spend', '7', 'year', 'mexican', 'movie', 'close', 'tradition', 'pass', 'recently', 'like', 'grandma', 'o', 'family', 'member', 'cry', 'child', 'want', 'sadly', 'toy', 'story', '3', 'depend', 'watch', 'like', 'miss', 'grandma', 'impossible', 'love', 'movie', 'message', 'movie', 'deep', 'important', 'pixar', 'movie', 'congrat', 'pixar']"
xlnPHQ3TLX8,Beautiful movie!!!!,"['beautiful', 'movie']"
xlnPHQ3TLX8,Amazing Mexican culture,
xlnPHQ3TLX8,"Pixar, thank you! This movie represents a gift from all México to the world! once more...","['pixar', 'thank', 'movie', 'represent', 'gift', 'méxico', 'world', '...']"
xlnPHQ3TLX8,Miguel looks like Marco Diaz. XD,"['miguel', 'look', 'like', 'marco', 'diaz', 'xd']"
xlnPHQ3TLX8,Plague!,
xlnPHQ3TLX8,it would have been nice to have november 2nd (dia de los muertos).,"['nice', 'november', '2nd', 'dia', 'de', 'los', 'muertos']"
xlnPHQ3TLX8,I WANT REAL MOVIE TWT,"['want', 'real', 'movie', 'twt']"
xlnPHQ3TLX8,"At first I thought this was a ripoff of The book of life too, but after seeing Coco I realize how  wrong I was, I'm not going to spoil anything but the story is completely different and in my opinion I loved Coco more than The book of life (Just my opinion). Take those ideas out of your head and give the movie a chance,  I can assure you that it is beautiful and worth it","['think', 'ripoff', 'book', 'life', 'coco', 'realize', 'wrong', 'spoil', 'story', 'completely', 'different', 'opinion', 'love', 'coco', 'book', 'life', 'opinion', 'idea', 'head', 'movie', 'chance', 'assure', 'beautiful', 'worth']"
xlnPHQ3TLX8,"I watched this movie a couple of days ago, I cried a couple of times. Probably one of the best animated movies ever","['watch', 'movie', 'couple', 'day', 'ago', 'cry', 'couple', 'time', 'probably', 'good', 'animate', 'movie']"
xlnPHQ3TLX8,IS THE BEST MOVIE OF DISNEY ...,"['best', 'movie', 'disney', '...']"
xlnPHQ3TLX8,"I already saw this movie and it's not a copy of ""the book of life""
I'm from Mexico
It's touching and very beautiful, I hope you can see it","['movie', 'copy', 'book', 'life', 'mexico', 'touching', 'beautiful', 'hope']"
xlnPHQ3TLX8,"I saw this movie and is completely different than the book of life, really i cry","['movie', 'completely', 'different', 'book', 'life', 'cry']"
xlnPHQ3TLX8,who came here from roblox.,"['come', 'roblox']"
xlnPHQ3TLX8,This is the same of The book of Life,"['book', 'life']"
xlnPHQ3TLX8,Im pretty sure Ernesto De la Cruz is Pedro Infante but Disneyfied,"['pretty', 'sure', 'ernesto', 'de', 'la', 'cruz', 'pedro', 'infante', 'disneyfie']"
xlnPHQ3TLX8,this is a terrible copy of The Book of Life. Soooooo Original D/P >:-L,"['terrible', 'copy', 'book', 'life', 'soooooo', 'original', 'd', 'p', '-l']"
xlnPHQ3TLX8,Guys. Saying this is a ripoff of Book of Life is like saying that Forza is a ripoff of Mario Kart just because both involve racing.,"['guy', 'ripoff', 'book', 'life', 'like', 'forza', 'ripoff', 'mario', 'kart', 'involve', 'race']"
xlnPHQ3TLX8,The best movie I've ever seen.,"['good', 'movie']"
xlnPHQ3TLX8,most beautiful film ever. It made me cry,"['beautiful', 'film', 'cry']"
xlnPHQ3TLX8,"I just watched the movie and it’s amazing,  I recommend this movie, one of the best movies made by Disney Pixar so far (I’m sure you’ll cry)","['watch', 'movie', '’', 'amazing', 'recommend', 'movie', 'good', 'movie', 'disney', 'pixar', 'far', 'sure', 'cry']"
xlnPHQ3TLX8,Is really diferent of the book of life... i see the movie yet and i'm pround of my country and the form they represent all in this movie,"['diferent', 'book', 'life', '...', 'movie', 'pround', 'country', 'form', 'represent', 'movie']"
xlnPHQ3TLX8,"This was already released in Mexico and it was AMAZING! Stop saying it is the same as The Book of Life if you haven't seen it, you look like a moron.","['release', 'mexico', 'amazing', 'stop', 'book', 'life', 'look', 'like', 'moron']"
xlnPHQ3TLX8,For all the people that are saying that this is a copie of the book of life....YOU HAVE TO KNOW THAT BOTH MOVIES ARE INSPIRED IN DIA DE MUERTOS AND IT CAN BE 1927374728Q9827363737484929Q922 MOVIES ABOUT THIS CELEBRATION AND THAT DOESNT MEAN THAT HAS TO BE THE SAME STORY😊 thanks,"['people', 'copie', 'book', 'life', '....', 'know', 'movie', 'inspire', 'dia', 'de', 'muertos', '1927374728q9827363737484929q922', 'movie', 'celebration', 'doesnt', 'mean', 'story', '😊', 'thank']"
xlnPHQ3TLX8,"This movie is not the copie of the book of life...Día de muertos wasnt invented by Guillermo del toro, is a mexican celebration that has a lot of years being celebrated...the story of the movie is not the same 😒.

People have to investigate first before saying things that are not true. 🙃","['movie', 'copie', 'book', 'life', '...', 'día', 'de', 'muertos', 'invent', 'guillermo', 'del', 'toro', 'mexican', 'celebration', 'lot', 'year', 'celebrate', '...', 'story', 'movie', '😒', 'people', 'investigate', 'thing', 'true', '🙃']"
xlnPHQ3TLX8,This is really Cute! Why isn't coming out so late rather than when the holiday is actually celebrated?,"['cute', 'come', 'late', 'holiday', 'actually', 'celebrate']"
xlnPHQ3TLX8,Oh!This movie already a Massive hit,"['oh!this', 'movie', 'massive', 'hit']"
xlnPHQ3TLX8,im grom mexica,
xlnPHQ3TLX8,coco(the book of life 2),"['coco(the', 'book', 'life', '2']"
xlnPHQ3TLX8,Looks like the second part of book    of Life. Personally I like it.,"['look', 'like', 'second', 'book', 'life', 'personally', 'like']"
xlnPHQ3TLX8,2017 guys?,
xlnPHQ3TLX8,Never design skeletons with eyeballs. It would look so much better without them.,"['design', 'skeleton', 'eyeball', 'look']"
xlnPHQ3TLX8,"Pixar gave us so much over the last 22 years:

Toys
Bugs
Monsters
Fish
Superheroes 
Automobiles 
Rodents
Robots
Floating houses
Scotland 
Emotions 
Dinosaurs
And now... Skeletons!","['pixar', '22', 'year', 'toy', 'bug', 'monster', 'fish', 'superheroe', 'automobiles', 'rodents', 'robot', 'float', 'house', 'scotland', 'emotions', 'dinosaur', '...', 'skeleton']"
xlnPHQ3TLX8,HAHAHAHA  jaw dropping moment at the end LOL,"['hahahaha', 'jaw', 'drop', 'moment', 'end', 'lol']"
xlnPHQ3TLX8,Looks so beautiful af,"['look', 'beautiful', 'af']"
xlnPHQ3TLX8,is it just me or is i kind of like the book of life,"['kind', 'like', 'book', 'life']"
xlnPHQ3TLX8,Does anyone know the producer of the music ???,"['know', 'producer', 'music']"
xlnPHQ3TLX8,This would be me trying to find Walt Disney in the Land of the Ancestors.,"['try', 'find', 'walt', 'disney', 'land', 'ancestor']"
xlnPHQ3TLX8,I have a dog named Coco,"['dog', 'coco']"
xlnPHQ3TLX8,this a rip off on the book of life,"['rip', 'book', 'life']"
xlnPHQ3TLX8,Marco is that you?,['marco']
xlnPHQ3TLX8,simply beautiful,"['simply', 'beautiful']"
xlnPHQ3TLX8,こ↑こ↓,
xlnPHQ3TLX8,the Adventure Of Miguel Rivera :v,"['adventure', 'miguel', 'rivera', 'v']"
xlnPHQ3TLX8,It's pretty much the book of life and its sad that the new frozen short is before this movie like they force u to see this movie if u want to see the short,"['pretty', 'book', 'life', 'sad', 'new', 'frozen', 'short', 'movie', 'like', 'force', 'u', 'movie', 'u', 'want', 'short']"
xlnPHQ3TLX8,Coco is stupid! :(,
xlnPHQ3TLX8,"Bello,ma sono troppo preso da Cars 3!!",
xlnPHQ3TLX8,The music is stunning...,"['music', 'stunning', '...']"
xlnPHQ3TLX8,book of life 2,
xlnPHQ3TLX8,"This will probably receive the following Oscar nominations
- Best Animated Feature
- Best Original Score
- Best Original Screenplay

It may get nominations for
- Best Picture","['probably', 'receive', 'follow', 'oscar', 'nomination', 'best', 'animated', 'feature', 'best', 'original', 'score', 'best', 'original', 'screenplay', 'nomination', 'good', 'picture']"
xlnPHQ3TLX8,Any Super Mario Odyssey Comment's?,"['super', 'mario', 'odyssey', 'comment']"
xlnPHQ3TLX8,Omg!!!! I go to cinema on this film!!!!!!!!,"['omg', 'cinema', 'film']"
xlnPHQ3TLX8,And theres a lot of papayrus (=30),"['s', 'lot', 'papayrus', '30']"
xlnPHQ3TLX8,BUT I DONT CARE DISNEY IS GREATTT,"['dont', 'care', 'disney', 'greattt']"
xlnPHQ3TLX8,LOOKs like book of life,"['look', 'like', 'book', 'life']"
xlnPHQ3TLX8,"Why I want to watch this movie:
10% because its a Pixar movie
15% because it is based in Mexico 
75% a xoloitzcuintli is in it","['want', 'watch', 'movie', '10', 'pixar', 'movie', '15', 'base', 'mexico', '75', 'xoloitzcuintli']"
