Video ID,Comment,processed
zyYgDtY2AMY,Isn't it about time we make a movie about Senna vs Prost?,"['time', 'movie', 'senna', 'vs', 'prost']"
zyYgDtY2AMY,Wasn't the original name of this movie changed or something shortly after this trailer came out? What was the original name?,"['original', 'movie', 'change', 'shortly', 'trailer', 'come', 'original']"
zyYgDtY2AMY,"Yeah Tokyo drift may be my favorite movie but...
*this one might be my new favorite*","['yeah', 'tokyo', 'drift', 'favorite', 'movie', '...', 'new', 'favorite']"
zyYgDtY2AMY,Godspeed Lee... hope you got to see this...,"['godspeed', 'lee', '...', 'hope', '...']"
zyYgDtY2AMY,"Once upon a time in hollywood: Im the best movie of the year
Ford v Ferrari: *No i dont think you are*","['time', 'hollywood', 'good', 'movie', 'year', 'ford', 'v', 'ferrari', 'think']"
zyYgDtY2AMY,I am so in line already !! This is my kind of movie...👍,"['line', 'kind', 'movie', '...', '👍']"
zyYgDtY2AMY,Just realize this is the first movie where Matt Damon stars a character that will help a company beat its rival that dominated the scene. Huh.,"['realize', 'movie', 'matt', 'damon', 'star', 'character', 'help', 'company', 'beat', 'rival', 'dominate', 'scene', 'huh']"
zyYgDtY2AMY,"I was a fool for watching this trailer, as if Bale would make a movie I wouldn’t watch","['fool', 'watch', 'trailer', 'bale', 'movie', 'watch']"
zyYgDtY2AMY,Legendary.,
zyYgDtY2AMY,Matt and bale for next F&F,"['matt', 'bale', 'f&f']"
zyYgDtY2AMY,"Hey, anyone didn't notice that Noah Jupe also in here??","['hey', 'notice', 'noah', 'jupe']"
zyYgDtY2AMY,yeeaaah! life!,
zyYgDtY2AMY,This will be worth seeing great actors I have only watched trailer 43 times and still 3months to go,"['worth', 'great', 'actor', 'watch', 'trailer', '43', 'time', '3month']"
zyYgDtY2AMY,RIP Carroll Shelby and Lee Iaccoca. American car designing legends.,"['rip', 'carroll', 'shelby', 'lee', 'iaccoca', 'american', 'car', 'designing', 'legend']"
zyYgDtY2AMY,"Ferrari: He's making his first mistake.
Ford: It's not a mistake. They don't make mistakes. They don't do random. There's always an objective. Always a target.
Ferrari: The objectives and targets always came from us. Who's giving them to him now?
Ford: Scary version? He is.","['ferrari', 'mistake', 'ford', 'mistake', 'mistake', 'random', 'objective', 'target', 'ferrari', 'objective', 'target', 'come', 'ford', 'scary', 'version']"
zyYgDtY2AMY,3k Chevy guys disliked this video.,"['3k', 'chevy', 'guy', 'dislike', 'video']"
zyYgDtY2AMY,"FORZA FERRARI !!

Que Bella Machina!","['forza', 'ferrari', 'que', 'bella', 'machina']"
zyYgDtY2AMY,Yeah baby!!!,
zyYgDtY2AMY,"By the time Shelby and Holman Moody got through with it there was not much British left in it.   The motor was Ford,  the trans axle was Ford,  the wheels were Halibrand, the tires were Goodyear,  the suspension had been completely redesigned and the body had been redesigned in an American wind tunnel.    It started off British......... but by the time  Dan Gurney and A J  Foyt won Le Mans in '67 it was about as British as cowboy boots.","['time', 'shelby', 'holman', 'moody', 'british', 'leave', 'motor', 'ford', 'trans', 'axle', 'ford', 'wheel', 'halibrand', 'tire', 'goodyear', 'suspension', 'completely', 'redesign', 'body', 'redesign', 'american', 'wind', 'tunnel', 'start', 'british', '.........', 'time', 'dan', 'gurney', 'j', 'foyt', 'win', 'le', 'mans', '67', 'british', 'cowboy', 'boot']"
zyYgDtY2AMY,"""My name is Carroll Shelby and performance is my business."" - Carroll Shelby (1923 - 2012) RIP.","['carroll', 'shelby', 'performance', 'business', 'carroll', 'shelby', '1923', '2012', 'rip']"
zyYgDtY2AMY,Christian Bale is a chameleon.,"['christian', 'bale', 'chameleon']"
zyYgDtY2AMY,Slowly,
zyYgDtY2AMY,Nice for sunday morning,"['nice', 'sunday', 'morning']"
zyYgDtY2AMY,Some of you guys go to the track ?,"['guy', 'track']"
zyYgDtY2AMY,AHHHHHHHHHHH! I got to wait until November for this movie ??? Crap !!!!! Can't wait.,"['ahhhhhhhhhhh', 'wait', 'november', 'movie', 'crap', 'wait']"
zyYgDtY2AMY,So it’s rush with Matt Damon,"['’', 'rush', 'matt', 'damon']"
zyYgDtY2AMY,Just the movie trailer is more exciting than the current F1 season.....,"['movie', 'trailer', 'exciting', 'current', 'f1', 'season', '.....']"
zyYgDtY2AMY,Fuxk Chevy,
zyYgDtY2AMY,The ford gt40,
zyYgDtY2AMY,"Forza Motorsport 6 launch trailer brought me back in time.
And Carroll Shelby's last car to build was a 2011 or 2013 Ford Shelby GT500.","['forza', 'motorsport', '6', 'launch', 'trailer', 'bring', 'time', 'carroll', 'shelby', 'car', 'build', '2011', '2013', 'ford', 'shelby', 'gt500']"
