Video ID,Comment,processed
a6O30nJ02PU,"🔴🔴🔴🔴WARNING🔴🔴🔴🔴
It’s the WORST movie OF ALL TIME
Seriously, don’t waste ur money on a shitty movie like this.","['🔴', '🔴', '🔴', '🔴', 'warning', '🔴', '🔴', '🔴', '🔴', '’', 'worst', 'movie', 'time', 'seriously', 'waste', 'ur', 'money', 'shitty', 'movie', 'like']"
a6O30nJ02PU,Ahh yes a magic island with a genie twisting the wishes. So remember kids be very specific when making a wish,"['ahh', 'yes', 'magic', 'island', 'genie', 'twist', 'wish', 'remember', 'kid', 'specific', 'wish']"
a6O30nJ02PU,The worst movie i have seen ever.,"['bad', 'movie']"
a6O30nJ02PU,I remember the original TV series. Farthest thing from horror. So sad.,"['remember', 'original', 'tv', 'series', 'farth', 'thing', 'horror', 'sad']"
a6O30nJ02PU,Three things wrong with this trailer. The blonde main girl seems like a horrible actress. The stock sound effect of the little girl laughing is so bad. And the stereotypical nose bleed in a horror cliché.,"['thing', 'wrong', 'trailer', 'blonde', 'main', 'girl', 'like', 'horrible', 'actress', 'stock', 'sound', 'effect', 'little', 'girl', 'laughing', 'bad', 'stereotypical', 'nose', 'bleed', 'horror', 'cliché']"
a6O30nJ02PU,Lucy Hale is really good. She was in truth or dare as well,"['lucy', 'hale', 'good', 'truth', 'dare']"
a6O30nJ02PU,Holy shit I thought Hannah Wells was dead,"['holy', 'shit', 'think', 'hannah', 'wells', 'dead']"
a6O30nJ02PU,This looks great and epic I can't wait to see it,"['look', 'great', 'epic', 'wait']"
a6O30nJ02PU,“The plane! It’s here.” That’s it? That’s all we get?,"['plane', '’', '’', '’']"
a6O30nJ02PU,"Blumhouse and Michael Pena is enough for me to lose interest. After seeing this my suspicion was confirmed. Crap ! Fantasy island was not horror, MR Roarke was not a villian, where is Tattoo ? I'll pass !","['blumhouse', 'michael', 'pena', 'lose', 'interest', 'suspicion', 'confirm', 'crap', 'fantasy', 'island', 'horror', 'mr', 'roarke', 'villian', 'tattoo', 'pass']"
a6O30nJ02PU,Omg I like really wanna watch this-,"['omg', 'like', 'wanna', 'watch', 'this-']"
a6O30nJ02PU,Because their fantasies happen duuuh you want it you got it wish granted that’s why they used 7 rings ..,"['fantasy', 'happen', 'duuuh', 'want', 'wish', 'grant', '’', 'use', '7', 'ring', '..']"
a6O30nJ02PU,that looks fucking GOOD. Also you got me sold with 7 Rings. the way the song played is perfect.,"['look', 'fucking', 'good', 'sell', '7', 'rings', 'way', 'song', 'play', 'perfect']"
a6O30nJ02PU,THIS MOVIE IS PROBABLY GONNA BOMB AT THE BOX OFFICE.,"['movie', 'probably', 'gonna', 'bomb', 'box', 'office']"
a6O30nJ02PU,Definitely will watch. Once it hits the $3.50 movie bin at Wal-Mart. No way in hell would I pay more to hear a song by AG or watch LH try to act. Made that mistake once.,"['definitely', 'watch', 'hit', '3.50', 'movie', 'bin', 'wal', 'mart', 'way', 'hell', 'pay', 'hear', 'song', 'ag', 'watch', 'lh', 'try', 'act', 'mistake']"
a6O30nJ02PU,This is how *dark web* works,"['dark', 'web', 'work']"
a6O30nJ02PU,Ya,
a6O30nJ02PU,Ya,
a6O30nJ02PU,Already calling it it’s gonna two hours and there’s only gonna be jump scares to stop the audience getting board,"['’', 'hour', '’', 'jump', 'scare', 'stop', 'audience', 'board']"
a6O30nJ02PU,Why am I getting so many ads for this movie,"['ad', 'movie']"
a6O30nJ02PU,Why do I keep getting ads for this  while I'm listening to the Beatles and queen,"['ad', 'listen', 'beatles', 'queen']"
a6O30nJ02PU,When seven rings started playing I was very very confused,"['seven', 'ring', 'start', 'play', 'confused']"
a6O30nJ02PU,Ariana Grande shouldn’t be the soundtrack of any horror movie trailer like wtf,"['ariana', 'grande', 'soundtrack', 'horror', 'movie', 'trailer', 'like', 'wtf']"
a6O30nJ02PU,"The shortest short film I’ve seen, but why did they put a date at the end?","['short', 'short', 'film', 'date', 'end']"
a6O30nJ02PU,Duration??,
a6O30nJ02PU,leave it to blumhouse to make a remix of 7 rings for a horror movie.,"['leave', 'blumhouse', 'remix', '7', 'ring', 'horror', 'movie']"
a6O30nJ02PU,Who else was confused through the whole trailer?,"['confuse', 'trailer']"
a6O30nJ02PU,Dude I've been waiting for this new Scooby Doo!,"['dude', 'wait', 'new', 'scooby', 'doo']"
a6O30nJ02PU,"Such a good movie!!!
Just watched!!","['good', 'movie', 'watch']"
a6O30nJ02PU,Trailers always giving away too much.,"['trailer', 'away']"
a6O30nJ02PU,Cabin in the woods: Island edition,"['cabin', 'wood', 'island', 'edition']"
a6O30nJ02PU,My friend is in this. got to see it opening. its worth the cash hey. would say its worth a night out for .,"['friend', 'opening', 'worth', 'cash', 'hey', 'worth', 'night']"
