Video ID,Comment,processed
LUG2U-IxPx0,"Wow it's Magic Mike but for.... lol no it's still for female audiences

Men would just go to a strip club or watch a Twitch stream","['wow', 'magic', 'mike', '....', 'lol', 'female', 'audience', 'man', 'strip', 'club', 'watch', 'twitch', 'stream']"
LUG2U-IxPx0,Stripping and stealing money...guess its a step up from premium snapchats and cash app for nudes.. I love female empowerment .. This movie makes me feel so much respect for women.,"['strip', 'steal', 'money', '...', 'guess', 'step', 'premium', 'snapchat', 'cash', 'app', 'nude', '..', 'love', 'female', 'empowerment', '..', 'movie', 'feel', 'respect', 'woman']"
LUG2U-IxPx0,"Everyone's  to mad at the comment section.
What's with the negative judgment 
What if a man had do this for a living, we'd all sympathie EXTRA🙂","['mad', 'comment', 'section', 'negative', 'judgment', 'man', 'living', 'sympathie', 'extra', '🙂']"
LUG2U-IxPx0,Constance is a queen,
LUG2U-IxPx0,"Where boooobs, you kidding me?","['boooob', 'kid']"
LUG2U-IxPx0,"A LESSON IN REVELATION CLASS 101. I only think about the goodness in the garden of eden before the fall. For man and woman were naked. Now stones are thrown because of accuser Lucy. Pharisees condemn behaviour for we only know God because of prideful Lucy. Hey did anyone check out that new ESPN issue with those beautiful naked athletes? Gorgeous the human body. Did anyone see the forgiving reconciliation of a marriage out of love, thanks to the humbling of a man letting go of his pride which makes a strong man for woman he loves? See God's mysterious ways at work. Blessed where Lucy can do nothing. A very wise and strong woman said ""stay with God in the middle of the night at a party around December 2017, God is Great where there is no cure for the ig disease and God does crazy things for he blessed me overbundantly for I no longer have to do what does not prosper me but molded me into the talent I have. He even blessed me with my loves. Good fruit maker Man the moral womb Woman's married companion and the lovely spirited child that woman thanks man for with a kiss. God said ""please me"" ""hustler"" and I will bless you. Go view YouTube classes father of 4 and please me.","['lesson', 'revelation', 'class', '101', 'think', 'goodness', 'garden', 'eden', 'fall', 'man', 'woman', 'naked', 'stone', 'throw', 'accuser', 'lucy', 'pharisees', 'condemn', 'behaviour', 'know', 'god', 'prideful', 'lucy', 'hey', 'check', 'new', 'espn', 'issue', 'beautiful', 'naked', 'athlete', 'gorgeous', 'human', 'body', 'forgiving', 'reconciliation', 'marriage', 'love', 'thank', 'humbling', 'man', 'let', 'pride', 'strong', 'man', 'woman', 'love', 'god', 'mysterious', 'way', 'work', 'bless', 'lucy', 'wise', 'strong', 'woman', 'stay', 'god', 'middle', 'night', 'party', 'december', '2017', 'god', 'great', 'cure', 'ig', 'disease', 'god', 'crazy', 'thing', 'bless', 'overbundantly', 'longer', 'prosper', 'mold', 'talent', 'bless', 'love', 'good', 'fruit', 'maker', 'man', 'moral', 'womb', 'woman', 'marry', 'companion', 'lovely', 'spirit', 'child', 'woman', 'thank', 'man', 'kiss', 'god', 'hustler', 'bless', 'view', 'youtube', 'class', 'father', '4']"
LUG2U-IxPx0,"J.Lo is seriously werkin' it. Werk it, werk it, bam bam bam!",
LUG2U-IxPx0,Hate the movie from the trailer looks typical bullshit to me.,"['hate', 'movie', 'trailer', 'look', 'typical', 'bullshit']"
LUG2U-IxPx0,Tbh good for them,"['tbh', 'good']"
LUG2U-IxPx0,When is this movie goin to play in south Africa   . Cinema ?,"['movie', 'play', 'south', 'africa', 'cinema']"
