Video ID,Comment,processed
l9laReRAYFk,Gosh damnit.,
l9laReRAYFk,Please no social justice revisionism or innuendo.,"['social', 'justice', 'revisionism', 'innuendo']"
l9laReRAYFk,Please stop hating !!!!! The cgi isn't bad. This is the best cgi to make it look realistic. And by the way this movie is lit🔥🔥,"['stop', 'hate', 'cgi', 'bad', 'good', 'cgi', 'look', 'realistic', 'way', 'movie', 'light', '🔥', '🔥']"
l9laReRAYFk,"sorry, but you F*cked it up.  everyone, just watch restored film documentaries instead.","['sorry', 'f*cke', 'watch', 'restore', 'film', 'documentary', 'instead']"
l9laReRAYFk,They better have Midway from sabaton playing,"['better', 'midway', 'sabaton', 'playing']"
l9laReRAYFk,"MY Gosh, the trailer looks like a video game, or worse, a cartoon interspersed with staged acting with real actors.  It looks terrible.","['gosh', 'trailer', 'look', 'like', 'video', 'game', 'bad', 'cartoon', 'intersperse', 'stage', 'act', 'real', 'actor', 'look', 'terrible']"
l9laReRAYFk,CG CG CG CG CG,
l9laReRAYFk,Add about 7k Japanese posters and we hit negative. We didn’t pick a fight with u folks. U did and we fought.,"['add', '7k', 'japanese', 'poster', 'hit', 'negative', 'pick', 'fight', 'u', 'folk', 'u', 'fight']"
l9laReRAYFk,"hey Folks,just it seems like Pearl Harbour film? Holy cow ..Don't you think it's worth seeing it?","['hey', 'folk', 'like', 'pearl', 'harbour', 'film', 'holy', 'cow', '..', 'think', 'worth']"
l9laReRAYFk,It looks like Hürkuş movie,"['look', 'like', 'hürkuş', 'movie']"
l9laReRAYFk,"Soldier:  What kind of music I must hear to win ? 
Sabaton:  Yes","['soldier', 'kind', 'music', 'hear', 'win', 'sabaton', 'yes']"
l9laReRAYFk,"The battle that saw Japan lose 4 carriers: Hiryu, Soryu, Kaga and Akagi.","['battle', 'japan', 'lose', '4', 'carrier', 'hiryu', 'soryu', 'kaga', 'akagi']"
l9laReRAYFk,Looks like america is trying to justify Hiroshima and Nagasaki bombings. Totally Shit..,"['look', 'like', 'america', 'try', 'justify', 'hiroshima', 'nagasaki', 'bombing', 'totally', 'shit', '..']"
l9laReRAYFk,ED SKREIN LUKE EVANS NICK JONAS DARREN CRISS MANDY MOORE WOODY HARRELSON  AARON ECKHART LUKE KLEINTANK KEEAN JOHNSON DENNIS QUAID & PATRICK WILSON,
l9laReRAYFk,Theo Lynnea reason I would watch it would be for woody Harrelson,"['theo', 'lynnea', 'reason', 'watch', 'woody', 'harrelson']"
l9laReRAYFk,Why we have to keep dredging up the past so that we stay angry at what has happened in the past rather than moving on and changing the future. two👎👎 thumbs down to your stupid remake movie it's a damn shame it happened but it did and it's done..... you just can't think of anything else to make...💥,"['dredge', 'past', 'stay', 'angry', 'happen', 'past', 'change', 'future', '👎', '👎', 'thumb', 'stupid', 'remake', 'movie', 'damn', 'shame', 'happen', '.....', 'think', '...', '💥']"
l9laReRAYFk,I imaging this will be uncomfortable for Japanese viewers... though based on the trailer the Japanese are likely just a nebulous bogeyman.,"['image', 'uncomfortable', 'japanese', 'viewer', '...', 'base', 'trailer', 'japanese', 'likely', 'nebulous', 'bogeyman']"
l9laReRAYFk,Anyone else thinks this movie looks cringy? Complete respect the battle and history but this movie just makes me cringe,"['think', 'movie', 'look', 'cringy', 'complete', 'respect', 'battle', 'history', 'movie', 'cringe']"
l9laReRAYFk,the new world of warships trailer looks great,"['new', 'world', 'warship', 'trailer', 'look', 'great']"
l9laReRAYFk,CGI looks terrible.,"['cgi', 'look', 'terrible']"
l9laReRAYFk,"This is huge,straight from the gates of lions","['huge', 'straight', 'gate', 'lion']"
l9laReRAYFk,2:06 thats not how planes work,"['2:06', 's', 'plane', 'work']"
l9laReRAYFk,It's probably cheaper to pop by the local market and buy some Cheez Whiz there.,"['probably', 'cheap', 'pop', 'local', 'market', 'buy', 'cheez', 'whiz']"
l9laReRAYFk,A few men? 🤔,
l9laReRAYFk,Love it,
l9laReRAYFk,"Just watched it like 5 munites ago, it's a nice movie and the trailer is just a little fraction of the movie.","['watch', 'like', '5', 'munite', 'ago', 'nice', 'movie', 'trailer', 'little', 'fraction', 'movie']"
l9laReRAYFk,"sigh, the movie has not opened yet but it gets 30% on Rotten Tomatoes.........................","['sigh', 'movie', 'open', '30', 'rotten', 'tomatoes', '.........................']"
l9laReRAYFk,I'm gonna watch this tomorrow.,"['watch', 'tomorrow']"
l9laReRAYFk,It's very nice movie.. I❤️it..,"['nice', 'movie', '..', '❤', '️it', '..']"
l9laReRAYFk,We did all that for California? I bet Japan wouldn't even take that shit hole for free now.,"['california', 'bet', 'japan', 'shit', 'hole', 'free']"
l9laReRAYFk,Animal cookies again?,"['animal', 'cookie']"
l9laReRAYFk,I can’t believe this is being released theatrically.  I thought for sure it was straight to video.,"['believe', 'release', 'theatrically', 'think', 'sure', 'straight', 'video']"
l9laReRAYFk,"CGI carrier, CGI plane, CGI flightdeck (no smoke from the aircraft exhaust, no buffeting from the props, the crew is walking casually on the deck amid planes with spinning propellers.  Looks like a cheap made for TV movie. Heck Battlestar Galactica's flightdeck was more realistic than this","['cgi', 'carrier', 'cgi', 'plane', 'cgi', 'flightdeck', 'smoke', 'aircraft', 'exhaust', 'buffeting', 'prop', 'crew', 'walk', 'casually', 'deck', 'amid', 'plane', 'spinning', 'propeller', 'look', 'like', 'cheap', 'tv', 'movie', 'heck', 'battlestar', 'galactica', 'flightdeck', 'realistic']"
l9laReRAYFk,"This movie will hopefully be historically accurate and also a big entertaining Hollywood movie like Michael bays Pearl harbor, I'm going to see this very soon","['movie', 'hopefully', 'historically', 'accurate', 'big', 'entertain', 'hollywood', 'movie', 'like', 'michael', 'bay', 'pearl', 'harbor', 'soon']"
l9laReRAYFk,2:06 - Hehe,
l9laReRAYFk,Michael Bay's Pearl Harbor or Roland Emmerich's Midway?,
l9laReRAYFk,This is a Battlefield campaign trailer lol,"['battlefield', 'campaign', 'trailer', 'lol']"
