Video ID,Comment,processed
SEUXfv87Wpk,TRASH,
SEUXfv87Wpk,"Goblok sekali yang bikin trailer nya:""))
Film nya padahal bagus",
SEUXfv87Wpk,why is the toilet on top of a counter?,"['toilet', 'counter']"
SEUXfv87Wpk,So whats the movie about? Wtf is this shit,"['s', 'movie', 'wtf', 'shit']"
SEUXfv87Wpk,Can someone plz tell me the name of main leads ?,"['plz', 'tell', 'main', 'lead']"
SEUXfv87Wpk,"I thought this movie is about plague or monsters, like bugs. But its not.. its  just far more better than that.. very recommended movie","['think', 'movie', 'plague', 'monster', 'like', 'bug', '..', 'far', '..', 'recommend', 'movie']"
SEUXfv87Wpk,This movie had me shook omg it's good 😮😍 guys I recommend everyone to see this u won't be disappointed,"['movie', 'shake', 'omg', 'good', '😮', '😍', 'guy', 'recommend', 'u', 'disappoint']"
SEUXfv87Wpk,"from just the trailer, I have no idea what the main purpose is but i heard that it was good.","['trailer', 'idea', 'main', 'purpose', 'hear', 'good']"
SEUXfv87Wpk,Good movie loved it,"['good', 'movie', 'love']"
SEUXfv87Wpk,So...basically...humans are shit.,"['...', 'basically', '...', 'human', 'shit']"
SEUXfv87Wpk,A master piece,
SEUXfv87Wpk,Best Film and Best Director from 40th Blue Dragon Films Awards brought me here. Im gonna watch this!,"['good', 'film', 'best', 'director', '40th', 'blue', 'dragon', 'films', 'awards', 'bring', 'watch']"
SEUXfv87Wpk,What is the music from trailer?,"['music', 'trailer']"
SEUXfv87Wpk,I AM SPEECHLESS,['speechless']
SEUXfv87Wpk,"film opo ki ,ragenah blas",
SEUXfv87Wpk,"Trailer sooo good ,not show anything about this movie actual story 🤟 a actual  trailer should be liked this🌺🌸🌺🌺","['trailer', 'sooo', 'good', 'movie', 'actual', 'story', '🤟', 'actual', 'trailer', 'like', '🌺', '🌸', '🌺', '🌺']"
SEUXfv87Wpk,"Just watched this movie ,What a great movie ✌️💞💞💞💞💞 South korea movies always best👍👍👍 South korean cinema Another level 👌👌🙏🙏🙏","['watch', 'movie', 'great', 'movie', '✌', '️', '💞', '💞', '💞', '💞', '💞', 'south', 'korea', 'movie', 'good', '👍', '👍', '👍', 'south', 'korean', 'cinema', 'level', '👌', '👌', '🙏', '🙏', '🙏']"
SEUXfv87Wpk,LOVED IT!!!!!!!,['love']
SEUXfv87Wpk,"South Koreans (Hallyu) -->> MASTERS @ social-commentary!
Japanese -->> MASTERS @ existentialism commentary & intellectual life observations!","['south', 'koreans', 'hallyu', '--', 'master', 'social', 'commentary', 'japanese', '--', 'master', 'existentialism', 'commentary', 'intellectual', 'life', 'observation']"
SEUXfv87Wpk,ممكن احد يعطيني  رابط للفيلم مترجم للعربيه😭 يارب🤲🏻 أحد عربي يرد علي 😢,
SEUXfv87Wpk,"I laughed a lot watching this film but everything became horrific at the end of the film. 8 of 10.
나는이 영화를보고 많이 웃었다. 그러나 영화의 끝에서 모든 것이 끔찍 해졌다.  10 중 8",
