Video ID,Comment,processed
7Pa_Weidt08,Going to see it on Saturday! HECK YE!,"['saturday', 'heck', 'ye']"
7Pa_Weidt08,"don't know why, but i loathe James Corden. I can't for the life of me figure out why he's popular, is it because he's british?","['know', 'loathe', 'james', 'corden', 'life', 'figure', 'popular', 'british']"
7Pa_Weidt08,Boy is the Emoji Movie looking pretty entertaining right now!,"['boy', 'emoji', 'movie', 'look', 'pretty', 'entertaining', 'right']"
7Pa_Weidt08,The critically and commercially panned Peter Rabbit! Oh boy!!!,"['critically', 'commercially', 'pan', 'peter', 'rabbit', 'oh', 'boy']"
7Pa_Weidt08,Mother of god this is a travesty,"['mother', 'god', 'travesty']"
7Pa_Weidt08,What on earth have you done to Peter Rabbit? Are you dribbling idiots?,"['earth', 'peter', 'rabbit', 'dribble', 'idiot']"
7Pa_Weidt08,Hey look it’s garfield 3,"['hey', 'look', '’', 'garfield', '3']"
7Pa_Weidt08,"I saw this coming, poor Beatrix Potter must be turning in her grave :(","['come', 'poor', 'beatrix', 'potter', 'turn', 'grave', ':(']"
7Pa_Weidt08,Who allowed this!!!??????? HORRIFIC!!!!,"['allow', 'horrific']"
7Pa_Weidt08,γίνονται πραγματάκια,
7Pa_Weidt08,How about no.,[]
7Pa_Weidt08,"Stop putting modern music and jokes in everything. 

I cringed so hard I turned inside out.","['stop', 'modern', 'music', 'joke', 'cringe', 'hard', 'turn', 'inside']"
7Pa_Weidt08,"I may be the only person but...I think it looks hilarious. Some of you are taking simple things (ie a silly movie) very seriously. True, it's not the stuff we were read to as kids but times are ever changing. Get used to not getting used to things 🤷🏽‍♀️","['person', '...', 'think', 'look', 'hilarious', 'simple', 'thing', 'ie', 'silly', 'movie', 'seriously', 'true', 'stuff', 'read', 'kid', 'time', 'change', 'use', 'thing', '🤷', '🏽\u200d', '♀', '️']"
7Pa_Weidt08,The movie industry is running out of ideas,"['movie', 'industry', 'run', 'idea']"
7Pa_Weidt08,Headlights!,['headlight']
7Pa_Weidt08,And make a real movie of princess and the frog,"['real', 'movie', 'princess', 'frog']"
7Pa_Weidt08,They should make a real movie of Zootopia,"['real', 'movie', 'zootopia']"
7Pa_Weidt08,The new Eight Crazy Nights looks good!,"['new', 'crazy', 'nights', 'look', 'good']"
7Pa_Weidt08,saw a peter rabbit trailer before watching,"['peter', 'rabbit', 'trailer', 'watch']"
7Pa_Weidt08,"They’ve basically f@!*ked a classic!!!
Well done Hollywood, hope you spend the money on making a movie where you don’t completely disrespect generations of childhoods!","['basically', 'f@!*ke', 'classic', 'hollywood', 'hope', 'spend', 'money', 'movie', 'completely', 'disrespect', 'generation', 'childhood']"
7Pa_Weidt08,"CANCEL THIS ABOMINATION. OMG.

This isn’t Peter Rabbit.... This is fake!! No...😭","['cancel', 'abomination', 'omg', 'peter', 'rabbit', '....', 'fake', '...', '😭']"
7Pa_Weidt08,"So angry..my rage is untethered and it knows no bounds, I will fall upon Hollywood like the crashing of a thousand waves!!!","['angry', '..', 'rage', 'untethered', 'know', 'bound', 'fall', 'hollywood', 'like', 'crashing', 'thousand', 'wave']"
7Pa_Weidt08,I think James Corden is stuck in a contract with Sony.,"['think', 'james', 'corden', 'stick', 'contract', 'sony']"
7Pa_Weidt08,But is the narrator American?!!! It was a british auther called Beartrix Potter who wrote all the lovely Peter Rabit books,"['narrator', 'american', 'british', 'auther', 'beartrix', 'potter', 'write', 'lovely', 'peter', 'rabit', 'book']"
7Pa_Weidt08,"I like James Corden, but they should've chosen someone else. And this movie is coming after the sweetness of Paddington? Step your game up, Sony.","['like', 'james', 'corden', 'choose', 'movie', 'come', 'sweetness', 'paddington', 'step', 'game', 'sony']"
7Pa_Weidt08,"James's talent seems to be endless, just keeps amazing us more and more....","['james', 'talent', 'endless', 'amazing', '....']"
7Pa_Weidt08,I don't think Sony Pictures gives any fucks at all.,"['think', 'sony', 'pictures', 'fuck']"
7Pa_Weidt08,I'd rather see the Peter Rabbit character retired than live on as a generic modern snarky kid's comedy character.,"['peter', 'rabbit', 'character', 'retire', 'live', 'generic', 'modern', 'snarky', 'kid', 'comedy', 'character']"
7Pa_Weidt08,Nobody can think of any actual GOOD ideas from movies these days! My mom was just saying the same thing!,"['think', 'actual', 'good', 'idea', 'movie', 'day', 'mom', 'thing']"
7Pa_Weidt08,#NotMyRabbit,
7Pa_Weidt08,How does this have 4000 likes???!!!!! I was so looking forward to taking my son to watch gis 1st movie at the cinema now it will have to wait  what an abomibation! I want to keep his innocence as long as possible and not tardish it with whatever this is. So sad,"['4000', 'like', 'look', 'forward', 'son', 'watch', 'gis', '1st', 'movie', 'cinema', 'wait', 'abomibation', 'want', 'innocence', 'long', 'possible', 'tardish', 'sad']"
7Pa_Weidt08,"0:04-1:45, AAAHHHHHHHHH!!!!!!!!!!  What in God's name is that?!","['0:04', '1:45', 'aaahhhhhhhhh', 'god']"
7Pa_Weidt08,IS NOTHING SACRED?!,['sacred']
7Pa_Weidt08,I don't know what's gonna be worse: this or Fifty Shades Freed?,"['know', 'bad', 'shades', 'freed']"
7Pa_Weidt08,Why we can't have nice things,"['nice', 'thing']"
7Pa_Weidt08,A disgusting & appalling travesty. Anyone attached to this typical load of crap should be ashamed of themselves. Could have been a lovely film. Instead we'll once again have brain-washed children twerking out of theatres as the world continues it's downward plunge into idiocy.,"['disgusting', 'appalling', 'travesty', 'attach', 'typical', 'load', 'crap', 'ashamed', 'lovely', 'film', 'instead', 'brain', 'washed', 'child', 'twerke', 'theatre', 'world', 'continue', 'downward', 'plunge', 'idiocy']"
