Video ID,Comment,processed
aDshY43Ol2U,Let me guess: Himself ( Liam Neeson ) is the man who doesn't belong.,"['let', 'guess', 'liam', 'neeson', 'man', 'belong']"
aDshY43Ol2U,When watching any thriller set on a moving train - how long before they get on the roof?,"['watch', 'thriller', 'set', 'train', 'long', 'roof']"
aDshY43Ol2U,The best film ever,"['good', 'film']"
aDshY43Ol2U,Watched it today.. worth watching...,"['watch', 'today', '..', 'worth', 'watch', '...']"
aDshY43Ol2U,liam neeson > van diesel,
aDshY43Ol2U,Done watching today. this movie really rocks!!,"['watch', 'today', 'movie', 'rock']"
aDshY43Ol2U,Non-Stop 2,
aDshY43Ol2U,Last 3 Liam Neeson movies are basically Agatha Christie mysteries,"['3', 'liam', 'neeson', 'movie', 'basically', 'agatha', 'christie', 'mystery']"
aDshY43Ol2U,"Liam, you are doing it again.....","['liam', '.....']"
aDshY43Ol2U,"Cant wait to watch it, it looks really good 👍","['wait', 'watch', 'look', 'good', '👍']"
aDshY43Ol2U,"Member Berries: ""I have a certain set of skills... GIVE ME BACK MY DAUGHTER!""




Liam Neeson all wrapped up and pointless$$$","['member', 'berry', 'certain', 'set', 'skill', '...', 'daughter', 'liam', 'neeson', 'wrap', 'pointless$$$']"
aDshY43Ol2U,Nice,
aDshY43Ol2U,Looks like 'Non Stop' on a train setting to me.. also is it me or Liam Neeson is just too old for this type of movies?...,"['look', 'like', 'non', 'stop', 'train', 'set', '..', 'liam', 'neeson', 'old', 'type', 'movie', '...']"
aDshY43Ol2U,Hmm. Could you interesting... I'd probably watch it,"['hmm', 'interesting', '...', 'probably', 'watch']"
aDshY43Ol2U,HOW has no one fucking noticed Tommen has come back from the dead and is now a goth?,"['fucking', 'notice', 'tommen', 'come', 'dead', 'goth']"
aDshY43Ol2U,My god I love Vera and Liam,"['god', 'love', 'vera', 'liam']"
aDshY43Ol2U,Seems like there is always something wrong when Liam Neeson travels!,"['like', 'wrong', 'liam', 'neeson', 'travel']"
aDshY43Ol2U,Yup,
aDshY43Ol2U,Nice,
aDshY43Ol2U,"Say What you want about liam neeson , he's fucking amazing","['want', 'liam', 'neeson', 'fuck', 'amazing']"
aDshY43Ol2U,Nonstop+Source Code+Conjuring,"['nonstop+source', 'code+conjuring']"
aDshY43Ol2U,"Why every movie Liam Neeson is in... a family member, or someone close dies.","['movie', 'liam', 'neeson', '...', 'family', 'member', 'close', 'die']"
aDshY43Ol2U,Fuck you it's January...,"['fuck', 'january', '...']"
aDshY43Ol2U,"Liam Neeson is always in the coolest movies with the coolest titles, but I thought he said he wasn't going to be acting anymore???","['liam', 'neeson', 'cool', 'movie', 'cool', 'title', 'think', 'act', 'anymore']"
aDshY43Ol2U,"""What kind of person are you""

""I am not a man of money, but I have particular set of skills, I will not find you and I will go to work""","['kind', 'person', 'man', 'money', 'particular', 'set', 'skill', 'find', 'work']"
aDshY43Ol2U,The one that does not belong is the schoolgirl on the beginning of the film once the train begins!  Saw it last night. His friend is the killer! It was a setup! Muahhha,"['belong', 'schoolgirl', 'beginning', 'film', 'train', 'begin', 'night', 'friend', 'killer', 'setup', 'muahhha']"
aDshY43Ol2U,Norma bates,
