Video ID,Comment,processed
dSBsNeYqh-k,"What takes me out of it is the fact this guy obsessed over a woman that is quite homely.  To me, not worth the stalking that takes place in the movie.","['fact', 'guy', 'obsess', 'woman', 'homely', 'worth', 'stalking', 'place', 'movie']"
dSBsNeYqh-k,"I'm pretty sure that there's a lot more to this movie than what has been shown so far, y'all retards need to shut the fuck up and just wait for the movie to come out","['pretty', 'sure', 'lot', 'movie', 'far', ""y'"", 'retard', 'need', 'shut', 'fuck', 'wait', 'movie', 'come']"
dSBsNeYqh-k,When that guy shot himself in the leg though...,"['guy', 'shoot', 'leg', '...']"
dSBsNeYqh-k,This film reminds me of Hollow man 2000,"['film', 'remind', 'hollow', 'man', '2000']"
dSBsNeYqh-k,Two words: Thermal vision God Hollywood has turned to complete and utter shit.,"['word', 'thermal', 'vision', 'god', 'hollywood', 'turn', 'complete', 'utter', 'shit']"
dSBsNeYqh-k,Sure would be cold being naked all the time.,"['sure', 'cold', 'naked', 'time']"
dSBsNeYqh-k,"I went to watch this movie today thinking that it would be from the dark universe franchise. I really don't like horror movies, just the characters and the concept. (because I don't like getting scared). Should have watched the damn trailer.","['watch', 'movie', 'today', 'think', 'dark', 'universe', 'franchise', 'like', 'horror', 'movie', 'character', 'concept', 'like', 'scare', 'watch', 'damn', 'trailer']"
dSBsNeYqh-k,Wow!  Scary!,
dSBsNeYqh-k,1:27 that smile and eyebrow raise.  Very Jack Nicholson like way of playing crazy.   Like if they wanted to reboot Harley Quinn now as being a crazy lady who hangs out with the Joker they could use her.,"['1:27', 'smile', 'eyebrow', 'raise', 'jack', 'nicholson', 'like', 'way', 'play', 'crazy', 'like', 'want', 'reboot', 'harley', 'quinn', 'crazy', 'lady', 'hang', 'joker', 'use']"
dSBsNeYqh-k,When you try to sell something and your own clients tell you that you're selling it wrong,"['try', 'sell', 'client', 'tell', 'sell', 'wrong']"
dSBsNeYqh-k,novody invented thermovosion in this universe? good job,"['novody', 'invent', 'thermovosion', 'universe', 'good', 'job']"
dSBsNeYqh-k,"Learn this, kids: trailers two and a half minutes long... SPOILER the movie.","['learn', 'kid', 'trailer', 'half', 'minute', 'long', '...', 'spoiler', 'movie']"
dSBsNeYqh-k,Who is the invisible man?,"['invisible', 'man']"
dSBsNeYqh-k,"The voice, every psyco can make a voice. They do while working. To be faint","['voice', 'psyco', 'voice', 'work', 'faint']"
dSBsNeYqh-k,what if there invisible women,"['invisible', 'woman']"
dSBsNeYqh-k,So original. See Hollow man 1 and 2. Hollywood is so out of ideas now it's pathetic.,"['original', 'hollow', 'man', '1', '2', 'hollywood', 'idea', 'pathetic']"
dSBsNeYqh-k,the trailer just gave the entire movie up. fuck this,"['trailer', 'entire', 'movie', 'fuck']"
dSBsNeYqh-k,Am I tripping or did this trailer just give away everything???,"['trip', 'trailer', 'away']"
dSBsNeYqh-k,Because of trailers like this i wont go see the movie. Shouldnt be so hard to make a cool trailer without spoiling the whole movie.      Remake or not.,"['trailer', 'like', 'movie', 'hard', 'cool', 'trailer', 'spoil', 'movie', 'remake']"
dSBsNeYqh-k,June ♥️,
dSBsNeYqh-k,This looks worse than hollowman,"['look', 'bad', 'hollowman']"
dSBsNeYqh-k,"Looks great, but I'm so sick of every trailer ruining the movie. They showed all the action, the plot, his possible motives. Like, come on.","['look', 'great', 'sick', 'trailer', 'ruin', 'movie', 'action', 'plot', 'possible', 'motive', 'like', 'come']"
dSBsNeYqh-k,"Now, I get it that why Nolan is great.","['nolan', 'great']"
dSBsNeYqh-k,Reminds me of Hollow Man (2001),"['remind', 'hollow', 'man', '2001']"
dSBsNeYqh-k,supporting this movie is supporting scientology! look into the religion and make ur own judgment,"['support', 'movie', 'support', 'scientology', 'look', 'religion', 'ur', 'judgment']"
dSBsNeYqh-k,I went for an audition for this Muck but the casting director could see me so he told me to get lost & stay there. 😢👎😢,"['audition', 'muck', 'cast', 'director', 'tell', 'lose', 'stay', '😢', '👎', '😢']"
dSBsNeYqh-k,Well they pretty much ratted out the whole movie,"['pretty', 'rat', 'movie']"
dSBsNeYqh-k,"*Facepalm.* This looks absolutely cheap and disappointing. VFX is complete garbage in comparison to original ""Hollow Man (2000)"". And that's with 20 years of difference?","['facepalm', 'look', 'absolutely', 'cheap', 'disappointing', 'vfx', 'complete', 'garbage', 'comparison', 'original', 'hollow', 'man', '2000', '20', 'year', 'difference']"
dSBsNeYqh-k,OK. I don't need to watch the movie anymore.,"['ok', 'need', 'watch', 'movie', 'anymore']"
dSBsNeYqh-k,i think they mispelled John Cena,"['think', 'mispelle', 'john', 'cena']"
