Video ID,Comment,processed
7bfS6seiLhk,I'm reading the book right now & I'm trying to cram it in before it comes outtttt,"['read', 'book', 'right', 'try', 'cram', 'come', 'outtttt']"
7bfS6seiLhk,This is like the 10+ time I’ve watched this.😂,"['like', '10', 'time', 'watch', '😂']"
7bfS6seiLhk,not going to lie the only thing I like about the trailer was the ford mustang lol,"['lie', 'thing', 'like', 'trailer', 'ford', 'mustang', 'lol']"
7bfS6seiLhk,The song,
7bfS6seiLhk,That's a nice house,
7bfS6seiLhk,WOW I HOPE THEY INCLUDE THE SCENE WHERE SHE GETS PREGNANT AND HAS A MISCARRIAGE BECAUSE A LIBRARY SHELF FELL ON HER IN AN EARTHQUAKE,"['wow', 'hope', 'include', 'scene', 'pregnant', 'miscarriage', 'library', 'shelf', 'fall', 'earthquake']"
7bfS6seiLhk,"Was I the only one who noticed the big jar of (what I assume to be) Vaseline and the magazine under the bed,on the last scene?? No?? Ok, I’m just gonna go then... 😂😂😂","['notice', 'big', 'jar', 'assume', 'vaseline', 'magazine', 'bed', 'scene', 'ok', '...', '😂', '😂', '😂']"
7bfS6seiLhk,I still can’t believe that’s Ramona Quimby!!!!!!!!!!,"['believe', '’', 'ramona', 'quimby']"
7bfS6seiLhk,Omg yayy this comes out tomorrow!! 😄😄😄,"['omg', 'yayy', 'come', 'tomorrow', '😄', '😄', '😄']"
7bfS6seiLhk,Isn't that the girl who played Brianna on New Girl's 1st or 2nd season?,"['girl', 'play', 'brianna', 'new', 'girl', '1st', '2nd', 'season']"
7bfS6seiLhk,"..........wow you grew up so fast girlie, proud of u","['..........', 'wow', 'grow', 'fast', 'girlie', 'proud', 'u']"
7bfS6seiLhk,wow the older brother is hotttt,"['wow', 'old', 'brother', 'hotttt']"
7bfS6seiLhk,RAMUNA,
7bfS6seiLhk,"wow you grew up so fast, your so pretty, and such a great actress, im so proud of u!","['wow', 'grow', 'fast', 'pretty', 'great', 'actress', 'proud', 'u']"
7bfS6seiLhk,I remember reading this on Wattpad and I was SHOOK when I saw the book in Chapters stores! I'm even more SHOOK now that it's a film!! Beth (the author) has come so far it's insane!,"['remember', 'read', 'wattpad', 'shake', 'book', 'chapters', 'store', 'shook', 'film', 'beth', 'author', 'come', 'far', 'insane']"
7bfS6seiLhk,I wish that every like good book from Wattpad had a chance to become either a movie or a tv-show or series. That would be so awesome because some books for me really deserve that. So please someone MAKE IT HAPPEN!!!,"['wish', 'like', 'good', 'book', 'wattpad', 'chance', 'movie', 'tv', 'series', 'awesome', 'book', 'deserve', 'happen']"
7bfS6seiLhk,It’s sad everybody knows the mom from Riverdale and not Pretty in Pink or The Breakfast Club 🤦🏽‍♀️,"['’', 'sad', 'everybody', 'know', 'mom', 'riverdale', 'pretty', 'pink', 'breakfast', 'club', '🤦', '🏽\u200d', '♀', '️']"
7bfS6seiLhk,More like Joey Queen 😍👑 I love her,"['like', 'joey', 'queen', '😍', '👑', 'love']"
7bfS6seiLhk,"Kind of ""No list kiss""","['kind', 'list', 'kiss']"
7bfS6seiLhk,you will always be our little ol' rory in our hearts,"['little', 'old', 'rory', 'heart']"
7bfS6seiLhk,Thinks back to Romona And Besus,"['think', 'romona', 'besus']"
7bfS6seiLhk,Anyone else see the magazine and lube at the end,"['magazine', 'lube', 'end']"
7bfS6seiLhk,"Wtf, this is like a cliche wattpad story...*scrolling down to the comments* Omg, this is a wattpad story!","['wtf', 'like', 'cliche', 'wattpad', 'story', '...', '*scrolle', 'comment', 'omg', 'wattpad', 'story']"
7bfS6seiLhk,So cute!!,
7bfS6seiLhk,Guy she's the girl from Taylor swift music video (mean),"['guy', 'girl', 'taylor', 'swift', 'music', 'video', 'mean']"
