Video ID,Comment,processed
KmrU6gMc1Lc,guys we don't even have an army how are we gonna have any guerrillas. please stop.,"['guy', 'army', 'guerrilla', 'stop']"
KmrU6gMc1Lc,Anne Hathaway is a man.Hollywood is full of actresses that are men.,"['anne', 'hathaway', 'man', 'hollywood', 'actress', 'man']"
KmrU6gMc1Lc,T Anne Hathaway is my to 2 favorite white savior now 😍,"['t', 'anne', 'hathaway', '2', 'favorite', 'white', 'savior', '😍']"
KmrU6gMc1Lc,Played out genre. Let's step it up Netflix.,"['play', 'genre', 'let', 'step', 'netflix']"
KmrU6gMc1Lc,Anne Hathaway is korny,"['anne', 'hathaway', 'korny']"
KmrU6gMc1Lc,Willem Dafoe alone should be the reason to watch this.,"['willem', 'dafoe', 'reason', 'watch']"
KmrU6gMc1Lc,Such a conspiracy they need to assign Batman and Catwoman for the job,"['conspiracy', 'need', 'assign', 'batman', 'catwoman', 'job']"
KmrU6gMc1Lc,Another garbage.,['garbage']
KmrU6gMc1Lc,thank you for showing the entire movie in one trailer,"['thank', 'entire', 'movie', 'trailer']"
KmrU6gMc1Lc,I got the biggest crush on Anne💖,"['big', 'crush', 'anne', '💖']"
KmrU6gMc1Lc,Man I hate women centered movies or TV series.,"['man', 'hate', 'woman', 'center', 'movie', 'tv', 'series']"
KmrU6gMc1Lc,"I’m a simple person.
I see a Leica M4, I click like.","['simple', 'person', 'leica', 'm4', 'click', 'like']"
KmrU6gMc1Lc,"Thought I saw a cameo of Samuel L. Jackson at 1:35
Never mind","['think', 'cameo', 'samuel', 'l.', 'jackson', '1:35', 'mind']"
KmrU6gMc1Lc,You had me at Dee Rees,"['dee', 'rees']"
KmrU6gMc1Lc,This movie is panned by critics. I saw it at Sundance and one of the worst movies ever made.,"['movie', 'pan', 'critic', 'sundance', 'bad', 'movie']"
KmrU6gMc1Lc,"This film is literally the last thing i wanted ...oh shit Dafoe is in it? Im watching this, Anne is a great actress even if she is still kinda on my top 5 list....of most annoying actors... it's more because i just hated that princess diary movie, so fake. 

This looks great but Ben Affleck, yes, this is the last thing i wanted. XD ive probably seen 100,000 films by now, what's 1 more?","['film', 'literally', 'thing', 'want', '...', 'oh', 'shit', 'dafoe', 'watch', 'anne', 'great', 'actress', 'kinda', '5', 'list', '....', 'annoying', 'actor', '...', 'hate', 'princess', 'diary', 'movie', 'fake', 'look', 'great', 'ben', 'affleck', 'yes', 'thing', 'want', 'xd', 'probably', '100,000', 'film', '1']"
KmrU6gMc1Lc,Music?,
KmrU6gMc1Lc,Oscar for Willem Dafoe pls,"['oscar', 'willem', 'dafoe', 'pls']"
KmrU6gMc1Lc,is a cold beer?,"['cold', 'beer']"
KmrU6gMc1Lc,Daredevil Catwoman & Green Goblin,
KmrU6gMc1Lc,Please put more of these new films on Netflix South Africa 💔😭👌🏼,"['new', 'film', 'netflix', 'south', 'africa', '💔', '😭', '👌', '🏼']"
KmrU6gMc1Lc,seen her on the fappening,['fappening']
KmrU6gMc1Lc,I'll end Medford if you as holes think it is ok to trade my kids for Nigerian pipe line,"['end', 'medford', 'hole', 'think', 'ok', 'trade', 'kid', 'nigerian', 'pipe', 'line']"
KmrU6gMc1Lc,Kell see,
KmrU6gMc1Lc,Debora you better get fu king real,"['debora', 'better', 'fu', 'king', 'real']"
KmrU6gMc1Lc,"Kelly Haley Kay Lea Kay healers, get real, Tanzanian mining?????",
KmrU6gMc1Lc,Patrick stupid wannabe crap,
KmrU6gMc1Lc,Jessica better be fine,
KmrU6gMc1Lc,Ashland hills in,
KmrU6gMc1Lc,"Neck, I'll get to it when my hall gets all intel","['neck', 'hall', 'intel']"
KmrU6gMc1Lc,"Batman , Catwoman, and  Green Goblin","['batman', 'catwoman', 'green', 'goblin']"
KmrU6gMc1Lc,You only ever have one father,['father']
KmrU6gMc1Lc,... and in Movies they make scripted choices.,"['...', 'movie', 'script', 'choice']"
KmrU6gMc1Lc,I won’t watch it just because Ben ruined Batman,"['watch', 'ben', 'ruin', 'batman']"
KmrU6gMc1Lc,NOPE 👎🏾 won’t be watching this SHIT!!,"['nope', '👎', '🏾', 'watch', 'shit']"
KmrU6gMc1Lc,"Background music:
_This is America_","['background', 'music', 'america']"
KmrU6gMc1Lc,"18 feet away, invariable always.
1999 gray rio says rajesh gupta.
justify.","['18', 'foot', 'away', 'invariable', '1999', 'gray', 'rio', 'rajesh', 'gupta', 'justify']"
KmrU6gMc1Lc,S,
KmrU6gMc1Lc,Andy is really doing what she meanted to do then: a reporter......great job Miranda,"['andy', 'meante', 'reporter', '......', 'great', 'job', 'miranda']"
KmrU6gMc1Lc,I’m here for Anne Hathaway ❤️❤️,"['anne', 'hathaway', '❤', '️', '❤', '️']"
KmrU6gMc1Lc,Wonder if she will be showing those Elicious titties in this movie like she has in every movie she has ever been in.,"['wonder', 'elicious', 'titty', 'movie', 'like', 'movie']"
KmrU6gMc1Lc,Anne Hathaway with those clothes and a gun I'M ALL IN,"['anne', 'hathaway', 'clothe', 'gun', ""i'm""]"
KmrU6gMc1Lc,Straight to DVD,"['straight', 'dvd']"
