Video ID,Comment,processed
nTTMeo5TwkA,Que Asco,
nTTMeo5TwkA,"""Now the farm wants it's revenge"". Seriously? They couldn't even get ""its"" right?","['farm', 'want', 'revenge', 'seriously', 'right']"
nTTMeo5TwkA,Wtf has society gone too that people want to see this fucking garbage no wonder crime is growing everywhere because of emotional charged dumb people,"['wtf', 'society', 'people', 'want', 'fucking', 'garbage', 'wonder', 'crime', 'grow', 'emotional', 'charge', 'dumb', 'people']"
nTTMeo5TwkA,smdh...fuckin white people...,"['smdh', '...', 'fuckin', 'white', 'people', '...']"
nTTMeo5TwkA,creepy...... horrible.....,"['creepy', '......', 'horrible', '.....']"
nTTMeo5TwkA,"so did anyone notice the massive wrong type of grammar a high quality trailer used??? ""it's revenge""    when it is supposed to be ""its revenge"". call me grammar police that's fine. but if they have money to spend on blood, I'm certain they would have had the money to spell check lol . just really grinds my gears.","['notice', 'massive', 'wrong', 'type', 'grammar', 'high', 'quality', 'trailer', 'use', 'revenge', 'suppose', 'revenge', 'grammar', 'police', 'fine', 'money', 'spend', 'blood', 'certain', 'money', 'spell', 'check', 'lol', 'grind', 'gear']"
nTTMeo5TwkA,Directed by Animal aid,"['direct', 'animal', 'aid']"
nTTMeo5TwkA,This is how animals got treated so humans deserve this!!!!,"['animal', 'treat', 'human', 'deserve']"
nTTMeo5TwkA,Now the farm wants *it's* revenge,"['farm', 'want', 'revenge']"
nTTMeo5TwkA,"Another stupid, disgusting movie made for the sheer violence and disgust of it all.  Film makers have lost it big time,  I thought the asinine Centipede movies were bad and sick.  This right up there.","['stupid', 'disgusting', 'movie', 'sheer', 'violence', 'disgust', 'film', 'maker', 'lose', 'big', 'time', 'think', 'asinine', 'centipede', 'movie', 'bad', 'sick', 'right']"
nTTMeo5TwkA,"Please let me go to the movies and not get a liberal f#ing message. I give. I'll sign a paper before a movie, if you'll just make good movies again. i get it: 1. All white men suck 2.All villains are blond with blue eyes 3. Poor people are not poor because they make bad decisions, they are poor because the man keeps him down. 4. All Christians are idiots 5. The world is ending yesterday because of global warming","['let', 'movie', 'liberal', 'f#ing', 'message', 'sign', 'paper', 'movie', 'good', 'movie', '1', 'white', 'man', 'suck', '2.all', 'villain', 'blond', 'blue', 'eye', '3', 'poor', 'people', 'poor', 'bad', 'decision', 'poor', 'man', '4', 'christians', 'idiot', '5', 'world', 'end', 'yesterday', 'global', 'warming']"
nTTMeo5TwkA,yeah i'm now vegan,"['yeah', 'vegan']"
nTTMeo5TwkA,"*Spoiler Alert*
1:19 you can see that the girl, (main character) died of getting cut into half. 
So no need to watch it. 😊","['spoiler', 'alert', '1:19', 'girl', 'main', 'character', 'die', 'cut', 'half', 'need', 'watch', '😊']"
nTTMeo5TwkA,"At :44 that's the mask from ""You're Next""","['44', 'mask']"
nTTMeo5TwkA,The comment section is full of vegans and meat eaters fighting..,"['comment', 'section', 'vegan', 'meat', 'eater', 'fight', '..']"
nTTMeo5TwkA,i'd rather watch porn...,"['watch', 'porn', '...']"
nTTMeo5TwkA,okay vegans win,"['okay', 'vegans', 'win']"
nTTMeo5TwkA,"a real vegan movie, must be use cg animals making food from humans, not this trash movie, this is just sick cannibalism, people eating people, this is unnatural, american trash hollywood movie, easy cash grab from sick persons.","['real', 'vegan', 'movie', 'use', 'cg', 'animal', 'food', 'human', 'trash', 'movie', 'sick', 'cannibalism', 'people', 'eat', 'people', 'unnatural', 'american', 'trash', 'hollywood', 'movie', 'easy', 'cash', 'grab', 'sick', 'person']"
nTTMeo5TwkA,Is this about veganism or canabalism,"['veganism', 'canabalism']"
nTTMeo5TwkA,Getting a peta vibe from this,"['peta', 'vibe']"
nTTMeo5TwkA,"Wow, new Hotline Miami looks great!","['wow', 'new', 'hotline', 'miami', 'look', 'great']"
nTTMeo5TwkA,Fos,
nTTMeo5TwkA,Like it!,
nTTMeo5TwkA,I'm sure the director is an angry vegan,"['sure', 'director', 'angry', 'vegan']"
nTTMeo5TwkA,I eat fish,
nTTMeo5TwkA,Anything but not a horror movie,"['horror', 'movie']"
nTTMeo5TwkA,is that wyatt brothers?,"['wyatt', 'brother']"
nTTMeo5TwkA,"vegans dont eat meat, including human meat :)","['vegans', 'eat', 'meat', 'include', 'human', 'meat', ':)']"
nTTMeo5TwkA,0:59 is that a baby?,
nTTMeo5TwkA,So I suppose someone have heard one of these jokes about vegans and decided to make a film. Lol.,"['suppose', 'hear', 'joke', 'vegans', 'decide', 'film', 'lol']"
nTTMeo5TwkA,When does this movie come out??,"['movie', 'come']"
nTTMeo5TwkA,Ain't nobody gonna mention the Wyatt Family?😂😂,"['mention', 'wyatt', 'family', '😂', '😂']"
nTTMeo5TwkA,"ok i love horror, but to me this goes to far, weighing a baby on a scale , like its beef is just plain sick.. horror genre needs to clean house and put only films in it with supernatural elements to it.. this kind of film is slasher blood and guts and has no real plot except to produce mindless sick gore. i really cant see how anyone would be entertained by that, or even watch it.jmo","['ok', 'love', 'horror', 'far', 'weigh', 'baby', 'scale', 'like', 'beef', 'plain', 'sick', '..', 'horror', 'genre', 'need', 'clean', 'house', 'film', 'supernatural', 'element', '..', 'kind', 'film', 'slasher', 'blood', 'gut', 'real', 'plot', 'produce', 'mindless', 'sick', 'gore', 'entertain', 'watch', 'it.jmo']"
nTTMeo5TwkA,"Well we’re are the same as cows chickens and pigs. 




Just kidding I’m not vegan lol.","['cow', 'chicken', 'pig', 'kid', 'vegan', 'lol']"
nTTMeo5TwkA,Gordon Ramsay: It's fucking rrrrraawwww!!!,"['gordon', 'ramsay', 'fucking', 'rrrrraawwww']"
nTTMeo5TwkA,what the name of the movie,['movie']
nTTMeo5TwkA,Elle est où la bande annonce vf ?,
nTTMeo5TwkA,"As a person who’s family owns a beef cattle stud, it could be worse, you get free food, all the fuckin you want and when your time comes it’s quick and painless. Better then a cow in the wild getting ripped apart by lions. This movie is a very inaccurate representation of how people in the agricultural industry treat their animals. Plus most animals are kept free range, well at least in Australia they are.","['person', '’', 'family', 'beef', 'cattle', 'stud', 'bad', 'free', 'food', 'fuckin', 'want', 'time', 'come', '’', 'quick', 'painless', 'better', 'cow', 'wild', 'rip', 'apart', 'lion', 'movie', 'inaccurate', 'representation', 'people', 'agricultural', 'industry', 'treat', 'animal', 'plus', 'animal', 'free', 'range', 'australia']"
nTTMeo5TwkA,Good thing I'm a vegetarian :),"['good', 'thing', 'vegetarian', ':)']"
nTTMeo5TwkA,I HATE THIS :(,
nTTMeo5TwkA,Was ein unötiger Schrottfilm.,
nTTMeo5TwkA,This looks horrendous,"['look', 'horrendous']"
nTTMeo5TwkA,Humans killing humans! Thats all I see.,"['human', 'kill', 'human', 's']"
nTTMeo5TwkA,un bodrio gore,
nTTMeo5TwkA,Retarded.,
nTTMeo5TwkA,Ewwww...I hate that kind of movie,"['ewwww', '...', 'hate', 'kind', 'movie']"
nTTMeo5TwkA,"Another dumb ass gay slasher film from the Hollywood shithouse, YAAAAAAAAAWN (-_-) zzzZZZ zzzZZZ zzzZZZ","['dumb', 'ass', 'gay', 'slasher', 'film', 'hollywood', 'shithouse', 'yaaaaaaaaawn', '(-_-)', 'zzzzzz', 'zzzzzz', 'zzzzzz']"
nTTMeo5TwkA,This is very good!!,['good']
nTTMeo5TwkA,"Guess what....








*I still eat meat*","['guess', '....', 'eat', 'meat']"
nTTMeo5TwkA,"They ate meat...
Now...



They beat....","['eat', 'meat', '...', '...', 'beat', '....']"
nTTMeo5TwkA,"Jeez, talk about try hards in wanting show people a different ""perspective"" of a farm","['jeez', 'talk', 'try', 'hard', 'want', 'people', 'different', 'perspective', 'farm']"
nTTMeo5TwkA,This looks like something that would be part of a death metal music video lol,"['look', 'like', 'death', 'metal', 'music', 'video', 'lol']"
nTTMeo5TwkA,"Excuse me, how is this for vegans? They're still eating meat lmao","['excuse', 'vegans', 'eat', 'meat', 'lmao']"
nTTMeo5TwkA,My mom asks why i dont take walks,"['mom', 'ask', 'walk']"
nTTMeo5TwkA,"I don't know, there's SO MANY of these type movies out already, it seems like film makers today are just stuck in 'Do Over Mode'..... How many times can we shoot the same film, only from a different angle and maybe the viewers won't notice......","['know', 'type', 'movie', 'like', 'film', 'maker', 'today', 'stick', 'mode', '.....', 'time', 'shoot', 'film', 'different', 'angle', 'maybe', 'viewer', 'notice', '......']"
nTTMeo5TwkA,How are people so sick,"['people', 'sick']"
nTTMeo5TwkA,So a vegan wrote a horror movie?,"['vegan', 'write', 'horror', 'movie']"
nTTMeo5TwkA,is this movie made by fanatic vegans?,"['movie', 'fanatic', 'vegan']"
nTTMeo5TwkA,Did PETA fund this XD,"['peta', 'fund', 'xd']"
nTTMeo5TwkA,"Looks stupid actually. Sponsored by PETA.  this is how vegans think meat eaters should get it in the end.  "" see...how do you like it?"". Vegan to the poor slaughtered human.","['look', 'stupid', 'actually', 'sponsor', 'peta', 'vegans', 'think', 'meat', 'eater', 'end', '...', 'like', 'vegan', 'poor', 'slaughter', 'human']"
nTTMeo5TwkA,What does the fox say GONE WRONG,"['fox', 'gone', 'wrong']"
nTTMeo5TwkA,These crazy vegans are at it again,"['crazy', 'vegan']"
nTTMeo5TwkA,This is some satanic illuminati shite right here,"['satanic', 'illuminati', 'shite', 'right']"
nTTMeo5TwkA,i hate when this happens,"['hate', 'happen']"
nTTMeo5TwkA,Is there a book version of this movie???,"['book', 'version', 'movie']"
nTTMeo5TwkA,I bet vegans made this movie.,"['bet', 'vegans', 'movie']"
nTTMeo5TwkA,Well thats fucked up,"['s', 'fuck']"
nTTMeo5TwkA,老铁没毛病双击6666,
nTTMeo5TwkA,This has to be a joke,['joke']
nTTMeo5TwkA,Sick shit,
nTTMeo5TwkA,"Rated PG for Mild language, fart jokes, and suggestive themes","['rate', 'pg', 'mild', 'language', 'fart', 'joke', 'suggestive', 'theme']"
nTTMeo5TwkA,People who say that this is what animals feels in the farm factory.......Jesus Christ what did I just watch?,"['people', 'animal', 'feel', 'farm', 'factory', '.......', 'jesus', 'christ', 'watch']"
nTTMeo5TwkA,This movie looks like grade A CRAP!,"['movie', 'look', 'like', 'grade', 'crap']"
nTTMeo5TwkA,THEY DO THAT TO FUCKING  BABYS THERE BABYS I KNOW IT JUST A MOVIE BUT WHAT THE FUCKING HELL THERE FUCKING BABYS,"['fucking', 'babys', 'babys', 'know', 'movie', 'fucking', 'hell', 'fucking', 'babys']"
nTTMeo5TwkA,when is the showing date?,['date']
nTTMeo5TwkA,"*its revenge
Seriously this is like the third movie trailer I watch that uses it's instead of its, damn.","['revenge', 'seriously', 'like', 'movie', 'trailer', 'watch', 'use', 'instead', 'damn']"
nTTMeo5TwkA,my faforite film psikopat,
nTTMeo5TwkA,THIS IS HORRIBLE IDEA FOR MOVIE,"['horrible', 'idea', 'movie']"
nTTMeo5TwkA,Moral of the story.  Be vegetarian,"['moral', 'story', 'vegetarian']"
nTTMeo5TwkA,"""Now the Farm wants IT'S revenge"" Ummm.... Seriously?","['farm', 'want', 'revenge', 'ummm', '....', 'seriously']"
nTTMeo5TwkA,This is like every vegan ever,"['like', 'vegan']"
nTTMeo5TwkA,WTF😨? OMG😱...,
nTTMeo5TwkA,Murderously erotic 😮,
nTTMeo5TwkA,Hahaha... Now I'm gonna eat beef+ lamb and watch this movie,"['hahaha', '...', 'eat', 'beef+', 'lamb', 'watch', 'movie']"
nTTMeo5TwkA,This is just like my every day life finally a movie for the average crackair👌 Mmmmn this made me want a Good Burger tho foreal 🙌👅💦🍔,"['like', 'day', 'life', 'finally', 'movie', 'average', 'crackair', '👌', 'mmmmn', 'want', 'good', 'burger', 'tho', 'foreal', '🙌', '👅', '💦', '🍔']"
nTTMeo5TwkA,Who else is vegan now,['vegan']
nTTMeo5TwkA,BUT YA GOTTA EAT THE BOOTY LIKE GROCERIES,"['ya', 'gotta', 'eat', 'booty', 'like', 'groceries']"
nTTMeo5TwkA,HELL TO THE NO THIS IS NOW A NIGHTMARE OF MINE GOODNIGHT TO EVERYONE EXCEPT WHOEVER MADE THIS SHIT,"['hell', 'nightmare', 'goodnight', 'shit']"
nTTMeo5TwkA,is just like freak island in Manga :D,"['like', 'freak', 'island', 'manga', ':d']"
nTTMeo5TwkA,The Farm where we live.😂,"['farm', 'live', '😂']"
nTTMeo5TwkA,Its*,
nTTMeo5TwkA,Hahah VEGANS,
nTTMeo5TwkA,Can’t wait for the sequel The Garden when we they eat humans after treating them like plants. Mmmmm steamed mashed and boiled,"['wait', 'sequel', 'garden', 'eat', 'human', 'treat', 'like', 'plant', 'mmmmm', 'steam', 'mash', 'boil']"
nTTMeo5TwkA,ITS BRAY WYATT FAMILY,"['bray', 'wyatt', 'family']"
nTTMeo5TwkA,1:00 Now THAT is disturbing.,"['1:00', 'disturbing']"
nTTMeo5TwkA,"0:37 You spelled ""its"" wrong.","['0:37', 'spell', 'wrong']"
nTTMeo5TwkA,"They can’t break out of a wire dog cage, how pathetic","['break', 'wire', 'dog', 'cage', 'pathetic']"
nTTMeo5TwkA,"0:07 seconds in, and I already lost interest.","['0:07', 'second', 'lose', 'interest']"
nTTMeo5TwkA,oh god peta’s snapped,"['oh', 'god', 'peta', 'snap']"
