Video ID,Comment,processed
-egQ79OrYCs,"@34099832 it's zuko. just sayin. Also, since when did Aang's arrow have a design? and a giant design of designs on the back. It should just be a straight light blue arrow going on his head and down his spine.","['@34099832', 'zuko', 'sayin', 'aang', 'arrow', 'design', 'giant', 'design', 'design', 'straight', 'light', 'blue', 'arrow', 'head', 'spine']"
-egQ79OrYCs,"The film so far has received almost universally negative reviews, earning an 7% score on Rotten Tomatoes. Despite flashy special effects, The Last Airbender squanders the potential of its popular source material on an incomprehensible plot, laughable dialogue, and a joyless sense of detachment. Roger Ebert gave the film half a star in his review, stating that it ""bores and alienates its audiences,"" and notes the poor use of 3D among the film's faults.","['film', 'far', 'receive', 'universally', 'negative', 'review', 'earn', '7', 'score', 'rotten', 'tomatoes', 'despite', 'flashy', 'special', 'effect', 'airbender', 'squander', 'potential', 'popular', 'source', 'material', 'incomprehensible', 'plot', 'laughable', 'dialogue', 'joyless', 'sense', 'detachment', 'roger', 'ebert', 'film', 'half', 'star', 'review', 'state', 'bore', 'alienate', 'audience', 'note', 'poor', 'use', '3d', 'film', 'fault']"
-egQ79OrYCs,"guys they are going to be cutting the kyoshi warriors out, and plus aangs name is gonna now be pronounced uung....... wtf.
","['guy', 'cut', 'kyoshi', 'warrior', 'plus', 'aang', 'pronounce', 'uung', '.......', 'wtf']"
-egQ79OrYCs,"I love how everyone is bitching.
How many times have movies actually been extremely relevant to their original counterparts?","['love', 'bitch', 'time', 'movie', 'actually', 'extremely', 'relevant', 'original', 'counterpart']"
-egQ79OrYCs,Changing the pronunciation of the name Aang in the movie really pisses me off.,"['change', 'pronunciation', 'aang', 'movie', 'piss']"
-egQ79OrYCs,@WaffleKiller09 really? im pretty sure its all 4 combined,"['@wafflekiller09', 'pretty', 'sure', '4', 'combine']"
-egQ79OrYCs,WHERE DO THE ASIANS COME IN?!?!?!? WHY DOES UNCLE AND ZUKO LOOK UGLY T^T,"['asian', 'come', 'doe', 'uncle', 'zuko', 'look', 'ugly', 't^t']"
-egQ79OrYCs,"@BadYam993 Katara is on i think, i dont ang i gonna be as happy as he was, i think he is gonna be cool though. It will be different the the nick one but i think ill like it.","['@badyam993', 'katara', 'think', 'ang', 'happy', 'think', 'cool', 'different', 'nick', 'think', 'ill', 'like']"
-egQ79OrYCs,"mm well i saw the cartoon when i was 12 years old jaja, now i am 14 XD,jaja but the movie looks good, awesome special effects and maybe god plot :], waitin for harry potter the deadly hollows :D","['mm', 'cartoon', '12', 'year', 'old', 'jaja', '14', 'xd', 'jaja', 'movie', 'look', 'good', 'awesome', 'special', 'effect', 'maybe', 'god', 'plot', ':]', 'waitin', 'harry', 'potter', 'deadly', 'hollow', ':d']"
-egQ79OrYCs,"jajaja, i like the cartoon when i was 12 years old jaja, now i am 14 XD but mm the movie its ok jaja, so i will see it, and waiting harry potter the deadly hollows :D,
Hurricane Alex :/","['jajaja', 'like', 'cartoon', '12', 'year', 'old', 'jaja', '14', 'xd', 'mm', 'movie', 'ok', 'jaja', 'wait', 'harry', 'potter', 'deadly', 'hollow', ':d', 'hurricane', 'alex', ':/']"
-egQ79OrYCs,"Okay um....This looks NOTHING like the show, which kinda pisses me off.  I mean, if you are going to use someone's story to make a movie, don't make it yours.  It's not your idea to mold and mix and smush into something else.","['okay', 'um', '....', 'look', 'like', 'kinda', 'piss', 'mean', 'use', 'story', 'movie', 'idea', 'mold', 'mix', 'smush']"
-egQ79OrYCs,I would have put the guy who plays Zuko to play Sakka instead. And Zuko should of been a light Asian person with a faded red scar.,"['guy', 'play', 'zuko', 'play', 'sakka', 'instead', 'zuko', 'light', 'asian', 'person', 'fade', 'red', 'scar']"
-egQ79OrYCs,damn it! i thought at least zuko would be hot :c,"['damn', 'think', 'zuko', 'hot', 'c']"
-egQ79OrYCs,"Obviously Toph isn't in this movie, she comes in the second season. >_>

The casting people did a terrible job. Katara and Sokka need a tan. Zuko needs to be bleached, and his hair isn't even right. Uncle Iroh is completely off. And Aang has a fat baby face. :( ","['obviously', 'toph', 'movie', 'come', 'second', 'season', 'cast', 'people', 'terrible', 'job', 'katara', 'sokka', 'need', 'tan', 'zuko', 'need', 'bleach', 'hair', 'right', 'uncle', 'iroh', 'completely', 'aang', 'fat', 'baby', 'face', ':(']"
-egQ79OrYCs,@Pianoplayer009 yeah like how prince of persia was a whiteboy...,"['@pianoplayer009', 'yeah', 'like', 'prince', 'persia', 'whiteboy', '...']"
-egQ79OrYCs,@bigred787eb its my fav too! im going to watch the the movie tomorrow though im sure the plots getting screwed a lot from being summarized a lot ,"['@bigred787eb', 'fav', 'watch', 'movie', 'tomorrow', 'sure', 'plot', 'screw', 'lot', 'summarize', 'lot']"
-egQ79OrYCs,Wow. I've only seen 3.5 episodes and they look way better then this movie.,"['wow', '3.5', 'episode', 'look', 'way', 'better', 'movie']"
-egQ79OrYCs,awsome,
-egQ79OrYCs,awsome,
-egQ79OrYCs,@apluskel ya aang kissed her 1 time to find there way out of a under ground place and another time was when he was going to fight to fire king and kissed her and flew off and he did not find the fire king that time and maybe something will happen at the end,"['@apluskel', 'ya', 'aang', 'kiss', '1', 'time', 'find', 'way', 'ground', 'place', 'time', 'fight', 'fire', 'king', 'kiss', 'fly', 'find', 'fire', 'king', 'time', 'maybe', 'happen', 'end']"
-egQ79OrYCs,"@pwnage122334 

me to. I loved the show and I am excited to see this just for for fun ya know but what made the show so great was all the antics. Especially sokka lmao. This is probbaly going to a be a more mellowed down version of it. Plus aang was such ha pacifist in the anime and now he looks like he is about to ready to murder.","['@pwnage122334', 'love', 'excited', 'fun', 'ya', 'know', 'great', 'antic', 'especially', 'sokka', 'lmao', 'probbaly', 'mellowed', 'version', 'plus', 'aang', 'ha', 'pacifist', 'anime', 'look', 'like', 'ready', 'murder']"
-egQ79OrYCs,aww i loved the cartoon/anime -meh- version could be worth seeing how well they did it this time. Seeing as they totally messed up dragon ball Z - although it was good... just disapointing compeared to the anime.,"['aww', 'love', 'cartoon', 'anime', '-meh-', 'version', 'worth', 'time', 'totally', 'mess', 'dragon', 'ball', 'z', 'good', '...', 'disapointe', 'compeare', 'anime']"
-egQ79OrYCs,i gueessss this movieeee is gona aaa rockkkkk........,"['gueesss', 'movieeee', 'gona', 'aaa', 'rockkkkk', '........']"
-egQ79OrYCs,@kingofepic  they put the scar on his face? what i didint notice it!,"['@kingofepic', 'scar', 'face', 'didint', 'notice']"
-egQ79OrYCs,@kingofepic I agree. It should have been more pronounced. I also liked his shaved head with the ponytail look,"['@kingofepic', 'agree', 'pronounce', 'like', 'shaved', 'head', 'ponytail', 'look']"
-egQ79OrYCs,I'm surprised I havent seen a single comment on the relationship between Katara and Aang - I havent watched all of the episodes so I don't know their fate but apparently there is some sort of emotional connection between them,"['surprised', 'single', 'comment', 'relationship', 'katara', 'aang', 'watch', 'episode', 'know', 'fate', 'apparently', 'sort', 'emotional', 'connection']"
-egQ79OrYCs,I have a bad feeling that everyones gonna be too serious,"['bad', 'feeling']"
-egQ79OrYCs,"it's right..these trailers show a lot of bending and action to seduce the audience. I think, btw - that the actor of zuko is allright. But is it just me - or has somebodyelse also imagined aang being a lot more skinnier? ^^","['right', '..', 'trailer', 'lot', 'bending', 'action', 'seduce', 'audience', 'think', 'btw', 'actor', 'zuko', 'allright', 'somebodyelse', 'imagine', 'aang', 'lot', 'skinny', '^^']"
-egQ79OrYCs,"watch the cartoon, it's awesome. FYI, it's made from the cartoon","['watch', 'cartoon', 'awesome', 'fyi', 'cartoon']"
-egQ79OrYCs,ya i dont like the casting for zuko at all....im sorry but he looks nothing like zuko. it just doesnt seem right. and uncle iroh doesnt look right either he looks like a rackity shack ho bo. ,"['ya', 'like', 'casting', 'zuko', '....', 'im', 'sorry', 'look', 'like', 'zuko', 'right', 'uncle', 'iroh', 'look', 'right', 'look', 'like', 'rackity', 'shack', 'ho', 'bo']"
