Video ID,Comment,processed
42KNwQ6u42U,RUEEEEEEEE!!! <33333,
42KNwQ6u42U,lol i got the trailer as an ad too,"['lol', 'trailer', 'ad']"
42KNwQ6u42U,sparler alert her mom was lieing she wasnt sick,"['sparler', 'alert', 'mom', 'lie', 'sick']"
42KNwQ6u42U,I'm seeing this on friday with my friends can i get 15 likes?,"['friday', 'friend', '15', 'like']"
42KNwQ6u42U,"Although this movie seems like it going to be good, I feel like it's just basically a reversed version of ""The Space Between Us"". In that movie, the boy couldn't go outside (well Earth) to get to the girl. But in this one it's flipped, the girl can't go outside to get to the guy.","['movie', 'like', 'good', 'feel', 'like', 'basically', 'reversed', 'version', 'space', 'movie', 'boy', 'outside', 'earth', 'girl', 'flip', 'girl', 'outside', 'guy']"
42KNwQ6u42U,I love this,
42KNwQ6u42U,"Idk what it is.. maybe the acting, the script? But this whole trailer made me cringe. Was the book any good?","['idk', '..', 'maybe', 'acting', 'script', 'trailer', 'cringe', 'book', 'good']"
42KNwQ6u42U,All of my friends wanna see this movie but me....I'm like the only one that doesn't wanna see it😐😐😐😐,"['friend', 'wanna', 'movie', '....', ""i'm"", 'like', 'wanna', '😐', '😐', '😐', '😐']"
42KNwQ6u42U,sometimes staying at home make me sick,"['stay', 'home', 'sick']"
42KNwQ6u42U,Who else tryed to call the number 😂,"['try', 'number', '😂']"
42KNwQ6u42U,"people mad because a white guy is dating black girl in yhe movie.  That is super common.  Because black guys nowadays like any girl thats not black, because of fear of the  angry black woman.  Black men cant simply tolerate  a independent black woman who cant be reason with.  This is why black guys are seen with latinas, cauasians, asisns etc.  For black women they just want a handsome man that is gentleman but doesn't like disputes or agruements even though that is part of life.  The movie seems cool, but risking death for a guy really.  So her boyfriend is death and she is a daredevil.","['people', 'mad', 'white', 'guy', 'date', 'black', 'girl', 'yhe', 'movie', 'super', 'common', 'black', 'guy', 'nowadays', 'like', 'girl', 's', 'black', 'fear', 'angry', 'black', 'woman', 'black', 'man', 'simply', 'tolerate', 'independent', 'black', 'woman', 'reason', 'black', 'guy', 'latinas', 'cauasians', 'asisns', 'etc', 'black', 'woman', 'want', 'handsome', 'man', 'gentleman', 'like', 'dispute', 'agruement', 'life', 'movie', 'cool', 'risk', 'death', 'guy', 'boyfriend', 'death', 'daredevil']"
42KNwQ6u42U,looks shitty af,
42KNwQ6u42U,This looks really good...the book sounds like a refreshing story...I'm proud of the author being as this was her first novel and it was turned into a major motion picture...kudos to her for sure!,"['look', 'good', '...', 'book', 'sound', 'like', 'refresh', 'story', '...', ""i'm"", 'proud', 'author', 'novel', 'turn', 'major', 'motion', 'picture', '...', 'kudo', 'sure']"
42KNwQ6u42U,i read the book when i was in like seventh grade and THE TRAILER IS SO PERFECT THE CHARACTERS ARE EVERYTHING I IMAGINED THEM TO BE AND IM IN TEARS,"['read', 'book', 'like', 'seventh', 'grade', 'trailer', 'perfect', 'character', 'imagined', 'im', 'tears']"
42KNwQ6u42U,If I watch this corny movie it might kill me,"['watch', 'corny', 'movie', 'kill']"
42KNwQ6u42U,Book is way better🐥,"['book', 'way', '🐥']"
42KNwQ6u42U,saw the movie and it was so beautiful 😭😍,"['movie', 'beautiful', '😭', '😍']"
42KNwQ6u42U,Oh boy... interracial relationships.... great...,"['oh', 'boy', '...', 'interracial', 'relationship', '....', 'great', '...']"
42KNwQ6u42U,"""I'm sick""
Yeah but what sickness
""Can't go outside I'm sick""
Yeah but...
""I'm sick""","['sick', 'yeah', 'sickness', 'outside', 'sick', 'yeah', '...', 'sick']"
42KNwQ6u42U,"""I'm 18 and I've never been outside. If I did, I'd probably die."" Hmm where have I heard something like that before? Oh yeah! RICK AND MORTY!","['18', 'outside', 'probably', 'die', 'hmm', 'hear', 'like', 'oh', 'yeah', 'rick', 'morty']"
42KNwQ6u42U,SHE LOOKS LIKE RUE,
42KNwQ6u42U,"I went to watch the trailer, and the trailer was the add😂😂😂","['watch', 'trailer', 'trailer', 'add', '😂', '😂', '😂']"
42KNwQ6u42U,I'm to excited like if you are to,"['excite', 'like']"
42KNwQ6u42U,What's up with Olly's and his hair...I'm type triggered 😂,"['olly', 'hair', '...', ""i'm"", 'type', 'trigger', '😂']"
42KNwQ6u42U,omg the actor who played rue in hunger games is back!!!! yay!11!!,"['omg', 'actor', 'play', 'rue', 'hunger', 'game', 'yay!11']"
42KNwQ6u42U,I don't want to be a hater but that girl looks WAY too healthy to have never been outside.,"['want', 'hater', 'girl', 'look', 'way', 'healthy', 'outside']"
42KNwQ6u42U,"OMFG I CANT WAIT TO SEE THIS  LIKE 2  MORE FRIKIN DAYS I CAN'T EVEN I READ THE FUGGIN BOOK AND ITS THE BEST LIKE ITS EVERYTHING 

*EVERYTHING EVERYTHING*","['omfg', 'cant', 'wait', 'like', '2', 'frikin', 'day', ""can't"", 'read', 'fuggin', 'book', 'best', 'like']"
42KNwQ6u42U,When I found out they were making it a movie I had a major freak out moment,"['find', 'movie', 'major', 'freak', 'moment']"
42KNwQ6u42U,"I just saw a short preview for this in an ad so i had to come check it out because i  thought it was about a severe introvert. ""what would happen if you left your house"" ""i would die"" meeeeeee","['short', 'preview', 'ad', 'come', 'check', 'think', 'severe', 'introvert', 'happen', 'leave', 'house', 'die', 'meeeeeee']"
42KNwQ6u42U,Beyonce ❤,
42KNwQ6u42U,"My mom bought me this book for my 15th birthday simply because I thought the cover art was interesting. Now it has become one of my favorite books, and Nicola Yoo-hoo is now one of my favorite authors. I can't wait to see this over the weekend. I also highly recommend her second book, a sun is also a star if you haven't already it. And if you haven't read Everything, Everything yet either, what are you waiting for? READ IT NOW","['mom', 'buy', 'book', '15th', 'birthday', 'simply', 'think', 'cover', 'art', 'interesting', 'favorite', 'book', 'nicola', 'yoo', 'hoo', 'favorite', 'author', 'wait', 'weekend', 'highly', 'recommend', 'second', 'book', 'sun', 'star', 'read', 'wait', 'read']"
42KNwQ6u42U,jesus i love nick robinson so much,"['jesus', 'love', 'nick', 'robinson']"
42KNwQ6u42U,so ... bubbleboy???,"['...', 'bubbleboy']"
42KNwQ6u42U,i can't get over how perfect beyonce's song is for this trailer. it's like it was made for it,"['perfect', 'beyonce', 'song', 'trailer', 'like']"
42KNwQ6u42U,can you guys please recognize they totally ripped off/stole the entire plot from a Japanese movie but made it cringey?,"['guy', 'recognize', 'totally', 'rip', 'stole', 'entire', 'plot', 'japanese', 'movie', 'cringey']"
42KNwQ6u42U,So they just completely stole the plot from the Japanese film Taiyou no Uta..but made it cheesier... what else is new. American films constantly stealing plots from Asian films and ruining them,"['completely', 'steal', 'plot', 'japanese', 'film', 'taiyou', 'uta', '..', 'cheesier', '...', 'new', 'american', 'film', 'constantly', 'steal', 'plot', 'asian', 'film', 'ruin']"
42KNwQ6u42U,Tangled 2?,
42KNwQ6u42U,NICK ROBINSON AND THE VOIIICCCEEEE fsqcvcsfvsdc 😍😍😍,"['nick', 'robinson', 'voiiiccceeee', 'fsqcvcsfvsdc', '😍', '😍', '😍']"
42KNwQ6u42U,Does she have Aids or something?,['aids']
42KNwQ6u42U,YASS AMAZING,
42KNwQ6u42U,am i the only one that thinks he looks like shawn mendes?,"['think', 'look', 'like', 'shawn', 'mende']"
42KNwQ6u42U,Anyone know what the song at the beginning is?,"['know', 'song', 'beginning']"
42KNwQ6u42U,Finally!  An interracial couple in a movie that is not about race!,"['finally', 'interracial', 'couple', 'movie', 'race']"
42KNwQ6u42U,What's the song?,['song']
42KNwQ6u42U,AHHH!!!! I LOVE THIS MOVIE AND IT ISN'T EVEN OUT YET!!!!!😊😊😊😊,"['ahhh', 'love', 'movie', ""isn't"", '😊', '😊', '😊', '😊']"
42KNwQ6u42U,am I the only  one that kept watching this like every day,"['watch', 'like', 'day']"
42KNwQ6u42U,I WANT TO SEE THE MOVIE SO BAD,"['want', 'movie', 'bad']"
42KNwQ6u42U,"Like if you really want to see this movie
SUBSCRIBE if you already feel like crying","['like', 'want', 'movie', 'subscribe', 'feel', 'like', 'cry']"
42KNwQ6u42U,what would she die from??,['die']
42KNwQ6u42U,"An ad for everything, everything came before this video.","['ad', 'come', 'video']"
42KNwQ6u42U,what is the name of the song that is played at the beginning of the video? (0:00 - 0:40),"['song', 'play', 'beginning', 'video', '0:00', '0:40']"
42KNwQ6u42U,A must see😇😋,
42KNwQ6u42U,I saw this book in the library and got it and read it and I watched the trailer and I'm like some parts of this is so wrong and it happened this week I hate how sometimes the movie mess up parts,"['book', 'library', 'read', 'watch', 'trailer', 'like', 'wrong', 'happen', 'week', 'hate', 'movie', 'mess']"
42KNwQ6u42U,When the whole story is spoiled by the trailer... x),"['story', 'spoil', 'trailer', '...', 'x']"
42KNwQ6u42U,when a movie trailer ad comes on before the main movie trailer,"['movie', 'trailer', 'ad', 'come', 'main', 'movie', 'trailer']"
42KNwQ6u42U,I Still Don't Get Why Is If She Goes Outside She Dies,"['outside', 'die']"
42KNwQ6u42U,IM SO EXITED TO SEE THIS MOVIE!!!!!,"['im', 'exited', 'movie']"
42KNwQ6u42U,"when will there be a big name movie that encourages a black couple that's in love?... with positive messages and with black men and women showing each other respect? I haven't seen one...do they feel black people not love each other? will it not get any funding if they want to make a positive romantic film with a black couple? do they not want black people to see something like that because it will encourage togetherness? Oh, but they'll promote something that encourages black division in a heartbeat. if they're going to produce this, why not make a big name film with positive, respectful black couples as well? Because positive, genuinely loving black couples do exist as well...","['big', 'movie', 'encourage', 'black', 'couple', 'love', '...', 'positive', 'message', 'black', 'man', 'woman', 'respect', '...', 'feel', 'black', 'people', 'love', 'funding', 'want', 'positive', 'romantic', 'film', 'black', 'couple', 'want', 'black', 'people', 'like', 'encourage', 'togetherness', 'oh', 'promote', 'encourage', 'black', 'division', 'heartbeat', 'produce', 'big', 'film', 'positive', 'respectful', 'black', 'couple', 'positive', 'genuinely', 'love', 'black', 'couple', 'exist', '...']"
42KNwQ6u42U,When you realise Carla is the crazy person who held Rogelio hostage in Jane the Virgin.,"['realise', 'carla', 'crazy', 'person', 'hold', 'rogelio', 'hostage', 'jane', 'virgin']"
42KNwQ6u42U,bolt PG (2008),
42KNwQ6u42U,shrek do the roar scene (2012)(2010),"['shrek', 'roar', 'scene', '2012)(2010']"
42KNwQ6u42U,She grow up so fast 😭❤,"['grow', 'fast', '😭', '❤']"
42KNwQ6u42U,OMG l love the  trailer. l want to see the  movie now.,"['omg', 'l', 'love', 'trailer', 'l', 'want', 'movie']"
42KNwQ6u42U,Who else came here from those chat stories?,"['come', 'chat', 'story']"
42KNwQ6u42U,Taiyou no Uta.,
42KNwQ6u42U,Why r people saying this is a ripoff of 13 reasons why IT'S NOT EVEN THE SAME TOPIC,"['r', 'people', 'ripoff', '13', 'reason', 'topic']"
42KNwQ6u42U,CAN'T WAIT TO SEE THIS FRIDAY!!!!!!!😁😁😁😁,"[""can't"", 'wait', 'friday', '😁', '😁', '😁', '😁']"
42KNwQ6u42U,"Oh god, im going to watch this movie.
what will i not do for the girl i love,
im going to die.","['oh', 'god', 'watch', 'movie', 'girl', 'love', 'die']"
42KNwQ6u42U,so is she really sick or am I missing something,"['sick', 'miss']"
42KNwQ6u42U,Her mom lied to her she's not really sick 😂,"['mom', 'lie', 'sick', '😂']"
42KNwQ6u42U,When does it relse,['relse']
42KNwQ6u42U,I want to go see this movie 😍,"['want', 'movie', '😍']"
42KNwQ6u42U,What is the first song in the played in the trailer,"['song', 'play', 'trailer']"
42KNwQ6u42U,ok if the trailer makes me cry its probably not the best idea for me to see the whole movie,"['ok', 'trailer', 'cry', 'probably', 'good', 'idea', 'movie']"
42KNwQ6u42U,"I heard it my come out in theaters this friday. Not sure, but I heard it will come out soon.","['hear', 'come', 'theater', 'friday', 'sure', 'hear', 'come', 'soon']"
42KNwQ6u42U,This movie comes out on my birthday may 19 and I'm getting out of school early to see it,"['movie', 'come', 'birthday', '19', 'school', 'early']"
42KNwQ6u42U,in Hawaii she doesn't really get sick,"['hawaii', 'sick']"
42KNwQ6u42U,"""I can't lose you.""
""You already lost her.""","['lose', 'lose']"
42KNwQ6u42U,this is the only time i will thank random ads on games because HOL YUFCK IM SO EXCITED FoR THIS,"['time', 'thank', 'random', 'ad', 'game', 'hol', 'yufck', 'im', 'excite']"
42KNwQ6u42U,"1:30 ""every ocean deserves to be *SEAn* by you"" 














I'll let myself out","['1:30', 'ocean', 'deserve', 'sean', 'let']"
42KNwQ6u42U,Warner Bros presents...Bubble Girl,"['warner', 'bros', 'present', '...', 'bubble', 'girl']"
42KNwQ6u42U,Very cool movie,"['cool', 'movie']"
42KNwQ6u42U,this movie is literally a remake of bubble boy,"['movie', 'literally', 'remake', 'bubble', 'boy']"
42KNwQ6u42U,this looks like utter garbage,"['look', 'like', 'utter', 'garbage']"
42KNwQ6u42U,Can't wait to see this movie!!,"['wait', 'movie']"
42KNwQ6u42U,She died,
42KNwQ6u42U,ruee is aliveee,
42KNwQ6u42U,"Firstly, can you like, chill with the advertisement spam like please.","['firstly', 'like', 'chill', 'advertisement', 'spam', 'like']"
42KNwQ6u42U,"Girl in a house her whole life, still skinny af
> movie logic 2017","['girl', 'house', 'life', 'skinny', 'af', 'movie', 'logic', '2017']"
42KNwQ6u42U,wasn't the mom supposed to be japanese american? and maddy supposed to be half japanese half black?? I mean I guess it may be hard to find an actress who fits that specific profile though,"['mom', 'suppose', 'japanese', 'american', 'maddy', 'suppose', 'half', 'japanese', 'half', 'black', 'mean', 'guess', 'hard', 'find', 'actress', 'fit', 'specific', 'profile']"
42KNwQ6u42U,beginning song?,
42KNwQ6u42U,I'm excited for this movie to make its premiere!,"['excited', 'movie', 'premiere']"
42KNwQ6u42U,The ad before this video was for the movie😂,"['ad', 'video', 'movie', '😂']"
42KNwQ6u42U,What is the song when Beyoncé is singing,"['song', 'beyoncé', 'singe']"
42KNwQ6u42U,pretty sad... not the movie but the garbage this world considers art,"['pretty', 'sad', '...', 'movie', 'garbage', 'world', 'consider', 'art']"
42KNwQ6u42U,"frick , I'm reading the book right now im so excited","['frick', 'read', 'book', 'right', 'excited']"
42KNwQ6u42U,yes about time break the color code #2017,"['yes', 'time', 'break', 'color', 'code', '2017']"
42KNwQ6u42U,Anyone else know that she is Rue from hunger games,"['know', 'rue', 'hunger', 'game']"
