Video ID,Comment
MgbBwovOOoc,"movie is crap, confirmed by Jeremy Jahns "
MgbBwovOOoc,"So, this is a movie about a grown adult woman in her forties fucking an underage kid... and the movie is all about HER being a poor victim... riiiight.

I'd like to see this movie made with the genders in reverse."
MgbBwovOOoc,XD i love  your mothers cookies XD wow this seems like a bad lifetime movie...which i guess  would be a reagular lifetime movie XD 
MgbBwovOOoc,Why does she wear bad wigs in films?
MgbBwovOOoc,First I was like uh no than the action sort of happened and I was like hmm I'm getting curious I might watch it.
MgbBwovOOoc,5 bucks says the Dad is gonna die
MgbBwovOOoc," craptacular
http://www.torontosun.com/2015/01/22/review-jlos-boy-next-door-a-craptacular-thriller"
MgbBwovOOoc,"Il me tarde de le voir ce film, vraiment !! "
MgbBwovOOoc,I don't even know my neighbor's names 😳 Now I don't ever want to
MgbBwovOOoc,wowo ya espero por verla :)
MgbBwovOOoc,I'm dying to see it.I asked Carmin to come over so we can watch it together
MgbBwovOOoc,Definitely love this. 
MgbBwovOOoc,@Lee Her wanna watch this movie. Jennifer Lopez is in it.<3 :)
MgbBwovOOoc,J Lo just needs to stop making movies. Every movie she does looks forced. 
MgbBwovOOoc,"I really wanna watch it because Ryan Guzman is in it ☺️ ""Things got pretty wet up here."" Omg I started dying 😭😂😂"
MgbBwovOOoc,Noah is a crazy psycho
MgbBwovOOoc,It's considered unethical for teachers to have relationships with their students...even if they're 30.
MgbBwovOOoc,"I LOVE YOUR MOTHERS COOKIES !!!  

lmfao"
MgbBwovOOoc,"""I Love Your Mothers Cookies"" lol"
MgbBwovOOoc,Looks ok
MgbBwovOOoc,Noah is so a sexy
MgbBwovOOoc,"Boy♂Next♂Door

Sorry, I had to say that."
MgbBwovOOoc,Oh. ... my. ... OVARIES!!! 🙈🙈🙈🙈🙊🙊🙊🙊🙊🙊
MgbBwovOOoc,Reminds me of a Lifetime movie...
MgbBwovOOoc,the guy reminds me of jack gilinsky from vine 
MgbBwovOOoc,"""It got pretty wet here"" 😂😂 at her face! Yup, for go see it now!👏👍"
MgbBwovOOoc,"This movie is wrong. Wrong on the level that an old hoe slept with a high school student and is now ""the victim"" he's just showing what she did was wrong... And that he's obsessed with her. Fuck this world. "
MgbBwovOOoc,
MgbBwovOOoc,What is that song?
MgbBwovOOoc,"*of course, leave it up to jlo, to make a movie about men chasing after her, ego much?yessss."
MgbBwovOOoc,the *creepy* boy next door
MgbBwovOOoc,"From the trailer it looks like the movie has a great mix of humor, creepiness and drama. I must see this"
MgbBwovOOoc,Introducing Jennifer Lopez's new husband
MgbBwovOOoc,Okay.........................................................................................................
MgbBwovOOoc,I cant wait to see this movie look interesting.
MgbBwovOOoc,"Awesome! Finally a movie to educate the mindless masses on the horrible male students who sleep with their poor helpless teachers. Especially since evil male teacher who seduces poor innocent female student has been done to death, right? Doesn't really matter what the story is, if there's a man, there's a villain, if there's a woman, there's a victim."
MgbBwovOOoc,Well it got pretty wettt here...the look on j - Lo ' s face priceless
MgbBwovOOoc,Is this movie based off a book?
MgbBwovOOoc,Am I the only one who thought the hero man was James Franco??
MgbBwovOOoc,Whispering-Alex Clare makes this so much more intense! 
MgbBwovOOoc,That looks like a movie Helen McCrory would be in
MgbBwovOOoc,What kinda high school teenager looks that old? Like seriously... -_-
MgbBwovOOoc,young derek (every teen wolf fan will get it)
MgbBwovOOoc,The sex looks hot to me.... I don't care about the ages
MgbBwovOOoc,Old hag has sex with a teenager and somehow she is still the victim. Feminism!!!
MgbBwovOOoc,I can't wait to see the movie.
MgbBwovOOoc,No words to describe this ._.
MgbBwovOOoc,Can't wait to see this movie 😃😀
MgbBwovOOoc,What's the song??? pleaseeeee
MgbBwovOOoc,Ian nelson😍💕💖💖
MgbBwovOOoc,Definitely got to see this!
MgbBwovOOoc,"Darek,thanks god freaking love young Derek!"
