Video ID,Comment
r8pJt4dK_s4,"Idk but why are inanimate objects all of a sudden becoming really popular in movies?? First it's Sausage party and now this?

I mean, sausage party was good but we need to leave it there. "
r8pJt4dK_s4,Just checked and this film was panned with 0% on Rotten Tomatoes
r8pJt4dK_s4,"Fantastic Four ( 2015 ) deserves the Oscar, if compared to this movie.

WTF did I just watch?"
r8pJt4dK_s4,😂😂😂 don't do it
r8pJt4dK_s4,*0 procent on Rotten Tomatoes* 💯💯💯💯💦💦💦💦💦🔥🔥🔥🔥🔥🔥🔥🔥🔥
r8pJt4dK_s4,this will bomb.
r8pJt4dK_s4,0% on RT.
r8pJt4dK_s4,"2018: Roblox Movie
2019: Fidget Spinner Movie
2020: Minecraft Lets Play: The Movie
2021: Jake Paul & Team 10: The Movie
2022: Water Bottle Flip Movie
2023: Harlem Shake Movie
2024: Ice Bucket Challenge Movie
2025: Oppa Gangnam Style: The Movie
2026: Rage Comics: The Movie
2027: Planking Movie
2028: Ey Macarena Movie
2029: Walk Like an Egyptian Movie
2030: YMCA movie
2031: Mayan Calender Ends
2032: Harambe Movie
2033: Universe Explodes"
r8pJt4dK_s4,Yay Rejoice this movie has a 0% on rotten tomatoes. These critics are my heroes.
r8pJt4dK_s4,Armond White the type of nigga to like this movie
r8pJt4dK_s4,🐘💨
r8pJt4dK_s4,*0% on rotten tomatoes and an 8 on metacritic*
r8pJt4dK_s4,"And now it has 8 on metacritic and 0 on tomatoes... Great job, Guys!
💩
P.S Why you just don't ask your сolleagues from Playstation how to monitor the quality of a product?!"
r8pJt4dK_s4,worst movie ever! remove the movie
r8pJt4dK_s4,"Oh Sony...
   First you fucked Spider-man over, now you've ran out of ideas..."
r8pJt4dK_s4,bruh it's jus wreck it ralph but with emoji's and less funny
r8pJt4dK_s4,"When you see eggplant emoji as one of the emojis that do not get used 
????"
r8pJt4dK_s4,watch this make more then that valerian crap.
r8pJt4dK_s4,STOP HATING ON THIS MOVIE I THINK ITS GOOD
r8pJt4dK_s4,1:25
r8pJt4dK_s4,0% on Rotten Tomatoes... Why am I not surprised
r8pJt4dK_s4,LMAOOOOO IT HAS A 0% ON ROTTEN TOMATOES
r8pJt4dK_s4,"Dumb characters? Check.
Cliche movie plot that we've seen 300 times? Check.
Will people still rate it a 6/10 like idiots? Check."
r8pJt4dK_s4,ITS RELEASED!
r8pJt4dK_s4,"10 years later........
*The Disaster Animator comes out"
r8pJt4dK_s4,Figet spinner movie
r8pJt4dK_s4,everyone hating on this movie so they can fit with the crowd and seem cool.Watch the actual trailer moron then talk
r8pJt4dK_s4,This is cancer
r8pJt4dK_s4,"Fidget spinners: Ha im gonna officially be the most cancerous thing that 2017 has created!    
Emoji movie: Hold my fucking Beer"
r8pJt4dK_s4,"Call the Razzies folks, because this Movie is SO GETTING A TON OF NOMINATIONS!!!!!!!!"
r8pJt4dK_s4,2:05 my name is nick crompton and no im not from compton
r8pJt4dK_s4,"Annnnnd it got a big fat 0% on Rotten Tomatoes (as of right now). *starts slow clapping* Well done, Sony. You really did scrape the bottom of the barrel with this one this time.

P.S. I can't wait for Animat to review, rant, and rip this movie apart when his review comes out.

EDIT: Annnnnnd it's now at 6% on Rotten Tomatoes. Harmless for children, but harmful to anyone else."
r8pJt4dK_s4,when sony creates an emoji movie but cancels friday the 13th for another crappy movie.
r8pJt4dK_s4,Me and my older brother are scared that this movie is going to be okay...
r8pJt4dK_s4,Ah come on Sony. You can make way better movies then this utter crap of a film. I've seen some good ones by you guys.
r8pJt4dK_s4,i swear if this movie make more than dunkirk cause of little kids its gonna be war
r8pJt4dK_s4,What's next the fidget spinner movie?
r8pJt4dK_s4,🙁 hey! I found him. now ima go kill myself 😑🔫
r8pJt4dK_s4,"This movie currently has a 0% on Rotten Tomatoes. Good job, Sony."
r8pJt4dK_s4,Tomorrow marks the fall of humanity.
r8pJt4dK_s4,hi
r8pJt4dK_s4,Why 81K dislike?
r8pJt4dK_s4,I just came here to look at the comments
r8pJt4dK_s4,GUYS THIS MOVIE IS AT 0% I AM NOT JOKING XD
r8pJt4dK_s4,"As of July 27, 2017 it is at a 0% on rotten tomatoes. Good job, Hollywood. Average rating of 1.9. Don't see it getting a whole lot higher than that."
r8pJt4dK_s4,The Emoji Movie? Oh sweet! This is my Emoji of how I think about that movie. 😅🔫
r8pJt4dK_s4,People. People. THIS IS THE WORLD YOU LIVE IN..
r8pJt4dK_s4,Fucking horrible. 🤕😡🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢
r8pJt4dK_s4,Looks great
r8pJt4dK_s4,The eggplant gets used a lot it's not a loser
r8pJt4dK_s4,Just no 🙁 only 24 hours until it ends 😇
r8pJt4dK_s4,Quite possibly the worst movie I have ever seen. I was reaching for  the bleach during the credits.
r8pJt4dK_s4,Reviews are rock-bottom. Why am I not surprised?
r8pJt4dK_s4,I hope every single person from start to finish who was ever involved with making this gets brutally smashed about the face with an iron pipe.
r8pJt4dK_s4,"Dawn of the final day...
24 hours remain"
r8pJt4dK_s4,"Gee what's next, the meme movie?"
r8pJt4dK_s4,Today is the Last Day Of Sanity It is July 27th 2017 The world is almost Come to An End
r8pJt4dK_s4,"my idea on after credits scene stars unknow guy name play by jeffrey dean morgan is 
message talking to revenge unkown guy is piri piri father and turns an monster 
but is showing on harvey beaks series finale with kamen rider ex-aid and finn is fee and foo lost brother and see fee and foo parents"
r8pJt4dK_s4,0% on Rotten Tomatoes. I was right!
r8pJt4dK_s4,ICONIC
r8pJt4dK_s4,This is what I find funny about ppl disliking this movie how you dislike emoji when you use them think about it lol maybe they should had put the movie out first then put them on our phone that would've been cool. Lol but guess not right lol
r8pJt4dK_s4,When writers run out of creativity
r8pJt4dK_s4,100 likes and I'll watch this at the cinema and complain the whole time.
r8pJt4dK_s4,Wats next? The meme movie?
r8pJt4dK_s4,meme big boy
r8pJt4dK_s4,Cancer is out tomorrow. In theaters near you!
r8pJt4dK_s4,going to see the movie next week on Tuesday
r8pJt4dK_s4,Why are there so many dislikes come on we all use emojis 😃and I think the movie is going to be good
r8pJt4dK_s4,"oh boy, the emoji movie. Screwing People's Minds since Mighty No. 9."
r8pJt4dK_s4,"m idea on after credits scene stars unknow guy name play by jeffrey dean morgan is 
message talking to revenge unkown guy is piri piri father and turns an monster 
but is showing on harvey beaks series finale with kamen rider ex-aid and finn is fee and foo lost brother and see fee and foo parents"
r8pJt4dK_s4,1 MORE DAY TILL THE APOCALYPSE
r8pJt4dK_s4,"my idea on after credits scene stars unknow guy name play by jeffrey dean morgan is 
message talking to revenge unkown guy is piri piri father and turns an monster 
but is showing on harvey beaks series finale with kamen rider ex-aid and finn is fee and foo lost brother and see fee and foo parents"
r8pJt4dK_s4,"my idea on after credits scene stars unknow guy name play by jeffrey dean morgan is message talking to revenge unkown guy is piri piri father and turns an monster 
but is showing on harvey beaks series finale with kamen rider ex-aid and finn is fee and foo lost brother and see fee and foo parents"
r8pJt4dK_s4,I'd rather have Popeyes than this garbage
r8pJt4dK_s4,what the burh
r8pJt4dK_s4,"my idea on after credits scene stars unknow guy name play by jeffrey dean morgan is message talking to revenge unkown guy is piri piri father and turns an monster 
but is showing on harvey beaks series finale with kamen rider ex-aid and finn is fee and foo lost brother and see fee and foo parents"
r8pJt4dK_s4,they delayed popeye for this piece of garbage? why?
r8pJt4dK_s4,2:20 why are they talking with an Indian accent?
r8pJt4dK_s4,1/10 not enough emojis
r8pJt4dK_s4,This is why aliens don't visit us.
r8pJt4dK_s4,🖕
r8pJt4dK_s4,how does this not have more dislikes than baby
r8pJt4dK_s4,Who ever watched the movie big hero six meh sounds like Fred off of b.h.six
r8pJt4dK_s4,🖕
r8pJt4dK_s4,I would just like to point out that Jacksfilms single-handedly saved this film from completely flopping. I would never have bought tickets to see this abomination if it weren't for him.
r8pJt4dK_s4,"How about we all give a middle finger to Sony by pirating the movie?
(I mean sure, it gives cancer to anyone who watches it, but at least we don't give those bastards the money...)"
r8pJt4dK_s4,tomarrows the end of the world
r8pJt4dK_s4,Jacksfilm sent me to this holy place.
r8pJt4dK_s4,So why are little kids using smartphones again?
r8pJt4dK_s4,Ye why so much hate?
r8pJt4dK_s4,AHAH emojis amirite XD!
r8pJt4dK_s4,Why so much hate?
r8pJt4dK_s4,Fucked up version of Inside Out tbh
r8pJt4dK_s4,Guys stop disliking Please.... its a movie for kids and they still worked hard for this movie.
r8pJt4dK_s4,There should be a new SAW movie where the prisoners either have to watch This or the Horrible Ghostbusters movie
r8pJt4dK_s4,Still a better love story then  twili... NO IT ISN'T
r8pJt4dK_s4,Jacksfilms
r8pJt4dK_s4,WHY ARE ALL THESE IDIOTS DISLIKIN- HECK WHY THEY WATCHING JUST TO HATE!!!! THIS MAKES ME RAGE!!!!!!
r8pJt4dK_s4,"why is there so many dislikes, this is the best movie of 20178"
r8pJt4dK_s4,"On this day, something unspeakable was unleashed.. *[Play dead island trailer theme]*
It was just a normal Thursday, everyone woke up, got dressed, and headed down to breakfast. Many brewed a cup of coffee, some may have even grabbed a glass of water.

Sitting them selves down, they begin to browse the web as they wake up. Scrolling through the news, they fly by something, only to freeze. Sliding the phone screen back up, they see it. 

....


*The Emoji Movie*

They begin to gag, choking for air as they hit the kitchen floor with a swift 'thud'. They lay there quietly, watching outside their windows as their life force fades away.

This same behavior spreads globally, dropping earths population soon into the hundreds. As the numbers drop fast, only one individual remains.

This last young man wakes up, only to find the entire world dead. He sits there, complelty in shock.
With his head in his hands, he receives a 'beep' from his phone. Looking up, he grabs it, swipping at the lock screen. Seeing the caption appear, he knows what he must do.

But before he attempts to take his own life, the phone dies. Leaving him in a petrified silence.

He had been watching to much porn the night prior, so his phone battery drained. 

As this realization kicks in, he lets out a shout of anger. 

""CURSE YOU PORN HUB!""

The camera pans out of the house, up into the sky, and fades to black.


                        *The End*"
r8pJt4dK_s4,WTF...we deserve to go extinct...i hope a meteorite finally wipe us out...
r8pJt4dK_s4,Hey i have an idea cancal the movie last minute
r8pJt4dK_s4,This is extremely uneventful
r8pJt4dK_s4,Tomorrow we all pay for all our sins Because emoji movie = judgement day
r8pJt4dK_s4,Movie is excited ! ONE DAY LEFT !!!!!!!!!!!!! There no way to cancel this movie anymore !
r8pJt4dK_s4,I'm dead inside
r8pJt4dK_s4,LET THIS FAIL. LET THIS FAIL.
r8pJt4dK_s4,"Oh hey look, Its the wreck it ralph ripoff!
(EDIT: and a bit of lego movie ripoff)"
r8pJt4dK_s4,THIS IS CANCER!!!
r8pJt4dK_s4,Grab your pitchforks.
r8pJt4dK_s4,Aye guys the Emoji Movie comes out tommorrow! Ready your bleach ;D
r8pJt4dK_s4,Weaponized aids.
r8pJt4dK_s4,The entire comment section of this looks more cancerous than the trailer itself.
