Video ID,Comment
dSBsNeYqh-k,"What takes me out of it is the fact this guy obsessed over a woman that is quite homely.  To me, not worth the stalking that takes place in the movie."
dSBsNeYqh-k,"I'm pretty sure that there's a lot more to this movie than what has been shown so far, y'all retards need to shut the fuck up and just wait for the movie to come out"
dSBsNeYqh-k,When that guy shot himself in the leg though...
dSBsNeYqh-k,This film reminds me of Hollow man 2000
dSBsNeYqh-k,Two words: Thermal vision God Hollywood has turned to complete and utter shit.
dSBsNeYqh-k,Sure would be cold being naked all the time.
dSBsNeYqh-k,"I went to watch this movie today thinking that it would be from the dark universe franchise. I really don't like horror movies, just the characters and the concept. (because I don't like getting scared). Should have watched the damn trailer."
dSBsNeYqh-k,Wow!  Scary!
dSBsNeYqh-k,1:27 that smile and eyebrow raise.  Very Jack Nicholson like way of playing crazy.   Like if they wanted to reboot Harley Quinn now as being a crazy lady who hangs out with the Joker they could use her.
dSBsNeYqh-k,When you try to sell something and your own clients tell you that you're selling it wrong
dSBsNeYqh-k,novody invented thermovosion in this universe? good job
dSBsNeYqh-k,"Learn this, kids: trailers two and a half minutes long... SPOILER the movie."
dSBsNeYqh-k,Who is the invisible man?
dSBsNeYqh-k,"The voice, every psyco can make a voice. They do while working. To be faint"
dSBsNeYqh-k,what if there invisible women
dSBsNeYqh-k,So original. See Hollow man 1 and 2. Hollywood is so out of ideas now it's pathetic.
dSBsNeYqh-k,the trailer just gave the entire movie up. fuck this
dSBsNeYqh-k,Am I tripping or did this trailer just give away everything???
dSBsNeYqh-k,Because of trailers like this i wont go see the movie. Shouldnt be so hard to make a cool trailer without spoiling the whole movie.      Remake or not.
dSBsNeYqh-k,June ♥️
dSBsNeYqh-k,This looks worse than hollowman
dSBsNeYqh-k,"Looks great, but I'm so sick of every trailer ruining the movie. They showed all the action, the plot, his possible motives. Like, come on."
dSBsNeYqh-k,"Now, I get it that why Nolan is great."
dSBsNeYqh-k,Reminds me of Hollow Man (2001)
dSBsNeYqh-k,supporting this movie is supporting scientology! look into the religion and make ur own judgment
dSBsNeYqh-k,I went for an audition for this Muck but the casting director could see me so he told me to get lost & stay there. 😢👎😢
dSBsNeYqh-k,Well they pretty much ratted out the whole movie
dSBsNeYqh-k,"*Facepalm.* This looks absolutely cheap and disappointing. VFX is complete garbage in comparison to original ""Hollow Man (2000)"". And that's with 20 years of difference?"
dSBsNeYqh-k,OK. I don't need to watch the movie anymore.
dSBsNeYqh-k,i think they mispelled John Cena
dSBsNeYqh-k,We all freaked out about how this trailer spoils everything. I just walked out of the screening....trust me everyone. The trailer shows a lot but there’s some unexpected twists in it that actually blew my mind.
dSBsNeYqh-k,I knew John Cena would Eventually get his own movie
dSBsNeYqh-k,This movie looks good Elisabeth Moss was good in US and The Kitchen
dSBsNeYqh-k,Anybody Ravi Babu Fans here right now ?!! 🤣🤣🤣
dSBsNeYqh-k,"Now playing : Show Yourself - Idina Menzel, Evan Rachel Wood (Frozen 2)"
dSBsNeYqh-k,"Fun Fact: As a child, Elizabeth Moss voiced a child in Batman the Animated series episode ""See No Evil"" whose father was also stalking her as an Invisible Man. That is some Meta casting right there."
dSBsNeYqh-k,"Before sees any comments in this trailer, i think the trailer truly talk too much, but much ppl agreed with that, we not really interest to watch on theatre because the trailer described too much."
dSBsNeYqh-k,1:44 dog senses something is there and starts barking.
dSBsNeYqh-k,1:44 did that dog just moan
dSBsNeYqh-k,"Saw the movie tonight at an early screening, it was good. Not amazing.  it was good from the  middle to end. Go at your own risk"
dSBsNeYqh-k,ok so thermal technologies just doesn't exist in this universe
dSBsNeYqh-k,"I remember the movie ""100 Feet""... kind of..😁"
dSBsNeYqh-k,He probably killed himself to turn invisible
dSBsNeYqh-k,From the novel by H. G. Wells.
dSBsNeYqh-k,Movie is 2h long and its only 2 min of trailer how did you see whole movie ???
dSBsNeYqh-k,"Me: *checks comments while video is loading*
Me: oh"
dSBsNeYqh-k,"Damn, can't believe they made an entire horror movie out of Eden Hazard's career."
dSBsNeYqh-k,"Who's here after the surprising Rotten Tomatoes Score = 90% 

Jason Blum and Leigh Whannel the best....."
dSBsNeYqh-k,Dad?
dSBsNeYqh-k,This movie is about john cena
dSBsNeYqh-k,"For those of you that think the whole movie’s shown in this trailer, those that have seen it say it’s not"
dSBsNeYqh-k,This should be a action movir
dSBsNeYqh-k,"I thought Johnny Depp was supposed to be in this. Where is he? 





... Oh, I get it."
