Video ID,Comment
7bfS6seiLhk,I'm reading the book right now & I'm trying to cram it in before it comes outtttt
7bfS6seiLhk,This is like the 10+ time I’ve watched this.😂
7bfS6seiLhk,not going to lie the only thing I like about the trailer was the ford mustang lol
7bfS6seiLhk,The song
7bfS6seiLhk,That's a nice house
7bfS6seiLhk,WOW I HOPE THEY INCLUDE THE SCENE WHERE SHE GETS PREGNANT AND HAS A MISCARRIAGE BECAUSE A LIBRARY SHELF FELL ON HER IN AN EARTHQUAKE
7bfS6seiLhk,"Was I the only one who noticed the big jar of (what I assume to be) Vaseline and the magazine under the bed,on the last scene?? No?? Ok, I’m just gonna go then... 😂😂😂"
7bfS6seiLhk,I still can’t believe that’s Ramona Quimby!!!!!!!!!!
7bfS6seiLhk,Omg yayy this comes out tomorrow!! 😄😄😄
7bfS6seiLhk,Isn't that the girl who played Brianna on New Girl's 1st or 2nd season?
7bfS6seiLhk,"..........wow you grew up so fast girlie, proud of u"
7bfS6seiLhk,wow the older brother is hotttt
7bfS6seiLhk,RAMUNA
7bfS6seiLhk,"wow you grew up so fast, your so pretty, and such a great actress, im so proud of u!"
7bfS6seiLhk,I remember reading this on Wattpad and I was SHOOK when I saw the book in Chapters stores! I'm even more SHOOK now that it's a film!! Beth (the author) has come so far it's insane!
7bfS6seiLhk,I wish that every like good book from Wattpad had a chance to become either a movie or a tv-show or series. That would be so awesome because some books for me really deserve that. So please someone MAKE IT HAPPEN!!!
7bfS6seiLhk,It’s sad everybody knows the mom from Riverdale and not Pretty in Pink or The Breakfast Club 🤦🏽‍♀️
7bfS6seiLhk,More like Joey Queen 😍👑 I love her
7bfS6seiLhk,"Kind of ""No list kiss"""
7bfS6seiLhk,you will always be our little ol' rory in our hearts
7bfS6seiLhk,Thinks back to Romona And Besus
7bfS6seiLhk,Anyone else see the magazine and lube at the end
7bfS6seiLhk,"Wtf, this is like a cliche wattpad story...*scrolling down to the comments* Omg, this is a wattpad story!"
7bfS6seiLhk,So cute!!
7bfS6seiLhk,Guy she's the girl from Taylor swift music video (mean)
7bfS6seiLhk,I can’t wait to watch it!! First the book was originally from wattpad. Second the author of the book is welsh. And third she’s from South Wales as well!! I’m so exited!!
7bfS6seiLhk,Cool
7bfS6seiLhk,So jeremy isnt so young now?
7bfS6seiLhk,WATTPAD
7bfS6seiLhk,Gaaaaaayyyyyy
7bfS6seiLhk,Erm.. Based off an wattpad story?
7bfS6seiLhk,This is my new favorite movie.. i don't care that i hvnt watched it yet.
7bfS6seiLhk,I can't wait for this movie!!!! Does anyone know any movies like this?
7bfS6seiLhk,"attention please read this we need to tell an important news to the world  https://bit.ly/2wxatMW الرجاء الانتباه هذا بلاغ للناس ظهر المسيح عيسى بن مريم في الميلاد الآخر نعلم أن الأمر    صعب التقبل لكن هو الحق ""لن يزداد الأمر إلا شدة ولا ... إلا شحاً ولا مهدي إلا عيسى"" من رحم الفوضى سيخرج النظام الفرج قريب. إن لم تستطع الوقوف مع الحق فلا تصفق للباطل بدأ الإسلام غريبا وسيعود"
7bfS6seiLhk,Song??
7bfS6seiLhk,Lol that face
7bfS6seiLhk,I’d kill to have a best boy friend relationship like them!
7bfS6seiLhk,Omg cant waaait
7bfS6seiLhk,WOAH I remember reading this on Wattpad!!! So cool!
7bfS6seiLhk,book was really good so I can't wait!
7bfS6seiLhk,The height difference is ridiculous
7bfS6seiLhk,That’s Why Archie’s Mom Broke Up With Fred Andrews....
7bfS6seiLhk,"attention please read this we need to tell an important news to the world الرجاء الانتباه هذا بلاغ للناس ظهر المسيح عيسى بن مريم في الميلاد الآخر نعلم أن الأمر صعب التقبل لكن هو الحق ""لن يزداد الأمر إلا شدة ولا ... إلا شحاً ولا مهدي إلا عيسى"" من رحم الفوضى سيخرج النظام الفرج قريب. إن لم تستطع الوقوف مع الحق فلا تصفق للباطل
بدأ الإسلام غريبا وسيعود"
7bfS6seiLhk,what a shit story
7bfS6seiLhk,bruh the books really fucking good
7bfS6seiLhk,It’s available only tomorrow I‘m dying 😭😭
