Video ID,Comment
KmrU6gMc1Lc,guys we don't even have an army how are we gonna have any guerrillas. please stop.
KmrU6gMc1Lc,Anne Hathaway is a man.Hollywood is full of actresses that are men.
KmrU6gMc1Lc,T Anne Hathaway is my to 2 favorite white savior now 😍
KmrU6gMc1Lc,Played out genre. Let's step it up Netflix.
KmrU6gMc1Lc,Anne Hathaway is korny
KmrU6gMc1Lc,Willem Dafoe alone should be the reason to watch this.
KmrU6gMc1Lc,Such a conspiracy they need to assign Batman and Catwoman for the job
KmrU6gMc1Lc,Another garbage.
KmrU6gMc1Lc,thank you for showing the entire movie in one trailer
KmrU6gMc1Lc,I got the biggest crush on Anne💖
KmrU6gMc1Lc,Man I hate women centered movies or TV series.
KmrU6gMc1Lc,"I’m a simple person.
I see a Leica M4, I click like."
KmrU6gMc1Lc,"Thought I saw a cameo of Samuel L. Jackson at 1:35
Never mind"
KmrU6gMc1Lc,You had me at Dee Rees
KmrU6gMc1Lc,This movie is panned by critics. I saw it at Sundance and one of the worst movies ever made.
KmrU6gMc1Lc,"This film is literally the last thing i wanted ...oh shit Dafoe is in it? Im watching this, Anne is a great actress even if she is still kinda on my top 5 list....of most annoying actors... it's more because i just hated that princess diary movie, so fake. 

This looks great but Ben Affleck, yes, this is the last thing i wanted. XD ive probably seen 100,000 films by now, what's 1 more?"
KmrU6gMc1Lc,Music?
KmrU6gMc1Lc,Oscar for Willem Dafoe pls
KmrU6gMc1Lc,is a cold beer?
KmrU6gMc1Lc,Daredevil Catwoman & Green Goblin
KmrU6gMc1Lc,Please put more of these new films on Netflix South Africa 💔😭👌🏼
KmrU6gMc1Lc,seen her on the fappening
KmrU6gMc1Lc,I'll end Medford if you as holes think it is ok to trade my kids for Nigerian pipe line
KmrU6gMc1Lc,Kell see
KmrU6gMc1Lc,Debora you better get fu king real
KmrU6gMc1Lc,"Kelly Haley Kay Lea Kay healers, get real, Tanzanian mining?????"
KmrU6gMc1Lc,Patrick stupid wannabe crap
KmrU6gMc1Lc,Jessica better be fine
KmrU6gMc1Lc,Ashland hills in
KmrU6gMc1Lc,"Neck, I'll get to it when my hall gets all intel"
KmrU6gMc1Lc,"Batman , Catwoman, and  Green Goblin"
KmrU6gMc1Lc,You only ever have one father
KmrU6gMc1Lc,... and in Movies they make scripted choices.
KmrU6gMc1Lc,I won’t watch it just because Ben ruined Batman
KmrU6gMc1Lc,NOPE 👎🏾 won’t be watching this SHIT!!
KmrU6gMc1Lc,"Background music:
_This is America_"
KmrU6gMc1Lc,"18 feet away, invariable always.
1999 gray rio says rajesh gupta.
justify."
KmrU6gMc1Lc,S
KmrU6gMc1Lc,Andy is really doing what she meanted to do then: a reporter......great job Miranda
KmrU6gMc1Lc,I’m here for Anne Hathaway ❤️❤️
KmrU6gMc1Lc,Wonder if she will be showing those Elicious titties in this movie like she has in every movie she has ever been in.
KmrU6gMc1Lc,Anne Hathaway with those clothes and a gun I'M ALL IN
KmrU6gMc1Lc,Straight to DVD
KmrU6gMc1Lc,"Sundance report: I saw this a few nights ago at Sundance and I am deeply disappointed to report that the movie makes absolutely no sense. If you don’t believe me, check out the preliminary Rotten Tomatoes reviews.

After it comes out on Netflix, if someone here can explain what happens (who is the guy in the cowboy hat?, for example), I would sincerely appreciate an explanation.

I promise this isn’t a troll post. I was able to follow the plot for the first, maybe, 30-45 minutes or so, but then it took so many twists that it twisted over on top of itself and the Sundance audience, at least, was completely lost.

Please don’t judge until you watch it for yourself. I am really bummed — big fan of Dee Rees am I’m not sure what went wrong."
KmrU6gMc1Lc,Ben Affleck always looks like Ben Affleck. Hmmm. Weird.
KmrU6gMc1Lc,This is why my Netflix won't be cancelled. They keep bringing the goods. February is going to be fire. Good thing to it's my birthday month.
KmrU6gMc1Lc,Frankly I m crazy insane Anne hathaway if a market so much the better for her me frankly ciao let me trankil in sin neflix reports bizness is bizness you have to eat excuse me my intelligent franchisee supposedly we you it grd force for you the film last thing he  wanted the whole team to shoot the film god really loves you he has action and betrayal and drama suspect and dialogue corruption ciao serious tribute to the victims Houston Texas or Turkey sincerely ditto kobe Bryant and as cute as you keep ciao don't like Anne Hathaway ciao
KmrU6gMc1Lc,Sounds like someone bought the most standard cinematic trailers sounds and whacked them on as they came.
KmrU6gMc1Lc,Plz Netflix make a web series on Harry Potter...plz plz plz...we potterheads will love to watch the series
KmrU6gMc1Lc,This looks good. It would have been great if Dee Rees has hired a black actress in lead role.
KmrU6gMc1Lc,La Rosie Perez!!!! Yeeeessss
KmrU6gMc1Lc,Green Goblin is also in this! Not just Batman and Catwoman.
KmrU6gMc1Lc,"Why would i watch a drunk? Afflack is one, from i have seen. It is a most unappealing trait in a man. Lack of control is not an attractive feature. The disease has phases, a progression. Am not going to volunteer to watch it happen."
KmrU6gMc1Lc,"If Bafleck is in it, for sure is going to stink. 
Mark my words this movie is going to suck.
Too bad for Anne Hathaway she’s pretty good on screen"
KmrU6gMc1Lc,"Last year Hathaway has a tough year, I’m glad she’s coming back"
KmrU6gMc1Lc,"WOW so guerrillas in Costa Rica..... who was the complete idiot that came up with this? Our country doesnt even have an army and we dont need one, you guys are going to get alot of hate for this one you idiots"
KmrU6gMc1Lc,Bring back lillyhammer . And if none of you have watched it. Watch it !
KmrU6gMc1Lc,"Filmed in Puerto Rico set in Costa Rica  the story has to do with “guerrillas” in CR.

But Costa Rica is a Democratic Republic that abolished the army in 1984..."
KmrU6gMc1Lc,"Mr. Wayne, you're sending Miss Kyle on a mission alone? What kind of gentleman are you... smh"
KmrU6gMc1Lc,That looked great. I’m in.
KmrU6gMc1Lc,From the very first scene I thought Anne resembled Joan Didion in the 70s... soso cool! Can’t wait for this one!
KmrU6gMc1Lc,Ben Affleck looks fat
KmrU6gMc1Lc,"That´s not my country, Costa Rica"
KmrU6gMc1Lc,"A movie directed by a black lesbian. The medias are gonna have a hard time criticizing it. Which will be interesting to watch. Because it will probably be bad. I mean, it's Netflix, so I give it 75% chances to be bad."
KmrU6gMc1Lc,"As a costa rican, I must admit, I'm a little weary of how it will be portrayed"
KmrU6gMc1Lc,"Is it good movie ?
Should i watch ?"
KmrU6gMc1Lc,Feb 21st?? I'll forget all about it by then!
KmrU6gMc1Lc,I'm watching. And Hathaway William Dafoe I'm watching. Looks really good. Netflix is killing it here lately.
KmrU6gMc1Lc,Anne Hathaway getting top billing in a movie with Ben Affleck and Willem Dafoe. What a legend.
KmrU6gMc1Lc,"Catwoman:How did you find me?
Batman:I am Batman!"
KmrU6gMc1Lc,I miss when Netflix actually had movies you wanted to see and not these crappy originals. Most of these original are nothing good nor anything Interesting I wanted to watch
KmrU6gMc1Lc,AFFLACK 🦆
KmrU6gMc1Lc,Why is Anne Hathaway looking like a young Jamie Lee Curtis?
KmrU6gMc1Lc,NIKON F 1:27
KmrU6gMc1Lc,"Rosie perez, cant wait to see her"
KmrU6gMc1Lc,If Anne Hathaway is in it im in.
KmrU6gMc1Lc,"Propaganda. I will still watch the movie. Separate the person from the artist and nothing is 100% reality, there is more fiction than actuality."
KmrU6gMc1Lc,And why on earth we should affiliate them with superheroes all the time?
KmrU6gMc1Lc,The bat and the cat together again.
KmrU6gMc1Lc,look mediocre
KmrU6gMc1Lc,How the hell can Affleck's face be bloated AND still flat as a pancake at the same time?!?
KmrU6gMc1Lc,Anne Hathaway is underrated pretty
KmrU6gMc1Lc,Anne Hathaway reminds me of dory for some reason
KmrU6gMc1Lc,"Netflix release Dee Rees film in February:

Everyone: So you’re saying it’s not good?"
KmrU6gMc1Lc,Looks like another movie filmed in Puerto Rico
KmrU6gMc1Lc,> lap...
KmrU6gMc1Lc,I am from Costa Rica and in here looks like Mexico
KmrU6gMc1Lc,Nothing like decent movies becoming awful for making stupid move like saying is Costa Rica and they didn't even came to the country to film!! 🤦🤦🤦
KmrU6gMc1Lc,That is NOT COSTA RICA! COME ON PEOPLE!
KmrU6gMc1Lc,Interesting.
KmrU6gMc1Lc,this looks so good
KmrU6gMc1Lc,Batman and Catwoman?? And Renee Montoya with Vulko? Is this the new Batman movie?
KmrU6gMc1Lc,Yes Netflix u keeping me home from the movies..on a roll
KmrU6gMc1Lc,"-“Remember to keep comments respectful and to follow our community guidelines.”

-No."
KmrU6gMc1Lc,Seems boring 🤔.
KmrU6gMc1Lc,"Catwoman, Batman, and Green Goblin all in one movie."
KmrU6gMc1Lc,"Hathaway I clicked, but so disappointed age is destroying her."
KmrU6gMc1Lc,film cameras 😍
KmrU6gMc1Lc,I already love this. I can’t wait to watch this!
KmrU6gMc1Lc,*Same garage kids like the rest*
KmrU6gMc1Lc,"Wow!Anne with long hair ? That's interesting 
Im in"
KmrU6gMc1Lc,"“In the real world, we make real choices...”
🎵BWAAAAAAAHHHHHHHHHH🎵"
KmrU6gMc1Lc,1:11 Tony Ferguson cameo
KmrU6gMc1Lc,Batman and Catwoman
KmrU6gMc1Lc,Green Goblin is Catwomans dad? I’m in.
KmrU6gMc1Lc,"O no not another urinalist movie, never seen that before. And another anti-gun liberal running around with a gun. Should be labled under feminist fantasy hypocrites."
KmrU6gMc1Lc,You had me at 90%
KmrU6gMc1Lc,Ben affleck... cmon..
KmrU6gMc1Lc,batfleck looks like a cgi
KmrU6gMc1Lc,"Those 2 are usually 💤. This looks good though , Netflix is on a role lately besides Fauda 😉. We get Adam in a drama 🍿 not a silly comedy and now a serious no-nonsense flick from Hathaway ... it’s a serious deal !"
KmrU6gMc1Lc,"netflix has been on a roll of late, cant wait for this one"
KmrU6gMc1Lc,Netflix is producing more movies than Hollywood.
KmrU6gMc1Lc,Ben looks like Tom Cruise
KmrU6gMc1Lc,"@netflix, you do realize we can tell the movie wasn’t filmed in Costa Rica, right? Also, a little  political background don’t hurt...we have no army or guerrilla (in Spanish), and our bus rides are WAY WAY different...I’m a little offended I admit."
KmrU6gMc1Lc,B.Affleck muhaha
KmrU6gMc1Lc,"I cannot stand Ben Affleck, but this looks very interesting, especially after I heard the 'Contras'. If this has anything to do with the Iran-Contras affair, one of the biggest scandals in US modern history and that has never had a movie about it made, I'm 100% in. That said, not a single place, person or accent sounded like it was in Nicaragua, so not sure if it's about this lol. Looks more like Panama/Colombia (places, racial mixes, streets, etc.), more than central america 🤔"
KmrU6gMc1Lc,Oh my God yes! Joan Didion for the win!!!
KmrU6gMc1Lc,Oh Joan Didion what have they done to you!
KmrU6gMc1Lc,Why does Anne Hathaway look like Jessica Biel on the thumbnail?
