Video ID,Comment
YwHQfvY_s_Y,I am ready!
YwHQfvY_s_Y,meanwhile in non christian places of the world...
YwHQfvY_s_Y,"There is not going to  be a Rapture, It's not Biblical, not in God's word.  God's word tell us plain and simply,(a Child can understand) The Antichrist (satan) comes first (6th trump) The Real Christ comes at the 7th trump. God will not come back until after the Antichrist sits in the holy place pretending to be God.  2Thess. 2:3,4"
YwHQfvY_s_Y,"It doesn't matter who's in the movie it's the message their trying to send everyone. If Cage is an atheist maybe this might change him. I wouldn't want to be here on judgment day after the rapture , this is what this is about the rapture."
YwHQfvY_s_Y,Is Nicolas Cage a Christian??
YwHQfvY_s_Y,"First of all it's sad that so many people will take this ""secret rapture"" as truth when the Bible- God's Word says the opposite... Left Behind was written as fiction...what amazes me is that so many have taken a man's word over God's. There are numerous scriptures and a true prophetic time line in the Bible. Under guidance of the Holy Spirit those who are truly searching for understanding will find it. Jeremiah 29:13 And ye shall seek me, and find me, when ye shall search for me with all your heart....

1 Thessalonians 4:16 says, For the Lord himself shall descend from heaven with a shout, with the voice of the archangel, and with the trump of God: and the dead in Christ shall rise first  vs.17 Then we which are alive and remain shall be caught up together with them in the clouds, to meet the Lord in the air: and so shall we ever be with the Lord. vs.18 Wherefore comfort one another with these words.
Revelation 1:7 Behold, he cometh with clouds; and every eye shall see him, and they also which pierced him: and all kindreds of the earth shall wail because of him. Even so, Amen
Satan hates God so much that he has a counterfeit for everything that God does, including the Christ’s bright and boisterous coming in the clouds of glory! Since he really cannot compete on that scale, he’s gone underground to enshroud the event in darkness and mystery. Jesus knew of Satan’s deceptive plots and warned us in Matthew 24:26 and 27 that we would be tempted to believe that His coming would be secret
Matthew 24:3,4 As He was sitting on the Mount of Olives, the disciples came to Him privately, saying, ""Tell us, when will these things happen, and what will be the sign of Your coming, and of the end of the age?"" 4And Jesus answered and said to them, ""See to it that no one misleads you 5For many shall come in my name, saying, I am Christ; and shall deceive many. 6And ye shall hear of wars and rumours of wars: see that ye be not troubled: for all these things must come to pass, but the end is not yet. 7“For nation will rise against nation, and kingdom against kingdom, and in various places there will be famines and earthquakes. 8“But all these things are merely the beginning of birth pangs. 9“Then they will deliver you to tribulation, and will kill you, and you will be hated by all nations because of My name. 10“At that time many will fall away and will betray one another and hate one another. 11“Many false prophets will arise and will mislead many. 12“Because lawlessness is increased, most people’s love will grow cold. 13“But the one who endures to the end, he will be saved. 14“This gospel of the kingdom shall be preached in the whole world as a testimony to all the nations, and then the end will come.
2 Thessalonians 2:10,11 and with all the deception of wickedness for those who perish, because they did not receive the love of the truth so as to be saved. 11For this reason God will send upon them a deluding influence so that they will believe what is false, 12in order that they all may be judged who did not believe the truth, but took pleasure in wickedness.

2 Timothy 2:15 Study to shew thyself approved unto God, a workman that needeth not to be ashamed, rightly dividing the word of truth.
Matthew 28:20 Teaching them to observe all things whatsoever I have commanded you: and, lo, I am with you alway, even unto the end of the world. Amen
John 14:15 If ye love me, keep my commandments
Philippians 1:9 I pray that your love will overflow more and more, and that you will keep on growing in knowledge and understanding. NLT"
YwHQfvY_s_Y,"I've read the book series, twice!! ;-D  Expecting it to be depicted the way it was written. ((fingers crossed)) ☺  #LeftBehindMovie  "
YwHQfvY_s_Y,This is going to happen for real. Are you ready! 
YwHQfvY_s_Y,censor test
YwHQfvY_s_Y,"I read the book and the 12 that followed"" Left Behind,"" it's an awesome series......You never will know before it happens, so my advice to you is, repent and accept Christ as your savior and believe he died for your sins on the cross and was resurrected.  This time we have on earth is so very small compared to what our Lord has waiting for all who have been ""Born Again"".  God Bless you and I hope to see your smiling face in Heaven!"
