Video ID,Comment
nTTMeo5TwkA,Que Asco
nTTMeo5TwkA,"""Now the farm wants it's revenge"". Seriously? They couldn't even get ""its"" right?"
nTTMeo5TwkA,Wtf has society gone too that people want to see this fucking garbage no wonder crime is growing everywhere because of emotional charged dumb people
nTTMeo5TwkA,smdh...fuckin white people...
nTTMeo5TwkA,creepy...... horrible.....
nTTMeo5TwkA,"so did anyone notice the massive wrong type of grammar a high quality trailer used??? ""it's revenge""    when it is supposed to be ""its revenge"". call me grammar police that's fine. but if they have money to spend on blood, I'm certain they would have had the money to spell check lol . just really grinds my gears."
nTTMeo5TwkA,Directed by Animal aid
nTTMeo5TwkA,This is how animals got treated so humans deserve this!!!!
nTTMeo5TwkA,Now the farm wants *it's* revenge
nTTMeo5TwkA,"Another stupid, disgusting movie made for the sheer violence and disgust of it all.  Film makers have lost it big time,  I thought the asinine Centipede movies were bad and sick.  This right up there."
nTTMeo5TwkA,"Please let me go to the movies and not get a liberal f#ing message. I give. I'll sign a paper before a movie, if you'll just make good movies again. i get it: 1. All white men suck 2.All villains are blond with blue eyes 3. Poor people are not poor because they make bad decisions, they are poor because the man keeps him down. 4. All Christians are idiots 5. The world is ending yesterday because of global warming"
nTTMeo5TwkA,yeah i'm now vegan
nTTMeo5TwkA,"*Spoiler Alert*
1:19 you can see that the girl, (main character) died of getting cut into half. 
So no need to watch it. 😊"
nTTMeo5TwkA,"At :44 that's the mask from ""You're Next"""
nTTMeo5TwkA,The comment section is full of vegans and meat eaters fighting..
nTTMeo5TwkA,i'd rather watch porn...
nTTMeo5TwkA,okay vegans win
nTTMeo5TwkA,"a real vegan movie, must be use cg animals making food from humans, not this trash movie, this is just sick cannibalism, people eating people, this is unnatural, american trash hollywood movie, easy cash grab from sick persons."
nTTMeo5TwkA,Is this about veganism or canabalism
nTTMeo5TwkA,Getting a peta vibe from this
nTTMeo5TwkA,"Wow, new Hotline Miami looks great!"
nTTMeo5TwkA,Fos
nTTMeo5TwkA,Like it!
nTTMeo5TwkA,I'm sure the director is an angry vegan
nTTMeo5TwkA,I eat fish
nTTMeo5TwkA,Anything but not a horror movie
nTTMeo5TwkA,is that wyatt brothers?
nTTMeo5TwkA,"vegans dont eat meat, including human meat :)"
nTTMeo5TwkA,0:59 is that a baby?
nTTMeo5TwkA,So I suppose someone have heard one of these jokes about vegans and decided to make a film. Lol.
nTTMeo5TwkA,When does this movie come out??
nTTMeo5TwkA,Ain't nobody gonna mention the Wyatt Family?😂😂
