Video ID,Comment
42KNwQ6u42U,RUEEEEEEEE!!! <33333
42KNwQ6u42U,lol i got the trailer as an ad too
42KNwQ6u42U,sparler alert her mom was lieing she wasnt sick
42KNwQ6u42U,I'm seeing this on friday with my friends can i get 15 likes?
42KNwQ6u42U,"Although this movie seems like it going to be good, I feel like it's just basically a reversed version of ""The Space Between Us"". In that movie, the boy couldn't go outside (well Earth) to get to the girl. But in this one it's flipped, the girl can't go outside to get to the guy."
42KNwQ6u42U,I love this
42KNwQ6u42U,"Idk what it is.. maybe the acting, the script? But this whole trailer made me cringe. Was the book any good?"
42KNwQ6u42U,All of my friends wanna see this movie but me....I'm like the only one that doesn't wanna see it😐😐😐😐
42KNwQ6u42U,sometimes staying at home make me sick
42KNwQ6u42U,Who else tryed to call the number 😂
42KNwQ6u42U,"people mad because a white guy is dating black girl in yhe movie.  That is super common.  Because black guys nowadays like any girl thats not black, because of fear of the  angry black woman.  Black men cant simply tolerate  a independent black woman who cant be reason with.  This is why black guys are seen with latinas, cauasians, asisns etc.  For black women they just want a handsome man that is gentleman but doesn't like disputes or agruements even though that is part of life.  The movie seems cool, but risking death for a guy really.  So her boyfriend is death and she is a daredevil."
42KNwQ6u42U,looks shitty af
42KNwQ6u42U,This looks really good...the book sounds like a refreshing story...I'm proud of the author being as this was her first novel and it was turned into a major motion picture...kudos to her for sure!
42KNwQ6u42U,i read the book when i was in like seventh grade and THE TRAILER IS SO PERFECT THE CHARACTERS ARE EVERYTHING I IMAGINED THEM TO BE AND IM IN TEARS
42KNwQ6u42U,If I watch this corny movie it might kill me
42KNwQ6u42U,Book is way better🐥
42KNwQ6u42U,saw the movie and it was so beautiful 😭😍
42KNwQ6u42U,Oh boy... interracial relationships.... great...
42KNwQ6u42U,"""I'm sick""
Yeah but what sickness
""Can't go outside I'm sick""
Yeah but...
""I'm sick"""
42KNwQ6u42U,"""I'm 18 and I've never been outside. If I did, I'd probably die."" Hmm where have I heard something like that before? Oh yeah! RICK AND MORTY!"
42KNwQ6u42U,SHE LOOKS LIKE RUE
42KNwQ6u42U,"I went to watch the trailer, and the trailer was the add😂😂😂"
42KNwQ6u42U,I'm to excited like if you are to
42KNwQ6u42U,What's up with Olly's and his hair...I'm type triggered 😂
42KNwQ6u42U,omg the actor who played rue in hunger games is back!!!! yay!11!!
42KNwQ6u42U,I don't want to be a hater but that girl looks WAY too healthy to have never been outside.
42KNwQ6u42U,"OMFG I CANT WAIT TO SEE THIS  LIKE 2  MORE FRIKIN DAYS I CAN'T EVEN I READ THE FUGGIN BOOK AND ITS THE BEST LIKE ITS EVERYTHING 

*EVERYTHING EVERYTHING*"
42KNwQ6u42U,When I found out they were making it a movie I had a major freak out moment
42KNwQ6u42U,"I just saw a short preview for this in an ad so i had to come check it out because i  thought it was about a severe introvert. ""what would happen if you left your house"" ""i would die"" meeeeeee"
42KNwQ6u42U,Beyonce ❤
42KNwQ6u42U,"My mom bought me this book for my 15th birthday simply because I thought the cover art was interesting. Now it has become one of my favorite books, and Nicola Yoo-hoo is now one of my favorite authors. I can't wait to see this over the weekend. I also highly recommend her second book, a sun is also a star if you haven't already it. And if you haven't read Everything, Everything yet either, what are you waiting for? READ IT NOW"
42KNwQ6u42U,jesus i love nick robinson so much
42KNwQ6u42U,so ... bubbleboy???
42KNwQ6u42U,i can't get over how perfect beyonce's song is for this trailer. it's like it was made for it
42KNwQ6u42U,can you guys please recognize they totally ripped off/stole the entire plot from a Japanese movie but made it cringey?
42KNwQ6u42U,So they just completely stole the plot from the Japanese film Taiyou no Uta..but made it cheesier... what else is new. American films constantly stealing plots from Asian films and ruining them
42KNwQ6u42U,Tangled 2?
42KNwQ6u42U,NICK ROBINSON AND THE VOIIICCCEEEE fsqcvcsfvsdc 😍😍😍
42KNwQ6u42U,Does she have Aids or something?
42KNwQ6u42U,YASS AMAZING
42KNwQ6u42U,am i the only one that thinks he looks like shawn mendes?
42KNwQ6u42U,Anyone know what the song at the beginning is?
